TARGET_PERIOD,period_dt,actual,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
2006-02-01,2006-02-01,9.2,8.687923318386039,8.69041706991348,8.685695805410672,8.705438706666468,8.698975316641217,8.701028071917104,8.7,8.8,8.635760714166786,8.749999999991246,8.8,8.677272727272728
2006-05-01,2006-05-01,8.9,8.615860662057004,8.621887918374453,8.606280698950082,8.647411517956359,8.651732429431018,8.612121759767007,8.62888888888889,8.7,8.468797794564118,8.62888888888026,8.743333333333336,8.612020202020203
2006-08-01,2006-08-01,8.6,8.472792247498377,8.473020933670483,8.468367975529443,8.519113904793905,8.506221275399788,8.483600086514453,8.5,8.5,8.3999999999916,8.443885524000338,8.4,8.47224437279798
2006-11-01,2006-11-01,8.3,7.973543244920249,7.969951858756896,7.968765524075859,7.98637121992712,7.951495822479408,7.960457723874025,8.0,8.0,7.955045060332292,7.921118420601484,8.1,7.927272727272727
2007-02-01,2007-02-01,7.9,7.882735008575626,7.881326676457282,7.868240414461085,7.949504369259682,7.936588359256837,7.873250044965615,8.0,7.9,7.843319535076265,7.842681969433112,8.0,7.854545454545454
2007-05-01,2007-05-01,7.6,7.60043462786965,7.60043462786965,7.699999999992298,7.600557727807398,7.572973491746973,7.63349174679938,7.5,7.75,7.535562644413565,7.399999999992601,7.7,7.6045454545454545
2007-08-01,2007-08-01,7.5,7.591915762461614,7.600014927993821,7.599402217550051,7.563671442231534,7.549023315943564,7.5818767658710025,7.6,7.5,7.5999999999923995,7.5999999999924,7.8,7.58181818181818
2007-11-01,2007-11-01,7.3,7.268209113186494,7.246216144426099,7.376955059971696,7.367294338532129,7.364209539270773,7.371681981444589,7.39,7.5,7.38999999999261,7.0999999999929,7.5,7.371818181818181
2008-02-01,2008-02-01,7.1,6.968538132575225,6.902238329298625,7.0015008642426615,6.950770450031831,6.959599710919759,7.010330916546568,6.9,6.8,6.703292687426962,6.9999999999929985,6.9,7.012929292929293
2008-05-01,2008-05-01,7.2,6.841017671485621,6.809274490978616,6.7956238725431515,6.855181905589749,6.826546153585424,6.830987350581026,6.9,6.84584971222123,6.6999999999933,6.857161281060563,6.3,6.8278677995049515
