oos_period,variant,row_model,col_model,adjacency
152,legacy,6,4,0.5482176148575894
152,legacy,6,5,1.0736073159314683
152,legacy,6,6,0.0
152,legacy,6,7,0.5895135295834495
152,legacy,6,8,0.7276556602853391
152,legacy,7,1,0.0
152,legacy,7,2,0.0
152,legacy,7,3,0.04190596639161246
152,legacy,7,4,0.0
152,legacy,7,5,0.0
152,legacy,7,6,0.0
152,legacy,7,7,0.0
152,legacy,7,8,0.0
152,legacy,8,1,0.0
152,legacy,8,2,0.0
152,legacy,8,3,0.19809772833499806
152,legacy,8,4,0.0
152,legacy,8,5,0.0
152,legacy,8,6,0.0
152,legacy,8,7,0.1531211835923534
152,legacy,8,8,0.0
153,legacy,1,1,0.0
153,legacy,1,2,0.0
153,legacy,1,3,0.37870557137748667
153,legacy,1,4,0.21561577899078457
153,legacy,1,5,0.0
153,legacy,1,6,0.0
153,legacy,1,7,0.41522315284060396
153,legacy,1,8,0.0
153,legacy,2,1,0.10779435376757544
153,legacy,2,2,0.0
153,legacy,2,3,0.6669606718486552
153,legacy,2,4,0.39188750959110374
153,legacy,2,5,0.0
153,legacy,2,6,0.0
153,legacy,2,7,0.38587684137287515
153,legacy,2,8,0.06386344965260217
153,legacy,3,1,0.0
153,legacy,3,2,0.0
153,legacy,3,3,0.0
153,legacy,3,4,0.0
153,legacy,3,5,0.0
153,legacy,3,6,0.0
153,legacy,3,7,0.0
153,legacy,3,8,0.0
153,legacy,4,1,0.0
153,legacy,4,2,0.0
153,legacy,4,3,0.14304570228855776
153,legacy,4,4,0.0
153,legacy,4,5,0.0
153,legacy,4,6,0.0
153,legacy,4,7,0.11490444080114764
153,legacy,4,8,0.1317506511624201
153,legacy,5,1,0.23458264496111184
153,legacy,5,2,9484.884094332669
153,legacy,5,3,0.6172270527605895
153,legacy,5,4,0.3704497417316764
153,legacy,5,5,0.0
153,legacy,5,6,0.10969474591630979
153,legacy,5,7,0.2655088025086622
153,legacy,5,8,0.5131955349341605
153,legacy,6,1,0.3566284301175006
153,legacy,6,2,0.2750661907528179
153,legacy,6,3,0.6742445131005848
153,legacy,6,4,0.516608192155225
153,legacy,6,5,0.0
153,legacy,6,6,0.0
153,legacy,6,7,0.5583830598362894
153,legacy,6,8,0.27597973527400715
153,legacy,7,1,0.0
153,legacy,7,2,0.0
153,legacy,7,3,0.06905854956212028
153,legacy,7,4,0.0
153,legacy,7,5,0.0
153,legacy,7,6,0.0
153,legacy,7,7,0.0
153,legacy,7,8,0.0
