oos_period,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best
150,0.7649230732859862,0.7649230732859862,0.7649230732859862,-0.4174199261090161,-0.3091034312672936,-0.19539316617405356,1.1009467445005492,2.3111186374297072,0.9817037904156922,1.1068397037981077,2.3111186374297072
151,0.014850724947462882,0.009988289436391382,0.008882345867809045,0.6631378899204609,0.03725266208961483,0.16297985581349708,0.06611249212015792,0.06611249212015792,0.00494257249917864,-0.0005224992701974313,0.6775282181280535
152,0.037845721253121876,0.0512723921210604,0.04088727476626356,0.17285935390279406,0.010688077426640649,0.004783250497138274,0.22048320475818006,0.22048320475818006,0.12235858459459614,0.01042230272185441,-0.0011310704665471647
153,-0.10297985490434747,-0.09352643694145746,0.10953260401115339,-0.3046871846854565,-0.5441713862249784,0.13370331995390683,-0.3042023093718016,2.678919884109428,-0.0039171757870439805,0.4186382257791992,2.725544450424469
154,0.25621610723205523,0.20815939369868533,0.24741880732038687,2.395046098694611,0.21126774876356733,0.14023964458185256,0.1506565660558156,0.1506565660558156,0.28782760580386224,0.04769734568073225,2.5640297775298686
155,0.023281232050539363,0.00782280040033892,0.020323502866127358,-0.06542176322056545,-0.04252778145010404,-0.013624618725134582,-0.10591336297419543,-0.10591336297419543,0.03989034009475123,0.10144064839617178,-0.10591336297419543
156,0.4664726914475148,0.3760077170667606,0.48796062914436433,-1.1592051358784112,-0.45952225527922996,-0.1588868910924559,-1.497633783114832,-1.497633783114832,0.9322379889646433,-0.37337812166501294,-1.497633783114832
157,0.06960634112057214,0.11991547001138383,0.0774251953155339,0.05832956095782485,0.017704292920759937,0.07374860483219586,0.0021231105049187068,0.0021231105049187068,0.19916380703195413,0.02070797421822594,0.0021231105049187068
158,0.11420988508416285,0.05311810985214921,0.044398620082854,0.05715439545948342,-0.35450723510405585,-0.3649414213891339,0.11320814660373929,0.11320814660373929,0.37225480589015375,-0.03379385000852175,0.11320814660373929
159,-0.010211986597073659,-0.008931707871064122,-0.007398012582136701,0.0405408177548711,-0.01114232537420041,-0.01002557425207344,0.24774972572309376,0.24774972572309376,-0.006346294943801763,0.025781443458641667,0.24774972572309376
160,0.014069367477734074,0.018762567245737993,0.0169769222562951,0.21937355913292506,0.07867543600969093,0.05697235964300376,0.16344321232464248,0.16344321232464248,-0.02037115362292702,0.010994908129639679,0.16344321232464248
161,0.023622957724804772,0.04358745769512044,0.03324573153891135,0.44304243062682036,0.16041856770672905,0.29699888369720545,0.44314558619495004,0.44314558619495004,0.024954101779979747,-0.0028375184258576268,0.44314558619495004
162,0.14915131349353283,0.12797719647208416,0.025852520903870357,1.1683050797526562,0.2872804084089551,-0.006768651799217262,1.1686213719441776,1.1686213719441776,0.05040195585804619,0.08662906983064744,1.1686213719441776
163,-0.005323487511999755,-0.001030117107242482,0.005036487306090212,0.05989637444958611,0.015308901167975002,0.021551768595396325,0.029642798433933058,0.061562448796466815,0.01443589984397969,0.004771108257532706,0.061562448796466815
164,-0.6956574690606749,-0.4328643305819986,-0.6451037884534463,-2.3935660843745343,-0.5657508505662032,-0.5268289591912141,-0.48990053645258325,-2.517467832476293,-0.2706430145556711,-0.5378345762174179,-2.517467832476293
165,-0.01693411860117834,7.944557141068703e-05,7.944557141068703e-05,0.24440487402007535,-0.018366443152128247,0.04503311714562487,1.976331014880464,0.6862141613484823,0.00791218332868857,-0.015159668062599677,0.6862141613484823
166,0.5560147597602458,0.47566355457131815,0.47433460123671545,1.6083412309519414,0.510258352542064,1.255109089852797,2.5065205911054984,2.5065205911054984,0.002684045912615729,-0.11366495027801712,2.5065205911054984
167,0.3052433704410409,0.846251613841966,0.6785549410227216,5.227600412582732,1.2760152260360518,1.092533876327666,6.538224459636126,6.538224459636126,0.06670718553153088,0.08502931694434701,6.538224459636126
168,0.8831237755332313,0.8887073897845874,0.8216304704868804,2.288361951737942,1.1604587867236602,1.4475478864018756,1.8619247478597378,1.8619247478597378,1.0537654943491592,-0.17377557596847426,1.8619247478597378
169,0.2871608922059239,0.12065928664660075,0.3137936607884362,0.23254170661882578,-0.14190093490626732,0.34688176040510554,2.7260507543939307,1.2485684408697986,0.2969606115654726,-0.15665411984815558,-0.9205949755563271
170,-0.006626419200167544,0.21730140776632584,0.11572817527024831,0.10401048795730222,1.3124406842814846,0.1826916479551987,-0.25000864007368256,8.119767504735645,-0.03464532133888615,0.24833446684077215,8.119767504735645
171,-0.07173992796945307,-0.06089595518900076,-0.05415659970201682,0.5765074027607134,0.04347729922547808,0.057685124490270856,-0.07132400336583417,1.1041557493990903,-0.08538393042484571,-0.02655521185273843,1.1041557493990903
172,0.418129615125167,0.40739036827359176,0.3847909874920584,0.5948517274870722,0.1076936438717068,0.030732154019526253,2.4143823749096422,0.12050126344969339,0.49294182907498685,-0.08941498011327398,2.4143823749096422
173,-0.0009468181450730468,-0.0009468181450730468,-0.0009468181450730468,0.02744386634059735,-0.0034130480966667195,0.001167695938178762,0.4008257501551524,0.05640945861941504,-0.0015088670997834232,0.028390532860805087,0.05640945861941504
174,0.002792333845830102,0.0017733969439132375,0.0005871962957535711,0.36663216648175223,0.11887908188323432,0.12592718025822808,0.6070420612484473,0.6070420612484473,0.0009317361122853088,0.00025781451187072526,0.46274704942256545
175,0.1034339634858511,0.1034339634858511,0.1034339634858511,0.8733965463281437,0.6454234077510517,0.37006458909839834,1.3698021491670498,1.3698021491670498,0.14448200724511073,0.060786403700761604,0.02208444810599286
176,-0.015155305256538187,-0.015155305256538187,-0.015155305256538187,-0.20614293028682928,-0.21084570054113802,-0.10884959665292575,-0.0006341151069821915,-0.0006341151069821915,-0.021633991068839564,-0.0020073492361792067,-0.0006341151069821915
177,0.45569266125583,0.45569266125583,0.45569266125583,-0.2283185390873099,-0.20609795086482752,-0.06740612643963079,1.5001947146830614,1.6271180229355702,0.46956663334348897,0.4528502872440791,1.6271180229355702
178,-0.13924673864308545,-0.13924673864308545,-0.13924673864308545,0.05986019143249777,-0.3630045390919282,-0.04883865042894564,1.008593081006139,1.008593081006139,-0.15294616633725977,-0.11841226322493431,1.008593081006139
179,0.02641970176542053,0.021909119317584172,0.02011979294531851,0.12942756976975797,0.09196313329779496,0.05714504806774383,0.06615329743352326,2.361073899998858,0.03115335393592274,0.04237843627650015,0.17640946619827916
180,0.19644501468655573,0.19644501468655573,0.19644501468655573,4.101799710059573,0.540971252434981,-0.19714148900219053,6.632734027577944,6.632734027577944,0.2680600131184394,0.30910493318210586,-1.461627327605279
181,0.025806967478713028,0.009079013868424968,0.009856861812072737,-0.3029759615058716,-0.1781839333890913,-0.05775719113886357,-0.3176125004190025,0.27988983919233,0.012045406470501008,0.10758006250510904,0.27988983919233
