oos_period,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best
150,0.7649230732859862,0.7649230732859862,0.7649230732859862,-0.4174199261090161,-0.3091034312672936,-0.19539316617405356,1.1009467445005492,2.3111186374297072,0.9817037904156922,1.1068397037981077,2.3111186374297072
151,0.7797737982334491,0.7749113627223776,0.7738054191537952,0.24571796381144473,-0.2718507691776788,-0.032413310360556474,1.167059236620707,2.377231129549865,0.9866463629148708,1.1063172045279102,2.9886468555577608
152,0.817619519486571,0.826183754843438,0.8146926939200587,0.4185773177142388,-0.2611626917510382,-0.0276300598634182,1.387542441378887,2.597714334308045,1.109004947509467,1.1167395072497646,2.9875157850912135
153,0.7146396645822235,0.7326573179019805,0.9242252979312121,0.11389013302878226,-0.8053340779760165,0.10607326009048863,1.0833401320070855,5.276634218417473,1.105087771722423,1.5353777330289637,5.713060235515682
154,0.9708557718142787,0.9408167116006658,1.171644105251599,2.508936231723393,-0.5940663292124492,0.24631290467234118,1.2339966980629011,5.427290784473288,1.3929153775262852,1.583075078709696,8.277090013045552
155,0.9941370038648181,0.9486395120010047,1.1919676081177262,2.4435144685028276,-0.6365941106625532,0.23268828594720659,1.1280833350887056,5.3213774214990925,1.4328057176210365,1.684515727105868,8.171176650071356
156,1.4606096953123329,1.3246472290677653,1.6799282372620905,1.2843093326244164,-1.0961163659417832,0.07380139485475068,-0.36955044802612647,3.8237436383842605,2.3650437065856798,1.311137605440855,6.673542866956524
157,1.530216036432905,1.4445626990791491,1.7573534325776243,1.3426388935822413,-1.0784120730210232,0.14754999968694654,-0.36742733752120776,3.825866748889179,2.564207513617634,1.331845579659081,6.675665977461443
158,1.6444259215170678,1.4976808089312983,1.8017520526604782,1.3997932890417246,-1.432919308125079,-0.21739142170218734,-0.2542191909174685,3.9390748954929182,2.9364623195077875,1.2980517296505591,6.788874124065182
159,1.6342139349199942,1.488749101060234,1.7943540400783415,1.4403341067965958,-1.4440616334992795,-0.22741699595426076,-0.006469465194374718,4.186824621216012,2.930116024563986,1.3238331731092008,7.036623849788276
160,1.6482833023977284,1.507511668305972,1.8113309623346368,1.659707665929521,-1.3653861974895887,-0.170444636311257,0.15697374713026777,4.350267833540654,2.9097448709410587,1.3348280812388404,7.200067062112918
161,1.6719062601225332,1.5510991260010925,1.8445766938735482,2.102750096556341,-1.2049676297828595,0.12655424738594845,0.6001193333252178,4.793413419735604,2.9346989727210384,1.331990562812983,7.643212648307868
162,1.821057573616066,1.6790763224731766,1.8704292147774186,3.2710551763089972,-0.9176872213739045,0.11978559558673119,1.7687407052693955,5.962034791679781,2.985100928579085,1.4186196326436304,8.811834020252046
163,1.815734086104066,1.6780462053659342,1.8754657020835088,3.3309515507585834,-0.9023783202059295,0.1413373641821275,1.7983835037033287,6.023597240476248,2.9995368284230643,1.4233907409011632,8.873396469048513
164,1.1200766170433911,1.2451818747839356,1.2303619136300625,0.9373854663840491,-1.4681291707721327,-0.3854915950090866,1.3084829672507454,3.506129407999955,2.7288938138673933,0.8855561646837453,6.35592863657222
165,1.1031424984422127,1.2452613203553462,1.2304413592014731,1.1817903404041243,-1.4864956139242609,-0.34045847786346173,3.2848139821312095,4.192343569348438,2.7368059971960816,0.8703964966211456,7.042142797920703
166,1.6591572582024585,1.7209248749266643,1.7047759604381887,2.7901315713560657,-0.9762372613821969,0.9146506119893353,5.791334573236708,6.698864160453937,2.7394900431086975,0.7567315463431284,9.548663389026201
167,1.9644006286434994,2.5671764887686304,2.3833309014609103,8.017731983938798,0.29977796465385487,2.007184488317001,12.329559032872833,13.237088620090063,2.8061972286402286,0.8417608632874755,16.08688784866233
168,2.8475244041767307,3.4558838785532178,3.2049613719477907,10.30609393567674,1.460236751377515,3.4547323747188767,14.191483780732572,15.099013367949802,3.859962722989388,0.6679852873190012,17.948812596522068
