oos_period,variant,row_model,col_model,sigma
150,legacy,1,1,0.0
150,legacy,1,2,1.8326904547711111
150,legacy,1,3,2.6185249053621518
150,legacy,1,4,2.8187173977285873
150,legacy,1,5,1.8731671799432184
150,legacy,1,6,2.3972317667678587
150,legacy,1,7,2.5884435508505628
150,legacy,1,8,2.1744481443450234
150,legacy,2,1,1.8326904547711111
150,legacy,2,2,0.0
150,legacy,2,3,1.691747946418396
150,legacy,2,4,2.114452561436267
150,legacy,2,5,0.6316316802486267
150,legacy,2,6,1.6273572872504658
150,legacy,2,7,2.844254792653662
150,legacy,2,8,2.335176567249378
150,legacy,3,1,2.6185249053621518
150,legacy,3,2,1.691747946418396
150,legacy,3,3,0.0
150,legacy,3,4,3.3857763877286264
150,legacy,3,5,1.3286282722789662
150,legacy,3,6,1.995599268474757
150,legacy,3,7,2.7364162766959694
150,legacy,3,8,2.2910090032376123
150,legacy,4,1,2.8187173977285873
150,legacy,4,2,2.114452561436267
150,legacy,4,3,3.3857763877286264
150,legacy,4,4,0.0
150,legacy,4,5,2.593571145351351
150,legacy,4,6,2.6268448824593347
150,legacy,4,7,3.7830186011426505
150,legacy,4,8,3.4839763352407123
150,legacy,5,1,1.8731671799432184
150,legacy,5,2,0.6316316802486267
150,legacy,5,3,1.3286282722789662
150,legacy,5,4,2.593571145351351
150,legacy,5,5,0.0
150,legacy,5,6,1.3770194550710286
150,legacy,5,7,2.9786752526781664
150,legacy,5,8,1.5792975325247862
150,legacy,6,1,2.3972317667678587
150,legacy,6,2,1.6273572872504658
150,legacy,6,3,1.995599268474757
150,legacy,6,4,2.6268448824593347
150,legacy,6,5,1.3770194550710286
150,legacy,6,6,0.0
150,legacy,6,7,3.0728071090664537
150,legacy,6,8,2.719016854102874
150,legacy,7,1,2.5884435508505628
150,legacy,7,2,2.844254792653662
150,legacy,7,3,2.7364162766959694
150,legacy,7,4,3.7830186011426505
150,legacy,7,5,2.9786752526781664
150,legacy,7,6,3.0728071090664537
150,legacy,7,7,0.0
150,legacy,7,8,3.1664195326439386
150,legacy,8,1,2.1744481443450234
150,legacy,8,2,2.335176567249378
150,legacy,8,3,2.2910090032376123
150,legacy,8,4,3.4839763352407123
150,legacy,8,5,1.5792975325247862
150,legacy,8,6,2.719016854102874
150,legacy,8,7,3.1664195326439386
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,1.9913237998595388
151,legacy,1,3,3.208470720042733
151,legacy,1,4,2.714954943010003
151,legacy,1,5,1.8269883215955247
151,legacy,1,6,2.2671956476198223
151,legacy,1,7,2.4911391993171743
151,legacy,1,8,2.6352939802973463
151,legacy,2,1,1.9913237998595388
151,legacy,2,2,0.0
151,legacy,2,3,1.8568658250667114
151,legacy,2,4,2.4074784934441666
151,legacy,2,5,1e-06
151,legacy,2,6,1.6670443120641194
151,legacy,2,7,3.1068753551905743
151,legacy,2,8,2.2665968848137026
151,legacy,3,1,3.208470720042733
151,legacy,3,2,1.8568658250667114
151,legacy,3,3,0.0
151,legacy,3,4,3.8710412701924097
151,legacy,3,5,2.0934063896039583
151,legacy,3,6,2.4618360874206524
151,legacy,3,7,3.4604511305421157
151,legacy,3,8,3.152862606064343
151,legacy,4,1,2.714954943010003
151,legacy,4,2,2.4074784934441666
151,legacy,4,3,3.8710412701924097
151,legacy,4,4,0.0
151,legacy,4,5,2.5804075516035248
151,legacy,4,6,2.5368930231920825
151,legacy,4,7,3.6632132234977126
151,legacy,4,8,3.356334617551828
151,legacy,5,1,1.8269883215955247
151,legacy,5,2,1e-06
151,legacy,5,3,2.0934063896039583
151,legacy,5,4,2.5804075516035248
151,legacy,5,5,0.0
151,legacy,5,6,1.2838950690537956
151,legacy,5,7,2.8921121193828774
151,legacy,5,8,1.4760568002233958
151,legacy,6,1,2.2671956476198223
151,legacy,6,2,1.6670443120641194
151,legacy,6,3,2.4618360874206524
151,legacy,6,4,2.5368930231920825
151,legacy,6,5,1.2838950690537956
151,legacy,6,6,0.0
151,legacy,6,7,3.0054935630063864
151,legacy,6,8,2.698549954795256
151,legacy,7,1,2.4911391993171743
151,legacy,7,2,3.1068753551905743
151,legacy,7,3,3.4604511305421157
151,legacy,7,4,3.6632132234977126
151,legacy,7,5,2.8921121193828774
151,legacy,7,6,3.0054935630063864
151,legacy,7,7,0.0
151,legacy,7,8,3.0311741588565853
151,legacy,8,1,2.6352939802973463
