oos_period,actual
150,0.42528385651594985
151,-0.1330870971433657
152,0.6583573447475423
153,0.6327378149706594
154,0.06387414173984296
155,-0.470500533360346
156,0.7297751507297083
157,-0.08595906858732724
158,0.012569432286966664
159,-0.22610762857705394
160,-0.5146331234434705
161,-0.7878098250535196
162,0.2878365935730039
163,-0.41582388804192655
164,1.4924023324574942
165,-0.5881320245155857
166,-0.6686952950095215
167,0.2284764564046969
168,0.7259349317362054
169,-0.007670307484320411
170,0.24811539478214562
171,-0.9511337395279876
172,-0.37155181458851994
173,-0.5852420532246393
174,-0.9897451380352673
175,0.02751586360232904
176,-1.1532139788322828
177,-0.6888457501577261
178,-0.30108957641498146
179,-0.45659332533106955
180,0.16751810055347466
181,0.12597890387932542
182,0.42499186688983265
183,0.36930551175838944
184,0.5529716167395551
185,-0.023914240627256653
186,0.13035774327395225
187,0.22873801144760061
188,0.05164087453624232
189,-0.21965862132684733
190,-0.1972080616131674
191,-0.43910827685638837
192,0.18218272497157703
193,-0.06628645639695224
194,-0.3469343356412827
195,-0.34185840607159823
196,-0.6127324434606239
197,0.4800053658364509
198,0.0227313388326322
199,-0.4450891222033029
200,0.3872535147255049
201,-0.28034653876828053
202,-0.6899506244294782
203,0.5302392250097206
204,-0.24513574498997248
205,-0.18191638582112246
206,0.030511932144389672
207,0.5790548111316387
208,0.01879284550378969
209,-0.5884897982575347
210,0.28770263054132883
211,-0.21751743166684645
212,0.96201787551182
213,0.010665272676051711
214,-1.0917840484769048
215,0.21212600244219687
216,1.001834703073141
217,0.8164238395261991
218,0.942913700165038
219,-0.4821277956811626
220,0.4885553259203447
221,-0.30316821447540226
222,0.17187132071304234
223,-0.5701236118610337
224,-0.27274004699442694
225,-0.29348451316266483
226,0.506204625617617
227,0.46130970029470275
228,0.15546885827663706
229,-0.6514114833933041
230,-0.11283884739418365
231,-0.35003644775188464
232,0.47305354882317907
233,0.5995885405782665
234,0.54806889663565
235,-0.35782009234842427
236,-1.3734766559370999
237,-0.8827296655849894
238,0.7230731700126625
239,-0.18472891865013796
240,-0.35361548175218616
241,0.8389602129750965
242,0.6315961414489327
243,0.01815916988803325
244,-0.12326919740938407
245,-0.03132244974168514
246,0.12843079756259704
247,0.7997240949565587
248,0.20247448899739462
249,0.3383255388855505
250,0.5603879760966259
251,-0.605150920898864
252,0.34281549301794323
253,-0.17412854595712862
254,-1.2788807270725058
255,-1.0903994914274657
256,-0.5370987460537425
257,0.21807366224536073
258,0.006039209056347486
259,0.04139662971533453
260,0.9263724934231304
261,-0.67985528622992
262,-0.05658473845956992
263,0.10670626306654296
264,-0.4107861071839894
265,-0.0184658564402487
266,-0.833558876756988
267,0.6745448478310151
268,-0.37307724769835693
269,0.9769625217913157
270,-0.04974592588748723
271,0.4749657593291298
272,-0.06185098885611705
273,-0.05028891677570431
274,-0.32997101402164475
275,0.01832418895103137
276,0.11268036155075942
277,-0.4549062518347444
278,-0.12147025435547963
279,-0.36168201120131116
280,1.1016961591591499
281,-0.0983158296271466
282,0.738119467431709
283,-0.13610513329891116
284,0.08259875645044004
285,-0.7176639493380752
286,-0.29785743348166954
287,0.04627247677081744
288,0.7477177307638141
289,0.07171465575086385
290,0.6436225594314701
291,0.29023961075202176
292,0.780058533767688
293,-0.06585350292944914
294,1.1731515518533413
295,-0.25806879908481345
296,-0.3765905833390405
297,-0.5958988684815328
298,1.170669584146232
299,0.4087629858415478
