oos_period,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
150,0.7212766040283106,0.8867190732110216,0.9487707196246127,4.491234784218379,1.0081711839555612,0.5699658068368878,5.568555638586696,5.568555638586696,0.4671757925180227,0.13487111985888012,5.568555638586696,0.1347998172090876
151,0.3662664166581508,0.5274789244552728,0.22078563226612397,0.02451886897007476,0.6115001285376332,0.16596400564902533,1.2126519450670235,1.4426544670457786,0.906576721672191,1.0293437417770679,1.4426544670457786,1.0040267385886534
152,0.4607321675648161,0.46513983798045994,0.46367929181142437,0.15902956604051866,0.11885561045464482,0.259755330307702,0.29424421315499927,2.669303255263064,0.513042266774603,0.9229009755192981,2.669303255263064,0.2899076618809792
153,1.0899782343842805,1.1033196640001905,1.7977659390649214,0.5074747836823867,0.7619992041120028,1.1230342657050034,0.3098294420838773,1.2972522800473658,1.7669683533105531,0.7726715798230698,1.2972522800473658,0.6965131895083165
154,0.0214870165163081,0.06491038926623836,0.0013226185359856383,0.02747382550479912,0.2602124947650663,0.02858431644230175,2.3942537941963584,1.9097087491304945,0.14438391489114621,0.1973446266438851,1.9097087491304945,0.30671643312964686
155,0.6708284319805919,0.4120681180071032,0.4033622747120705,1.6221263520098512,1.4582289387354221,0.8513571429590225,0.7091146984949188,0.7091146984949188,0.2204690979887756,0.480744084894616,0.7091146984949188,0.26471232992817434
156,0.008712837962306675,0.008674074295039762,0.018853842310448014,0.013341352145389094,0.01733604829382193,0.07008532355875431,0.023126062614201453,0.023126062614201453,0.0018320089254946993,0.004790258111272593,0.023126062614201453,0.01945339739576595
157,0.008610832000311165,0.020007197364749204,0.06526379878822207,0.033746447163231434,0.07386548876449196,0.1495215741776886,0.005316035166271661,0.005316035166271661,0.0371687311434759,0.11140671326905069,0.005316035166271661,0.04723976850150977
158,0.0005949315942416557,3.8516972285804245e-05,0.021726495251266006,0.06874525266062025,0.00211460429183238,0.046159713319922545,1.1213035265628075,1.1213035265628075,0.031403601549224676,0.052674492041563166,1.1213035265628075,0.06695248350557838
159,1.0991789894300181,1.098284008897146,1.153587173861948,1.4852871550868867,0.8332112727908374,0.5384063046908256,3.6091910281130075,3.6091910281130075,1.0273568184546609,0.44091931572095056,3.6091910281130075,0.42960983197215213
160,0.3197033015497613,0.3197033015497613,0.3197033015497613,0.1582789664306579,0.24440991139426524,0.26599348828692687,0.4507658337937871,0.4507658337937871,0.22413942741139684,0.18638576440202811,2.0431898126713515,0.43953743126061373
161,0.047190249571522076,0.047190249571522076,0.047190249571522076,0.007122822046584446,0.030064974395903155,0.05468442474410612,0.024166257532702524,0.024166257532702524,0.058254026679143256,0.03752901031656842,0.007819840862691862,0.08212051797091315
162,0.019876119942361367,0.019876119942361367,0.07376103688888408,1.3873056595394122,0.3898706778398737,0.318421005988451,1.5374188812109286,1.5374188812109286,0.03128896009921696,0.092534694904018,0.12040154105999701,0.12445485500876434
163,1.4542444906271093,0.8831196213957707,1.4788698172984343,1.1189523397481844,0.6904533266980007,1.2958668551923676,2.2435787088164894,2.2435787088164894,1.3487773369366896,1.586654991840933,0.09328547620999329,1.0430751361347452
164,0.05835824090269592,0.29032241717814466,0.028232832976774386,6.7577074168395965,0.40761954125213207,0.03145760325099044,7.693040418459334,1.0095957924119427,0.11498781135792545,0.0021440603326623262,3.6775615667827424,0.013767259589808664
165,1.024104814704049,0.8948591824584169,1.024104814704049,1.8122366306281152,0.7394328964098315,1.5498714741359634,6.344715319822955,6.344715319822955,0.9908503123766537,0.4782467134106346,3.467230855100392,1.704698451011732
166,0.0014469444823038504,0.004900006120244599,0.004877822441667525,0.0976253583142208,0.030862968309480137,0.057348733401132154,0.0572557110991613,0.0572557110991613,0.00043822901214747974,0.011696549067035125,0.00169869162076661,0.011933436362840475
167,0.5509223864746323,0.37130013865233114,0.3306094610369257,2.6318201406025956,0.6191803488082335,0.33100472775008993,4.772406201120778,4.772406201120778,0.23041555456057314,0.0450544345850628,1.918107808405267,0.03797701086586687
168,0.030084783590325764,0.08146861470746208,0.024474061023865967,0.5772137250628814,0.23636676352224617,0.4027246459157892,4.578567573703736,4.578567573703736,0.02346920052317353,0.2367589336204114,4.578567573703736,0.22958825488164827
169,0.030075417906228103,0.030075417906228103,0.029311580687279765,0.17509349892885842,0.15088358612638697,0.03511150378586139,0.9538572196377215,0.9538572196377215,0.02095681828507983,0.05782504364314678,0.47264042311002025,0.04625942260550158
170,0.6831035904303632,0.8384372336949056,1.139278958426505,0.022191720673586234,1.8385433651902177,1.752679324916515,9.82398415999576,9.82398415999576,0.5383040518154518,2.441704792673021,3.230706123092557,1.5700738995559793
171,0.007420748719047521,0.007420748719047521,0.007420748719047521,0.16689989079863657,0.11826930604903231,0.302882146350994,0.22154451017142082,0.22154451017142082,0.01290248483499348,0.03242963858087161,0.25554932839132355,0.03259117848475093
172,0.022384407170956182,0.028392824437712818,0.026442608135116615,1.0827389210235763,0.26421445477426075,0.32521479780484974,1.087949474852615,1.087949474852615,0.0011693022882973989,0.001838498198772976,0.26975983276660415,0.25406330024362594
173,1.3338884009168563,1.3338884009168563,1.427340030142348,2.901873448830644,1.1892396742378915,0.9565239414307246,2.9037793416486943,2.9037793416486943,1.4824812515790098,0.7670552034694023,2.9037793416486943,0.7522431930266332
174,0.18672024822973288,0.3236275322662771,0.7203086334042089,0.45782411341076895,0.26808243669581544,0.9072415421618523,0.45798546405572493,0.45798546405572493,0.29026812394817925,1.443411919176488,0.3115009261739036,0.6470800642085492
175,0.10019866769568549,0.10728506163971627,0.10112179451523842,0.013846796955276503,0.007543216929486546,0.0037103596341814798,0.01386098450095267,0.01386098450095267,0.11820207107452224,0.009554792455135068,0.01655440231357904,0.0207329534118152
176,0.6391372359440182,0.5630257185028222,0.2732201721900916,1.9047528827148585,0.7125922365916575,0.2971535117681806,1.9050345899554735,1.9050345899554735,0.3330282065231948,0.19942738854409384,0.25247383097788884,0.38577888798353793
177,0.14389663613630013,0.040099770892690394,0.1313924524842693,0.024858358441235122,0.00602702540936973,0.1298965256742074,0.024771785512963034,0.024771785512963034,0.14814337546500794,0.2087383884280293,0.024771785512963034,0.07070147249537677
178,0.20612558609280268,0.20612558609280268,0.20612558609280268,0.06283186390991109,0.37331208653220765,0.20440361014434083,0.005491332680487561,0.3696087258089918,0.16203317668325473,0.30227790472248856,0.3696087258089918,0.24013366514096057
179,0.21137853971235088,0.34202086100605006,0.21946143832686088,1.2811801309243034,0.26844700799974497,0.2881115393680676,1.2856394485053297,1.2856394485053297,0.27225720438218504,0.052635874437676686,1.2856394485053297,0.014591680626372113
180,0.04824866021073479,0.005054994967215413,2.4225203146605297e-06,0.39759216768235894,0.022217685908855,0.010520453779244984,1.626706841791657,0.6528602304974731,0.012029276366133814,0.030170624748827483,1.626706841791657,0.040280365675073704
181,0.3797756344290512,0.3418275930804697,0.15394282301734577,1.9921303874604595,0.4603654969863584,0.28370106886558694,1.9923319104302304,1.9923319104302304,0.21595029715356365,0.010420319491370405,1.9923319104302304,0.08537865965702769
182,0.09941121168606513,0.012954764400454654,0.2730086727066456,1.000142673582561e-05,0.01461646109762179,0.30607575114245555,6.86083721807048e-06,0.01691590604437584,0.1632160366173009,7.245431461803292,6.86083721807048e-06,0.348310324886462
183,0.1260615662215214,0.1260615662215214,0.1260615662215214,0.9445822165869432,0.08187388341116762,0.015271712940196148,0.6634887606665208,0.6634887606665208,0.10532714672191221,0.5870649836296256,0.3393403051408044,0.009555041948616947
184,0.2662853427390169,0.2580927616583205,0.27322763271720124,0.3055278552009564,0.00015072194903549552,0.018599956555506524,1.6449287117698606,3.461225982755906,0.23904128632300536,0.835048150269197,3.461225982755906,0.14235529811275816
185,0.041959824221071335,0.041959824221071335,0.041959824221071335,5.054287861213533,0.5023090531065144,1.1301259995893982,5.057726985659558,0.5826137465693048,0.02383315006314921,0.0006050715132304517,0.5826137465693048,0.19568569159641788
186,0.06573861272181894,0.08861576146866701,0.08481068193044003,2.315416794419741,0.246067389157911,0.19163062618511004,2.315812844078549,2.315812844078549,0.005915669195820254,0.012961254549184183,2.315812844078549,0.0026855418339700532
187,0.6994897418129005,0.6960312309248243,0.7146501926237897,0.532629968117861,0.648521431257831,0.6781590975730207,0.5326187357847918,0.7244754888773066,0.6921214429474172,0.7305052871684115,0.7244754888773066,0.7238090639474567
188,0.11246153878151798,0.05749098750587408,0.10487129396841854,0.9978284931924439,0.21268224221948587,0.32058496363798417,1.0048180930448685,1.0048180930448685,0.04795029440648591,0.4282323173065284,0.7169624558577723,0.37451271857664514
189,0.013975157007518285,0.010203846494035163,0.011813304408600987,0.013786257400643835,0.0007143456110764013,0.010223009149270372,0.013811592922982271,0.013811592922982271,0.02521392675779341,0.029401130090737262,0.006483132652495638,0.01916003929069422
190,0.0018918872383872837,0.00023913257782033195,0.02561003316424042,0.17680340935997635,0.001392612392733521,0.07445544784709647,0.17698547983451307,0.17698547983451307,0.037965690039499574,0.0006084637130857991,0.17698547983451307,0.003190285432853056
191,0.19656410022431062,0.18466126024149124,0.17888206650891314,1.1893099074759994,0.4636094515042826,0.27082285541036916,1.189017554447651,1.189017554447651,0.13740286804067944,1.1698832633016858,1.189017554447651,0.26081166179125204
192,0.2511782628062481,0.1987190326453355,0.17472255372598922,2.2273116413535194,0.7002947304058743,0.3448780971147157,2.227697332635508,2.227697332635508,0.08608814210043728,0.3014604203997149,2.227697332635508,0.3274601681812331
193,0.7997132258870185,0.803470809320026,0.8349056008414307,0.7004202720509304,0.7468594798614479,0.8199883940313143,0.6999652022125499,0.6999652022125499,0.7658173108056037,0.6590393686197867,0.6999652022125499,0.7037900105775754
194,0.5876831299377268,0.5875492375991739,0.5866348689511454,0.45351346782019913,0.89756912689122,0.9273989296629921,0.44023770815400953,0.44023770815400953,0.3647237653207858,0.9505177872975973,0.44023770815400953,1.0396683122906618
195,1.1872491828252731,1.1786901832730872,1.1821190755496727,1.0316468336750448,1.2261136282215248,1.3721474775757327,1.0320162601012275,1.0320162601012275,1.1888318074966135,1.5224402598631164,1.0320162601012275,1.6270940065593749
196,1.1835313036437967,1.183882519087498,1.1955369931744524,0.4356717267150989,0.3823861660720879,0.652046725053842,0.4345751111527307,0.4345751111527307,1.3261552470069944,0.2044723866698723,0.4345751111527307,0.18066152683671693
197,1.0189798463716326,0.8756861608050905,0.8750312157258372,1.4415504085061086,1.0108359848845718,0.8103614674778109,1.4418972449203566,1.4418972449203566,1.2148750414389555,1.7039460473804864,1.4418972449203566,1.3834102476878576
198,0.0003197729822875307,0.00025067382331176645,0.004281169457519977,1.6360792786924572,0.03174537164148295,0.007154150860167324,1.638422946153688,1.638422946153688,0.0050419941833425705,0.06268140074675985,1.638422946153688,0.0018048069541483195
199,0.28748731437747416,0.31718592302748994,0.24852068063772143,1.415658384979875,0.31770096590846647,0.1701591662544933,1.4176829935510826,1.4176829935510826,0.2861918413941124,0.03838021443429674,1.4176829935510826,0.09070776050203694
200,0.09794009851457842,0.18537801635403728,0.139132383830511,0.24593699686376555,0.23176331073285414,0.0940017184039049,0.531369224477586,0.0815573078607796,0.1258142554909674,0.1442959410354399,0.531369224477586,0.13863525876314936
201,0.1565352503686431,0.2145718237908878,0.2867088148724967,0.12095697345501644,0.019079881670820267,0.476408502188469,0.8254891739124752,0.8254891739124752,0.4293442017817884,1.778548756560534,0.016065782131471727,0.6512643668675708
202,0.2000313380465605,0.2275431588453973,0.2009634720698014,0.029505749854409145,0.03669368667472403,0.8986654189889537,1.183257436563022,0.7402821193996332,0.31499787526622086,0.06737375959910395,0.7402821193996332,0.019099657941309682
203,0.22611511328330622,0.16785875952415963,0.17261773931660135,1.7334441071880555,0.13717385862059558,0.1853719054840846,0.20007019459402461,0.6771460261092919,0.1763610833782848,0.6771460261073562,0.6771460261092919,0.07883615117867722
204,1.2859474883417001,1.2859474883417001,1.333880790600282,12.389157981242917,3.475273543252936,2.7570857123134047,12.398967924321896,12.398967924321896,1.2026951976363596,0.9551798674947053,0.5926096552387472,1.5352729963452458
205,0.14301806414129872,0.15897381160023813,0.15897381160023813,0.006006803389011366,0.24085125560358076,0.4959790883965897,0.00588047333370383,0.00588047333370383,0.14754216708783544,0.20782033707093334,0.00588047333370383,0.3214218068782205
206,0.15851427975795118,0.1726292024005014,0.129340802576888,1.154817193030497,0.0028173325839803264,0.036686215772149054,1.158099114517444,1.158099114517444,0.18037899807862212,0.06638134245926373,1.158099114517444,0.43334788694794196
207,0.4436886844322019,0.45477660652080404,0.4722547622665966,1.1073511536389964,0.9068384315610863,0.9263205536763974,1.1074620223519926,1.1074620223519926,0.42831547007375675,0.3766083768487248,1.1074620223519926,0.6453065063271162
208,0.6840009971124752,0.6645276405592786,0.570507204332561,0.015545851869326707,0.2971331267425526,0.25505894415931946,0.01554169527914107,0.08251306548778832,0.6891133001497591,0.4965291402659891,0.08251306548778832,0.7521473534956837
209,0.24898792682135384,0.15594991597321828,0.16971022082606563,2.093925830685786,0.031645018806261346,0.2339449089828271,2.0951879730487817,2.0951879730487817,0.29021055105462545,0.36796309197279764,2.0951879730487817,0.6923476985530166
210,0.28850416019642117,0.3070839346462878,0.28521638816273553,0.9316672874406645,0.19304191669625737,0.1109393944495795,0.9317941543681474,0.9317941543681474,0.283288760328329,0.3688177979189804,0.9317941543681474,0.07684456201233475
211,1.437494412728296,1.3744448072183735,1.359843750149957,1.3763084388690205,1.1324237785493099,1.2274637015983274,1.3770783778869025,0.07666942770481057,1.406361003027545,1.3802777638930783,1.3770783778869025,1.3963184591551747
