oos_period,variant,row_model,col_model,adjacency
152,legacy,6,5,0.49448265045375217
152,legacy,6,6,0.0
152,legacy,6,7,0.2562501614126379
152,legacy,6,8,0.1947559033681134
152,legacy,7,1,0.0
152,legacy,7,2,0.0
152,legacy,7,3,0.0
152,legacy,7,4,0.46215817549107374
152,legacy,7,5,0.22253158642755722
152,legacy,7,6,0.0
152,legacy,7,7,0.0
152,legacy,7,8,0.0
152,legacy,8,1,0.0
152,legacy,8,2,0.0
152,legacy,8,3,0.0811832219384495
152,legacy,8,4,1.1323369872828075
152,legacy,8,5,0.3571789376016376
152,legacy,8,6,0.0
152,legacy,8,7,0.08155319819343308
152,legacy,8,8,0.0
153,legacy,1,1,0.0
153,legacy,1,2,0.0
153,legacy,1,3,0.0
153,legacy,1,4,0.14643878648025507
153,legacy,1,5,0.0
153,legacy,1,6,0.0
153,legacy,1,7,0.0
153,legacy,1,8,0.0
153,legacy,2,1,2.9300125884976125
153,legacy,2,2,0.0
153,legacy,2,3,0.0
153,legacy,2,4,1.1466703464091001
153,legacy,2,5,0.0
153,legacy,2,6,0.0
153,legacy,2,7,0.0
153,legacy,2,8,0.0
153,legacy,3,1,0.5493465399036348
153,legacy,3,2,0.31680996558010605
153,legacy,3,3,0.0
153,legacy,3,4,0.20012647079201482
153,legacy,3,5,0.1628714697540906
153,legacy,3,6,0.0
153,legacy,3,7,0.0
153,legacy,3,8,0.0
153,legacy,4,1,0.0
153,legacy,4,2,0.0
153,legacy,4,3,0.0
153,legacy,4,4,0.0
153,legacy,4,5,0.0
153,legacy,4,6,0.0
153,legacy,4,7,0.0
153,legacy,4,8,0.0
153,legacy,5,1,0.2856898842948742
153,legacy,5,2,0.24031768728148356
153,legacy,5,3,0.0
153,legacy,5,4,0.3486338878697342
153,legacy,5,5,0.0
153,legacy,5,6,0.0
153,legacy,5,7,0.0
153,legacy,5,8,0.0
153,legacy,6,1,1.5229340565538592
153,legacy,6,2,0.9331952664730897
153,legacy,6,3,0.274271319642271
153,legacy,6,4,0.8331453750412052
153,legacy,6,5,0.016896119227180414
153,legacy,6,6,0.0
153,legacy,6,7,0.053014550455635565
153,legacy,6,8,0.0
153,legacy,7,1,0.48427301584795135
153,legacy,7,2,0.15634560658049543
153,legacy,7,3,0.08268645268197909
153,legacy,7,4,0.4797065992025287
153,legacy,7,5,0.15981478768320928
153,legacy,7,6,0.0
153,legacy,7,7,0.0
153,legacy,7,8,0.0
153,legacy,8,1,0.5599663525686895
