oos_period,window_selected
150,20.0
151,20.0
152,20.0
153,20.0
154,20.0
155,20.0
156,20.0
157,20.0
158,20.0
159,20.0
160,20.0
161,20.0
162,20.0
163,20.0
164,20.0
165,20.0
166,20.0
167,20.0
168,20.0
169,20.0
170,20.0
171,20.0
172,40.0
173,20.0
174,20.0
175,20.0
176,20.0
177,20.0
178,20.0
179,20.0
180,20.0
181,20.0
182,20.0
183,20.0
184,20.0
185,40.0
186,20.0
187,20.0
188,20.0
189,20.0
190,20.0
191,20.0
192,20.0
193,20.0
194,20.0
195,20.0
196,20.0
197,20.0
198,20.0
199,20.0
200,20.0
201,20.0
202,20.0
203,20.0
204,40.0
205,60.0
206,60.0
207,60.0
208,60.0
209,60.0
210,40.0
211,40.0
212,40.0
213,40.0
214,40.0
215,40.0
216,60.0
217,60.0
218,20.0
219,20.0
220,60.0
221,20.0
222,20.0
223,20.0
224,60.0
225,20.0
226,60.0
227,60.0
228,60.0
229,60.0
230,20.0
231,60.0
232,20.0
233,20.0
234,20.0
235,60.0
236,20.0
237,60.0
238,20.0
239,60.0
240,60.0
241,60.0
242,60.0
243,60.0
244,60.0
245,60.0
246,60.0
247,60.0
248,40.0
249,60.0
250,60.0
251,20.0
252,20.0
253,20.0
254,20.0
255,20.0
256,20.0
257,20.0
258,20.0
259,20.0
260,20.0
261,20.0
262,20.0
263,20.0
264,20.0
265,20.0
266,20.0
267,20.0
268,20.0
269,20.0
270,20.0
271,20.0
272,20.0
273,20.0
274,20.0
275,20.0
276,20.0
277,20.0
278,20.0
279,20.0
280,20.0
281,20.0
282,20.0
283,20.0
284,20.0
285,20.0
286,40.0
287,40.0
288,20.0
289,20.0
290,40.0
291,40.0
292,40.0
293,20.0
294,40.0
295,40.0
296,20.0
297,20.0
298,40.0
299,40.0
