method,oos_period,model,weight
full_gcsr_eigenvector,164,model_3,0.148507157803103
full_gcsr_eigenvector,164,model_4,0.09584734117456435
full_gcsr_eigenvector,164,model_5,0.18928330746312105
full_gcsr_eigenvector,164,model_6,0.20389542834708993
full_gcsr_eigenvector,164,model_7,0.10158129990938665
full_gcsr_eigenvector,164,model_8,0.012795190854271962
full_gcsr_eigenvector,165,model_1,0.03376628533176932
full_gcsr_eigenvector,165,model_2,0.11160160116843738
full_gcsr_eigenvector,165,model_3,0.16334687291103375
full_gcsr_eigenvector,165,model_4,0.03031126519289538
full_gcsr_eigenvector,165,model_5,0.2847254135390763
full_gcsr_eigenvector,165,model_6,0.20655143416382934
full_gcsr_eigenvector,165,model_7,0.16148625373662157
full_gcsr_eigenvector,165,model_8,0.008210873955336845
full_gcsr_eigenvector,166,model_1,0.06259596772188972
full_gcsr_eigenvector,166,model_2,0.11515433965625232
full_gcsr_eigenvector,166,model_3,0.14688885271874674
full_gcsr_eigenvector,166,model_4,1.3619231000651461e-18
full_gcsr_eigenvector,166,model_5,0.2913369369708143
full_gcsr_eigenvector,166,model_6,0.17492746601266337
full_gcsr_eigenvector,166,model_7,0.20909643691863344
full_gcsr_eigenvector,166,model_8,0.0
full_gcsr_eigenvector,167,model_1,0.06120778023832818
full_gcsr_eigenvector,167,model_2,0.10839151930812448
full_gcsr_eigenvector,167,model_3,0.11638580680421755
full_gcsr_eigenvector,167,model_4,0.013636615025851609
full_gcsr_eigenvector,167,model_5,0.23992269126012974
full_gcsr_eigenvector,167,model_6,0.16583675861621677
full_gcsr_eigenvector,167,model_7,0.29461882874613166
full_gcsr_eigenvector,167,model_8,3.6060839542539674e-18
full_gcsr_eigenvector,168,model_1,0.05636541160587171
full_gcsr_eigenvector,168,model_2,0.14731077815587218
full_gcsr_eigenvector,168,model_3,0.10685411446546157
full_gcsr_eigenvector,168,model_4,0.036113973092450895
full_gcsr_eigenvector,168,model_5,0.25677593652886926
full_gcsr_eigenvector,168,model_6,0.22558075026979224
full_gcsr_eigenvector,168,model_7,0.17099903588068216
full_gcsr_eigenvector,168,model_8,0.0
full_gcsr_eigenvector,169,model_1,0.03249165444587681
full_gcsr_eigenvector,169,model_2,0.19138027035304697
full_gcsr_eigenvector,169,model_3,0.11431324300405811
full_gcsr_eigenvector,169,model_4,0.035352985326746404
full_gcsr_eigenvector,169,model_5,0.25938328932553506
full_gcsr_eigenvector,169,model_6,0.20819018683191873
full_gcsr_eigenvector,169,model_7,0.15888837071181794
full_gcsr_eigenvector,169,model_8,0.0
full_gcsr_eigenvector,170,model_1,0.029714757040456133
full_gcsr_eigenvector,170,model_2,0.22907615854371036
full_gcsr_eigenvector,170,model_3,0.12689976772637995
full_gcsr_eigenvector,170,model_4,0.027273227691645245
full_gcsr_eigenvector,170,model_5,0.254674071125675
full_gcsr_eigenvector,170,model_6,0.19390786662831774
full_gcsr_eigenvector,170,model_7,0.13845415124281565
full_gcsr_eigenvector,170,model_8,0.0
full_gcsr_eigenvector,171,model_1,0.005092082957772067
full_gcsr_eigenvector,171,model_2,0.2618180013333862
full_gcsr_eigenvector,171,model_3,0.13752312110512072
full_gcsr_eigenvector,171,model_4,0.0
full_gcsr_eigenvector,171,model_5,0.2574573697094541
full_gcsr_eigenvector,171,model_6,0.19347403026420787
full_gcsr_eigenvector,171,model_7,0.1311913281387911
full_gcsr_eigenvector,171,model_8,0.013444066490268056
full_gcsr_eigenvector,172,model_1,0.036396644866847946
full_gcsr_eigenvector,172,model_2,0.256674169746104
full_gcsr_eigenvector,172,model_3,0.09777517321670184
full_gcsr_eigenvector,172,model_4,0.021850587194249114
full_gcsr_eigenvector,172,model_5,0.19342782702035433
full_gcsr_eigenvector,172,model_6,0.22458706240298223
full_gcsr_eigenvector,172,model_7,0.13259953056460452
full_gcsr_eigenvector,172,model_8,0.03668900498715595
full_gcsr_eigenvector,173,model_1,0.050264835527474384
full_gcsr_eigenvector,173,model_2,0.29915380147415255
full_gcsr_eigenvector,173,model_3,0.1324956589095878
full_gcsr_eigenvector,173,model_4,0.0
full_gcsr_eigenvector,173,model_5,0.22239779057365963
full_gcsr_eigenvector,173,model_6,0.1503500053540651
full_gcsr_eigenvector,173,model_7,0.13448674237700917
full_gcsr_eigenvector,173,model_8,0.010851165783051474
full_gcsr_eigenvector,174,model_1,0.0158826209816154
full_gcsr_eigenvector,174,model_2,0.24171649255401165
full_gcsr_eigenvector,174,model_3,0.14529447311824542
full_gcsr_eigenvector,174,model_4,1.3094930841191377e-17
full_gcsr_eigenvector,174,model_5,0.11774543705572711
full_gcsr_eigenvector,174,model_6,0.11584476958820708
full_gcsr_eigenvector,174,model_7,0.32176282063262324
full_gcsr_eigenvector,174,model_8,0.04175338606857012
full_gcsr_eigenvector,175,model_1,0.01883125501948709
full_gcsr_eigenvector,175,model_2,0.26635790492083694
full_gcsr_eigenvector,175,model_3,0.1538021920652083
full_gcsr_eigenvector,175,model_4,2.880605528887305e-17
full_gcsr_eigenvector,175,model_5,0.11374534389935802
full_gcsr_eigenvector,175,model_6,0.09221658874817094
full_gcsr_eigenvector,175,model_7,0.3207141493326238
full_gcsr_eigenvector,175,model_8,0.0343325660133148
full_gcsr_eigenvector,176,model_1,0.02995984131823843
full_gcsr_eigenvector,176,model_2,0.21488179551639086
full_gcsr_eigenvector,176,model_3,0.13451810070984466
full_gcsr_eigenvector,176,model_4,9.08577831805297e-18
full_gcsr_eigenvector,176,model_5,0.0463361212694354
full_gcsr_eigenvector,176,model_6,0.1046732400210912
full_gcsr_eigenvector,176,model_7,0.39722139266482437
full_gcsr_eigenvector,176,model_8,0.07240950849917506
full_gcsr_eigenvector,177,model_1,0.08258930199693598
full_gcsr_eigenvector,177,model_2,0.19984766243377894
full_gcsr_eigenvector,177,model_3,0.1816520749703743
full_gcsr_eigenvector,177,model_4,0.0
full_gcsr_eigenvector,177,model_5,0.15717494588582726
full_gcsr_eigenvector,177,model_6,0.11189227609621853
full_gcsr_eigenvector,177,model_7,0.18117811073329543
full_gcsr_eigenvector,177,model_8,0.0856656278825695
full_gcsr_eigenvector,178,model_1,0.0896140271379501
full_gcsr_eigenvector,178,model_2,0.18634515492195747
full_gcsr_eigenvector,178,model_3,0.1637536827194826
full_gcsr_eigenvector,178,model_4,2.9900279968385645e-18
