Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE
equal,0.4938985521218058,0.26298618783430083,0.6142111600852258,74.08478281827087,0.9999999999979753
graph_only_v2_softmax,0.5093528443858605,0.26392116188935305,0.6524286613656154,76.40292665787906,1.0312904182379787
full_gcsr_v2_softmax,0.5388425779083884,0.28249349886361885,0.7049513448238556,80.82638668625826,1.090998496740698
full_gcsr_v2_pagerank,0.5450334327186128,0.27801934228486336,0.7085359092326816,81.75501490779192,1.103533165618782
bates_granger_mv,0.5461210036047833,0.288201196224369,0.6970834232586518,81.9181505407175,1.1057351783225975
full_gcsr_v2_eigenvector,0.547882007953179,0.2739878719531922,0.6953781558874067,82.18230119297685,1.109300696668069
full_gcsr_pagerank,0.5496501884499747,0.29182694253174113,0.6869951561959253,82.44752826749621,1.1128807446135347
full_gcsr_eigenvector,0.550116420911117,0.2804201311947818,0.6618738367765903,82.51746313666754,1.1138247288773848
graph_only_softmax,0.5637043441374555,0.30799730101901635,0.7239829100779285,84.55565162061832,1.1413362961171283
full_gcsr_softmax,0.5643650292239676,0.27358254342694854,0.7419927622366282,84.65475438359513,1.1426739900295164
graph_only_pagerank,0.572641036011687,0.28279006737114876,0.7391435451457934,85.89615540175306,1.1594304813213996
graph_only_v2_pagerank,0.5784890008676437,0.27763362080719367,0.7563551382135619,86.77335013014655,1.171270898408718
var_error,0.6494971935103931,0.2728372938210717,0.9595551882150587,97.42457902655897,1.3150417038454862
graph_only_eigenvector,1.124435681041771,0.5419873800970063,1.608319926243464,168.66535215626567,2.276653122810097
graph_only_v2_eigenvector,1.2312728144445892,0.6938699176430365,1.6144428924270937,184.69092216668838,2.4929670458690443
recent_best,1.253334173739268,0.6961907567096515,1.6511263347921068,188.0001260608902,2.5376348409048015
rs_selection_v2,1.5803524253461483,0.8486146479364451,2.1254255714850316,237.05286380192223,3.199751079556112
rs_selection,1.7285288495764124,0.9296775729214498,2.276097817976227,259.27932743646187,3.4997649662002273
