oos_period,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
150,0.8555307251078936,0.9479082946461947,0.9802992975192297,2.125504030058845,1.0103279545678008,0.7612114729075903,2.3660294013110192,2.3660294013110192,0.6897532661449819,0.373498710577181,2.3660294013110192,0.3734016207778435
151,0.1872498920017523,0.3083278501587108,0.05192872343627675,-0.26136457147165953,0.3640351437579702,-0.010562791985158582,0.6832551768069677,-1.619055111707298,0.5341936323887447,0.5966161967629633,-1.619055111707298,0.5840617535271613
152,-0.04500695021830344,-0.041767883687560084,-0.042839488981863835,-0.32499438239990125,-0.37902507451082756,-0.21411751849386323,-0.18133667484040417,-2.357579744510362,-0.007509806434054481,0.2368978574433206,-2.357579744510362,-0.18534875491473468
153,0.9168622389677697,0.9232322556396381,1.2136499546150434,0.5852146558017168,0.7457676698062334,0.9325751225696172,0.4294652616477765,1.011811844776477,1.2021156306451424,0.7518594064622055,1.011811844776477,0.7074156692976646
154,0.227470276368488,0.33566094734003654,0.11725359619088577,0.2466380750378736,0.5909960504430323,0.2499547428640157,1.628223420500737,-1.3010363478445637,-0.299093061413406,0.5251206511688891,-1.3010363478445637,0.6347056295877079
155,0.1884546058429809,0.3655704508664032,0.3723876909472995,-0.2661314701011158,-0.2000757325318862,0.08480560578871946,0.16540628841124327,0.16540628841124327,0.5379544022363163,0.31413865997734103,0.16540628841124327,0.49299375076750085
156,0.09471531864646879,0.09492319203612021,0.050748608176119814,0.0725531314163087,0.0563914743901439,-0.0766784258599332,0.03598534543863441,0.03598534543863441,0.1452559291267438,0.11884621194198441,0.03598534543863441,0.04858246597801997
157,0.5227574804410609,0.47410524877384597,0.3600842454300894,0.43184998839198885,0.3437699880964714,0.22887185299188703,0.5426409035562826,0.5426409035562826,0.4227601118051545,0.2817756071970847,0.5426409035562826,0.3982049340130952
158,-0.10447033617419099,-0.13506776012591218,0.018537546147224693,-0.3910547148531073,-0.17484638254442497,0.08598656107595527,-1.1877777595371382,-1.1877777595371382,0.04834905774651288,0.10064768594669103,-1.1877777595371382,0.12989022392695565
159,0.5678338306883118,0.5674069192269309,0.5934682126821702,0.7381400331696968,0.43222052842471603,0.25317820627959986,1.4192035577436408,1.4192035577436408,0.5330025749374085,0.1834340137969226,1.4192035577436408,0.17486274159209403
160,0.18006668207510929,0.18006668207510929,0.18006668207510929,0.012486456442158178,0.10902187277243602,0.13038913025483304,0.2860345342008434,0.2860345342008434,0.08807722162093709,0.04636774109954976,1.0440454721268668,0.2776197568761866
