graph_only_eigenvector,full_gcsr_eigenvector_rolling,graph_only_pagerank,full_gcsr_pagerank_rolling,graph_only_softmax,full_gcsr_softmax_rolling,full_gcsr_eigenvector_ewma,full_gcsr_pagerank_ewma,full_gcsr_softmax_ewma,full_gcsr_eigenvector_shrinkage,full_gcsr_pagerank_shrinkage,full_gcsr_softmax_shrinkage
0.0530188393031138,0.2401581628290328,0.1463746873842476,0.2395071225774256,0.0010389096286197,0.2359560927393402,0.2603862598611879,0.2610869021117584,0.2589024302558064,0.2303606102812566,0.2315957285789825,0.2280746690416466
0.1682938792157881,0.0110425454696628,0.0422839110549889,0.0124901173815753,0.1730040556999988,0.0130327278842076,0.0102654127303843,0.0121324021862938,0.0127881194257178,0.0178808958161651,0.0192387144556052,0.019971551510442
0.8502784753564095,0.9718643843078024,1.4011985838950411,0.9770491113089692,0.9029735764236404,0.9726433547992924,1.2610242958908635,1.2513726308503383,1.2530141961189574,0.9784108719936376,0.9745957596260432,0.9737135517831306
0.7459726622243938,0.692922793456196,1.1496060101196062,0.6696905837025582,0.6374323566996815,0.6577305141814551,0.752413632233431,0.7132450329470391,0.7002750277741789,0.7099144693977476,0.691229510214126,0.6799990621303276
0.1797857295708959,0.3085937965318867,0.3404988574128298,0.3105774787808362,0.2129343417958869,0.3068243952324788,0.3850332269039801,0.3698014403423109,0.3746402936566886,0.3325269349931943,0.3332675915815559,0.3294391321253477
0.4301369947382099,0.3078480402221515,0.1821286511859345,0.2586921717442123,0.4640053391710969,0.3014809998466231,0.3355120629331344,0.2741484450813894,0.3256884371141986,0.2909833949629685,0.2508046760250488,0.2848960400270541
0.4629408929656884,0.4954587269918003,0.1758688560578522,0.5000737903877768,0.5018604342223802,0.4984610747619185,0.3816851885997729,0.3939422214590412,0.3878749774445563,0.5089581026378189,0.512695580734224,0.5115793979707425
1.0961394467678152,0.0170236986402794,0.7540403432899634,0.0102330906620741,0.4550443122185224,0.0120415111249496,0.0173596920110171,0.0077832701782811,0.0107842605991883,0.0078576341839219,0.0038293227221861,0.004862377349981
0.9372560021044716,0.0080229141702237,0.2600893547822133,0.0111513688503904,0.3641236139471547,0.0100606244774402,0.0320707446720736,0.0331338737678736,0.0331516514583906,0.0076541977795164,0.0108941126154984,0.0097686436094381
0.0018162623410131,0.4304526652478078,0.4035249524727589,0.4440665948129088,0.1234848954512616,0.4390167537660614,0.5263338383070928,0.5691622252513999,0.5550092836538257,0.4102432478888529,0.4249810954664971,0.4200739369230188
0.235487880793695,0.3900169674987298,0.6160178120445974,0.4050125074160776,0.0109826857346189,0.3800636314153239,0.3406058612307964,0.3869133305979412,0.3548747264156866,0.3505115238493609,0.3681526168710698,0.3465064070725023
