oos_period,window_selected
150,40.0
151,20.0
152,20.0
153,20.0
154,40.0
155,60.0
156,40.0
157,40.0
158,40.0
159,40.0
160,40.0
161,40.0
162,40.0
163,40.0
164,40.0
165,60.0
166,40.0
167,40.0
168,40.0
169,60.0
170,60.0
171,60.0
172,60.0
173,60.0
174,60.0
175,60.0
176,60.0
177,60.0
178,60.0
179,60.0
180,60.0
181,60.0
182,60.0
183,20.0
184,40.0
185,20.0
186,20.0
187,20.0
188,20.0
189,20.0
190,20.0
191,20.0
192,20.0
193,40.0
194,40.0
195,40.0
196,40.0
197,40.0
198,40.0
199,40.0
200,40.0
201,40.0
202,20.0
203,20.0
204,20.0
205,40.0
206,40.0
207,40.0
208,40.0
209,40.0
210,40.0
211,40.0
212,40.0
213,60.0
214,60.0
215,20.0
216,20.0
217,60.0
218,60.0
219,40.0
220,60.0
221,40.0
222,40.0
223,60.0
224,60.0
225,60.0
226,60.0
227,60.0
228,60.0
229,60.0
230,60.0
231,60.0
232,60.0
233,60.0
234,60.0
235,60.0
236,60.0
237,60.0
238,60.0
239,60.0
240,60.0
241,60.0
242,60.0
243,60.0
244,60.0
245,60.0
246,60.0
247,20.0
248,20.0
249,20.0
250,20.0
251,40.0
252,60.0
253,60.0
254,60.0
255,60.0
256,60.0
257,60.0
258,60.0
259,60.0
260,20.0
261,20.0
262,40.0
263,20.0
264,40.0
265,60.0
266,60.0
267,20.0
268,20.0
269,60.0
270,20.0
271,20.0
272,20.0
273,20.0
274,20.0
275,60.0
276,20.0
277,20.0
278,60.0
279,40.0
280,20.0
281,20.0
282,20.0
283,20.0
284,20.0
285,20.0
286,20.0
287,20.0
288,20.0
289,20.0
290,20.0
291,40.0
292,20.0
293,40.0
294,20.0
295,40.0
296,20.0
297,40.0
298,40.0
299,20.0
