method,oos_period,model,weight
full_gcsr_eigenvector,164,model_3,0.21784514863046966
full_gcsr_eigenvector,164,model_4,0.14127151359454
full_gcsr_eigenvector,164,model_5,0.13129265621843994
full_gcsr_eigenvector,164,model_6,0.24035647233593047
full_gcsr_eigenvector,164,model_7,0.023248684995762308
full_gcsr_eigenvector,164,model_8,0.08862652189365576
full_gcsr_eigenvector,165,model_1,0.014542115379635696
full_gcsr_eigenvector,165,model_2,0.20973544351277135
full_gcsr_eigenvector,165,model_3,0.11323455978834901
full_gcsr_eigenvector,165,model_4,0.11176424840233976
full_gcsr_eigenvector,165,model_5,0.1517115499804254
full_gcsr_eigenvector,165,model_6,0.14056352448664675
full_gcsr_eigenvector,165,model_7,0.15895362035897023
full_gcsr_eigenvector,165,model_8,0.09949493808986191
full_gcsr_eigenvector,166,model_1,0.02152845191194025
full_gcsr_eigenvector,166,model_2,0.1264436617638431
full_gcsr_eigenvector,166,model_3,0.21134595613811338
full_gcsr_eigenvector,166,model_4,0.12998301249758323
full_gcsr_eigenvector,166,model_5,0.1388841024863513
full_gcsr_eigenvector,166,model_6,0.2514436595628593
full_gcsr_eigenvector,166,model_7,0.008950611523223644
full_gcsr_eigenvector,166,model_8,0.11142054411508569
full_gcsr_eigenvector,167,model_1,0.026714131220326717
full_gcsr_eigenvector,167,model_2,0.11561738651625306
full_gcsr_eigenvector,167,model_3,0.22545890030388935
full_gcsr_eigenvector,167,model_4,0.12454531746093693
full_gcsr_eigenvector,167,model_5,0.1326020038829295
full_gcsr_eigenvector,167,model_6,0.25012672359315075
full_gcsr_eigenvector,167,model_7,0.016626095564092624
full_gcsr_eigenvector,167,model_8,0.1083094414574209
full_gcsr_eigenvector,168,model_1,0.017333801542789542
full_gcsr_eigenvector,168,model_2,0.10888927086544668
full_gcsr_eigenvector,168,model_3,0.23268621946806947
full_gcsr_eigenvector,168,model_4,0.12448284534491678
full_gcsr_eigenvector,168,model_5,0.13328955491903002
full_gcsr_eigenvector,168,model_6,0.25470720205031705
full_gcsr_eigenvector,168,model_7,0.020150869685293102
full_gcsr_eigenvector,168,model_8,0.1084602361231372
full_gcsr_eigenvector,169,model_1,0.0350715171691474
full_gcsr_eigenvector,169,model_2,0.16464707389252636
full_gcsr_eigenvector,169,model_3,0.17972798138149437
full_gcsr_eigenvector,169,model_4,0.054931054180655546
full_gcsr_eigenvector,169,model_5,0.16344448120630817
full_gcsr_eigenvector,169,model_6,0.1419438390573872
full_gcsr_eigenvector,169,model_7,0.13197224449346706
full_gcsr_eigenvector,169,model_8,0.12826180861801367
full_gcsr_eigenvector,170,model_1,0.04589580448646438
full_gcsr_eigenvector,170,model_2,0.3122610299350473
full_gcsr_eigenvector,170,model_3,0.09730711390366739
full_gcsr_eigenvector,170,model_4,0.0685332885678498
full_gcsr_eigenvector,170,model_5,0.14191135611384148
full_gcsr_eigenvector,170,model_6,0.11351134317485244
full_gcsr_eigenvector,170,model_7,0.12112481756222811
full_gcsr_eigenvector,170,model_8,0.09945524625504913
full_gcsr_eigenvector,171,model_1,0.006848351671171816
full_gcsr_eigenvector,171,model_2,0.30696551560159185
full_gcsr_eigenvector,171,model_3,0.0969896980941896
full_gcsr_eigenvector,171,model_4,0.09961033700285608
full_gcsr_eigenvector,171,model_5,0.14608469310494607
full_gcsr_eigenvector,171,model_6,0.15480775488418008
