replication,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
1,1.1032581888024677,1.1054400909567883,1.0959762589721262,1.0968094886433832,1.0949743916025823,1.0932584878565454,2.276653122810097,2.4929670458690443,1.1594304813213996,1.171270898408718,1.1413362961171283,1.0312904182379787,3.4997649662002273,3.199751079556112,1.1234579721920026,0.9838160881406662,2.5330671010304298,0.9999999999979753
2,1.105883469713616,1.1039770019091235,1.1037250870814963,1.1005185162013786,1.1016470159071081,1.1001252440054847,2.062950222390815,2.1668818587260836,1.1928288393200546,1.1265684470463033,1.1410300065367989,1.0399538087835416,2.7100265457278496,2.5897951175935234,1.1065044892607043,1.0395980642346148,2.6442863589357795,0.9999999999980258
3,1.0504836402089408,1.063064385173199,1.0497493418941302,1.0546496586230931,1.0494042860922537,1.0514206952488205,1.7042178443216853,2.023995501626128,1.036679629990842,1.1301414592681707,1.0057670952768525,1.0209108718364335,2.372946420177648,2.4798754761627757,1.1369454540957395,1.0695920088222486,2.284621529194122,0.9999999999984249
4,0.9857610942643792,0.9785805043463632,0.9874127889370907,0.9875506358672624,0.9887427189641752,0.9891975134588614,1.3746844407546606,1.4273161179659635,0.9585417786930063,0.969721946621894,0.9891867951867973,0.9581921665476903,2.042491884508569,1.7904838489129098,1.0046572650456236,0.9432450105112649,1.6660884562583524,0.9999999999987728
5,1.0470513012956073,1.052449049386316,1.0459739095993996,1.0449415899971566,1.0404360045237087,1.0404486267874575,1.8198147035348864,2.3185060717937858,1.2625884070900493,1.253176865254244,1.1043500692680532,1.0781834929987406,3.1886042382505217,2.908330475303525,1.0388828546984257,1.066469302272995,2.836558679054447,0.9999999999979193
6,1.0947044443682756,1.0967183507177791,1.0892423454325533,1.0939154438874044,1.0896369766332268,1.0909473837691053,1.9141840912153427,2.2751074271797243,1.0159991023345598,1.096294525070371,0.9864711096237693,0.9638817140985161,2.4979374431045995,2.8122488974207145,1.143229220591804,1.0587261302882793,2.7289402521344974,0.9999999999977046
7,1.0907497283634586,1.0898427411210565,1.0904916861555418,1.0910052485040456,1.0906983543230395,1.0908406704417126,1.6422969611301126,1.8254044657815265,1.0588214033663288,1.0683210157569496,1.0618321159783437,1.0382216941250282,2.2905148092035668,2.3286442891598758,1.1037255978631475,1.0326772217407616,2.642684077291024,0.9999999999984561
8,1.10187791735599,1.0951981227058407,1.1010941075218224,1.0981967822052439,1.1042281474316458,1.1012149253083925,1.4975560219703827,1.8964845004869373,1.0834278138455946,1.067775409810186,1.084634956810209,1.0103146310696427,2.313666313756811,2.3048159528868957,1.1519444066790008,1.0159037435711034,2.3397678690664314,0.9999999999982203
9,1.016249438053791,1.0159264802750367,1.0173875186211565,1.0160602749251733,1.0185694443181226,1.0148780371318682,1.3567139806752417,1.5971540992453541,1.0191616163156634,0.9957521236177624,1.0434216437705706,0.9538690320416439,1.901044944627825,1.852428536120632,1.0655954173218773,0.8781758196051525,1.6510640036705546,0.9999999999987212
10,1.120441574050162,1.1197618791990458,1.116855003745835,1.1172374306503245,1.1185055243942728,1.1160364838704366,1.7021692953305432,2.0375463674130128,1.0936323827516525,1.1172972142640114,1.129312947752306,1.0305211721647303,2.3147970438913483,2.3742325056306,1.171572552842488,1.0360835670740325,2.506484043930411,0.9999999999984166
