Method,Mean_MSFE,Median_MSFE,Rel_MSFE_vs_EW,Win_Freq
var_error,0.5883122732285614,0.5626247942151734,0.9896253662768959,0.35
graph_only_v2_softmax,0.5992866649071206,0.551793833593583,1.0026212635340959,0.2
equal,0.5993411232507667,0.55788500104816,0.9999999999982581,0.4
graph_only_softmax,0.6276906533036661,0.5899370969754972,1.0508778357484274,0.05
full_gcsr_v2_softmax,0.6348632482610035,0.6075795900802105,1.065394890046155,0.0
full_gcsr_softmax,0.6351991059235336,0.6091778338536862,1.065945773650801,0.0
full_gcsr_v2_pagerank,0.6356267587888383,0.6076436525307218,1.0667643620059581,0.0
full_gcsr_pagerank,0.6356288718633885,0.6091984869993179,1.0667518480925609,0.0
full_gcsr_eigenvector,0.6360784565670243,0.609274661939171,1.0676159978687645,0.0
full_gcsr_v2_eigenvector,0.6363093668350354,0.6080904868981314,1.0681849372263845,0.0
graph_only_pagerank,0.6418544366721932,0.6077864745026642,1.0797883507548507,0.0
graph_only_v2_pagerank,0.6461464513853845,0.601484953377694,1.086059933978179,0.0
bates_granger_mv,0.6510604376782954,0.635263872445739,1.0922864117996267,0.0
graph_only_eigenvector,0.9930428103206654,0.981481468513256,1.6999862762703413,0.0
graph_only_v2_eigenvector,1.167212919211862,1.140580959057633,1.9977593054072198,0.0
recent_best,1.3687707383869918,1.3444242184882778,2.350775175185464,0.0
rs_selection_v2,1.4430857380757613,1.45378040911581,2.4813010570258056,0.0
rs_selection,1.4760286806718348,1.4727455928643474,2.5340271459091364,0.0
