method,event_index,event_time,horizon,oracle_weight_profile
full_gcsr_eigenvector,3,229,24,0.7864809236785095
full_gcsr_eigenvector,4,241,0,0.5820629237881021
full_gcsr_eigenvector,4,241,1,0.4280238347859078
full_gcsr_eigenvector,4,241,2,0.3609154327674764
full_gcsr_eigenvector,4,241,3,0.453197983882213
full_gcsr_eigenvector,4,241,4,0.44924203680636676
full_gcsr_eigenvector,4,241,5,0.40431297791791343
full_gcsr_eigenvector,4,241,6,0.7403568359013112
full_gcsr_eigenvector,4,241,7,0.7447985387784177
full_gcsr_eigenvector,4,241,8,0.7134861103092287
full_gcsr_eigenvector,4,241,9,0.6659628399837585
full_gcsr_eigenvector,4,241,10,0.8282255057806007
full_gcsr_eigenvector,4,241,11,0.7677386663114336
full_gcsr_eigenvector,4,241,12,0.7864809236785095
full_gcsr_eigenvector,4,241,13,0.7188725274013169
full_gcsr_eigenvector,4,241,14,0.7404359680191163
full_gcsr_eigenvector,4,241,15,0.6868530366234844
full_gcsr_eigenvector,4,241,16,0.6753297062774063
full_gcsr_eigenvector,4,241,17,0.6963151369136968
full_gcsr_eigenvector,4,241,18,0.6746903624535203
full_gcsr_eigenvector,4,241,19,0.6572294643675614
full_gcsr_eigenvector,4,241,20,0.5266941307722812
full_gcsr_eigenvector,4,241,21,0.593843351282315
full_gcsr_eigenvector,4,241,22,0.635731204580105
full_gcsr_eigenvector,4,241,23,0.5211647919670346
full_gcsr_eigenvector,4,241,24,0.5757320000098641
full_gcsr_eigenvector,5,269,0,0.6141227909894964
full_gcsr_eigenvector,5,269,1,0.6503703805461967
full_gcsr_eigenvector,5,269,2,0.4676570580325242
full_gcsr_eigenvector,5,269,3,0.6534346310823012
full_gcsr_eigenvector,5,269,4,0.49229953015883887
full_gcsr_eigenvector,5,269,5,0.5379407812114707
full_gcsr_eigenvector,5,269,6,0.6075932230262882
full_gcsr_eigenvector,5,269,7,0.5120881470489682
full_gcsr_eigenvector,5,269,8,0.533514994160463
full_gcsr_eigenvector,5,269,9,0.5845810198340876
full_gcsr_eigenvector,5,269,10,0.5745051802837489
full_gcsr_eigenvector,5,269,11,0.5708363777990964
full_gcsr_eigenvector,5,269,12,0.5712759770957663
full_gcsr_eigenvector,5,269,13,0.5407926364890424
full_gcsr_eigenvector,5,269,14,0.5367836832394273
full_gcsr_eigenvector,5,269,15,0.5314533735553171
full_gcsr_eigenvector,5,269,16,0.5900709758788449
full_gcsr_eigenvector,5,269,17,0.5173513019936711
full_gcsr_eigenvector,5,269,18,0.6008247307004435
full_gcsr_eigenvector,5,269,19,0.49943953310470435
full_gcsr_eigenvector,5,269,20,0.49846907304624644
full_gcsr_eigenvector,5,269,21,0.6170155140450866
full_gcsr_eigenvector,5,269,22,0.4844626800605649
full_gcsr_eigenvector,5,269,23,0.4822768940616763
full_gcsr_eigenvector,5,269,24,0.4730222903217479
full_gcsr_eigenvector,6,275,0,0.6075932230262882
full_gcsr_eigenvector,6,275,1,0.5120881470489682
full_gcsr_eigenvector,6,275,2,0.533514994160463
full_gcsr_eigenvector,6,275,3,0.5845810198340876
full_gcsr_eigenvector,6,275,4,0.5745051802837489
full_gcsr_eigenvector,6,275,5,0.5708363777990964
full_gcsr_eigenvector,6,275,6,0.5712759770957663
full_gcsr_eigenvector,6,275,7,0.5407926364890424
full_gcsr_eigenvector,6,275,8,0.5367836832394273
full_gcsr_eigenvector,6,275,9,0.5314533735553171
full_gcsr_eigenvector,6,275,10,0.5900709758788449
full_gcsr_eigenvector,6,275,11,0.5173513019936711
full_gcsr_eigenvector,6,275,12,0.6008247307004435
full_gcsr_eigenvector,6,275,13,0.49943953310470435
full_gcsr_eigenvector,6,275,14,0.49846907304624644
full_gcsr_eigenvector,6,275,15,0.6170155140450866
full_gcsr_eigenvector,6,275,16,0.4844626800605649
full_gcsr_eigenvector,6,275,17,0.4822768940616763
full_gcsr_eigenvector,6,275,18,0.4730222903217479
