method,event_index,event_time,horizon,relative_gap
full_gcsr_eigenvector,4,241,1,0.2856377063610659
full_gcsr_eigenvector,4,241,2,0.6624338911933261
full_gcsr_eigenvector,4,241,3,0.4189757000989472
full_gcsr_eigenvector,4,241,4,0.38482982160876916
full_gcsr_eigenvector,4,241,5,0.7116823865483713
full_gcsr_eigenvector,4,241,6,0.12553548819652854
full_gcsr_eigenvector,4,241,7,0.13891988501894098
full_gcsr_eigenvector,4,241,8,0.22103571098004804
full_gcsr_eigenvector,4,241,9,0.22093028799275224
full_gcsr_eigenvector,4,241,10,0.14576103609637525
full_gcsr_eigenvector,4,241,11,0.16038152572209607
full_gcsr_eigenvector,4,241,12,0.19697037347398258
full_gcsr_eigenvector,4,241,13,0.3191850730577745
full_gcsr_eigenvector,4,241,14,0.4135033802827048
full_gcsr_eigenvector,4,241,15,0.5431556530569029
full_gcsr_eigenvector,4,241,16,0.3231605192862495
full_gcsr_eigenvector,4,241,17,0.5188810835812411
full_gcsr_eigenvector,4,241,18,0.547503253349881
full_gcsr_eigenvector,4,241,19,0.5714547304696806
full_gcsr_eigenvector,4,241,20,0.2495890858804562
full_gcsr_eigenvector,4,241,21,0.25369878825167175
full_gcsr_eigenvector,4,241,22,0.2708512887085398
full_gcsr_eigenvector,4,241,23,0.2800347382937192
full_gcsr_eigenvector,4,241,24,0.31420577298042685
full_gcsr_eigenvector,5,269,0,1.0
full_gcsr_eigenvector,5,269,1,0.9923811070211873
full_gcsr_eigenvector,5,269,2,2.2087852869457727
full_gcsr_eigenvector,5,269,3,1.3715149233408552
full_gcsr_eigenvector,5,269,4,1.9522096592503733
full_gcsr_eigenvector,5,269,5,1.6206730444458912
full_gcsr_eigenvector,5,269,6,0.4565940535731639
full_gcsr_eigenvector,5,269,7,1.1102346763499567
full_gcsr_eigenvector,5,269,8,0.8974628240621382
full_gcsr_eigenvector,5,269,9,0.4821651664640768
full_gcsr_eigenvector,5,269,10,0.48883876524823844
full_gcsr_eigenvector,5,269,11,0.43363715093977934
full_gcsr_eigenvector,5,269,12,0.4007371829660313
full_gcsr_eigenvector,5,269,13,0.6017292925987572
full_gcsr_eigenvector,5,269,14,0.6608957350540098
full_gcsr_eigenvector,5,269,15,0.7074091483666827
full_gcsr_eigenvector,5,269,16,0.33195789146713484
full_gcsr_eigenvector,5,269,17,0.7033545263609151
full_gcsr_eigenvector,5,269,18,0.341216401389068
full_gcsr_eigenvector,5,269,19,0.7509659717726468
full_gcsr_eigenvector,5,269,20,0.7615298104087262
full_gcsr_eigenvector,5,269,21,0.3774847163393129
full_gcsr_eigenvector,5,269,22,0.8674871360644414
full_gcsr_eigenvector,5,269,23,0.9462083096363471
full_gcsr_eigenvector,5,269,24,1.0952374794046342
full_gcsr_eigenvector,6,275,0,1.0
full_gcsr_eigenvector,6,275,1,2.4315574582314494
full_gcsr_eigenvector,6,275,2,1.965559597280936
full_gcsr_eigenvector,6,275,3,1.0560040427394999
full_gcsr_eigenvector,6,275,4,1.0706200867548261
full_gcsr_eigenvector,6,275,5,0.9497214156563561
full_gcsr_eigenvector,6,275,6,0.8776662329042308
full_gcsr_eigenvector,6,275,7,1.3178649347047116
full_gcsr_eigenvector,6,275,8,1.4474470919672389
full_gcsr_eigenvector,6,275,9,1.5493174797847615
full_gcsr_eigenvector,6,275,10,0.7270306936092028
full_gcsr_eigenvector,6,275,11,1.5404373334621422
full_gcsr_eigenvector,6,275,12,0.7473080271606998
full_gcsr_eigenvector,6,275,13,1.6447125535162346
full_gcsr_eigenvector,6,275,14,1.6678487256880141
full_gcsr_eigenvector,6,275,15,0.8267403252084302
full_gcsr_eigenvector,6,275,16,1.8999089656901034
full_gcsr_eigenvector,6,275,17,2.072318511885149
full_gcsr_eigenvector,6,275,18,2.3987116582742245
full_gcsr_eigenvector,6,275,19,1.669437753064358
full_gcsr_eigenvector,6,275,20,3.041695742368825
full_gcsr_eigenvector,6,275,21,3.4405089286764734
full_gcsr_eigenvector,6,275,22,3.6844918210919344
full_gcsr_eigenvector,6,275,23,4.0707400678315055
full_gcsr_eigenvector,6,275,24,1.6605379782643397
full_gcsr_eigenvector,7,280,0,1.0
full_gcsr_eigenvector,7,280,1,0.9241301906387699
full_gcsr_eigenvector,7,280,2,1.3876331658730998
full_gcsr_eigenvector,7,280,3,1.524075447921644
full_gcsr_eigenvector,7,280,4,1.631338889745918
full_gcsr_eigenvector,7,280,5,0.765519953139889
full_gcsr_eigenvector,7,280,6,1.6219886253670925
full_gcsr_eigenvector,7,280,7,0.7868707758308602
full_gcsr_eigenvector,7,280,8,1.7317842120887286
full_gcsr_eigenvector,7,280,9,1.7561452213177242
full_gcsr_eigenvector,7,280,10,0.8705082475549598
full_gcsr_eigenvector,7,280,11,2.0004908116945734
full_gcsr_eigenvector,7,280,12,2.182027779644162
full_gcsr_eigenvector,7,280,13,2.5257002935081396
full_gcsr_eigenvector,7,280,14,1.75781837235986
full_gcsr_eigenvector,7,280,15,3.202724180192038
full_gcsr_eigenvector,7,280,16,3.6226506762498603
full_gcsr_eigenvector,7,280,17,3.8795501084342376
full_gcsr_eigenvector,7,280,18,4.286246472622923
full_gcsr_eigenvector,7,280,19,1.748447440365168
full_gcsr_eigenvector,7,280,20,
full_gcsr_eigenvector,7,280,21,
full_gcsr_eigenvector,7,280,22,
full_gcsr_eigenvector,7,280,23,
full_gcsr_eigenvector,7,280,24,
full_gcsr_v2_eigenvector,0,160,0,1.0
full_gcsr_v2_eigenvector,0,160,1,1.1907846964328437
full_gcsr_v2_eigenvector,0,160,2,0.3846761631999229
full_gcsr_v2_eigenvector,0,160,3,0.42016124228520446
full_gcsr_v2_eigenvector,0,160,4,0.6251503623635827
full_gcsr_v2_eigenvector,0,160,5,1.2022692328475155
full_gcsr_v2_eigenvector,0,160,6,0.691029133363371
full_gcsr_v2_eigenvector,0,160,7,0.6675201189222171
full_gcsr_v2_eigenvector,0,160,8,0.8120341264849477
full_gcsr_v2_eigenvector,0,160,9,2.5381462293364967
full_gcsr_v2_eigenvector,0,160,10,2.442157354065476
full_gcsr_v2_eigenvector,0,160,11,3.2943808283735163
full_gcsr_v2_eigenvector,0,160,12,2.443057199005593
full_gcsr_v2_eigenvector,0,160,13,2.3834508680363315
full_gcsr_v2_eigenvector,0,160,14,2.4201576672578873
full_gcsr_v2_eigenvector,0,160,15,2.2267089717208695
full_gcsr_v2_eigenvector,0,160,16,0.5900063894896651
full_gcsr_v2_eigenvector,0,160,17,0.6864893903269387
full_gcsr_v2_eigenvector,0,160,18,0.6227937967198248
full_gcsr_v2_eigenvector,0,160,19,1.7062483606406553
full_gcsr_v2_eigenvector,0,160,20,0.7916176834284981
full_gcsr_v2_eigenvector,0,160,21,0.8753032628310917
full_gcsr_v2_eigenvector,0,160,22,1.235632253240506
full_gcsr_v2_eigenvector,0,160,23,1.0631190928960739
full_gcsr_v2_eigenvector,0,160,24,1.4153769386312622
full_gcsr_v2_eigenvector,1,184,0,1.0
full_gcsr_v2_eigenvector,1,184,1,0.8281013924377207
full_gcsr_v2_eigenvector,1,184,2,0.6626014931592982
full_gcsr_v2_eigenvector,1,184,3,0.6339562621173627
full_gcsr_v2_eigenvector,1,184,4,0.7186410950009199
full_gcsr_v2_eigenvector,1,184,5,0.7909509877670227
full_gcsr_v2_eigenvector,1,184,6,0.9739090204990648
full_gcsr_v2_eigenvector,1,184,7,1.8941617257645924
full_gcsr_v2_eigenvector,1,184,8,1.4806526134292435
full_gcsr_v2_eigenvector,1,184,9,2.222546295304699
full_gcsr_v2_eigenvector,1,184,10,6.935333426661622
full_gcsr_v2_eigenvector,1,184,11,7.234190473857422
full_gcsr_v2_eigenvector,1,184,12,13.43937433674023
full_gcsr_v2_eigenvector,1,184,13,11.399809459491696
full_gcsr_v2_eigenvector,1,184,14,13.009331626546956
full_gcsr_v2_eigenvector,1,184,15,15.84991974598448
full_gcsr_v2_eigenvector,1,184,16,10.214783759347817
full_gcsr_v2_eigenvector,1,184,17,10.831264406346076
full_gcsr_v2_eigenvector,1,184,18,10.013507965223322
full_gcsr_v2_eigenvector,1,184,19,9.839959025773819
full_gcsr_v2_eigenvector,1,184,20,13.775114570221898
full_gcsr_v2_eigenvector,1,184,21,10.867001224662824
full_gcsr_v2_eigenvector,1,184,22,9.419562831756904
full_gcsr_v2_eigenvector,1,184,23,10.693178027987939
full_gcsr_v2_eigenvector,1,184,24,8.649912606498933
full_gcsr_v2_eigenvector,2,194,0,1.0
full_gcsr_v2_eigenvector,2,194,1,1.0430919508565946
full_gcsr_v2_eigenvector,2,194,2,1.9378122881698825
full_gcsr_v2_eigenvector,2,194,3,1.6437291126721048
full_gcsr_v2_eigenvector,2,194,4,1.8758047848910853
full_gcsr_v2_eigenvector,2,194,5,2.285386840242224
full_gcsr_v2_eigenvector,2,194,6,1.4728612354928674
full_gcsr_v2_eigenvector,2,194,7,1.5617510709300955
full_gcsr_v2_eigenvector,2,194,8,1.4438394449397662
full_gcsr_v2_eigenvector,2,194,9,1.4188155666670468
full_gcsr_v2_eigenvector,2,194,10,1.9862223952010711
full_gcsr_v2_eigenvector,2,194,11,1.566903933253825
full_gcsr_v2_eigenvector,2,194,12,1.358198986590193
full_gcsr_v2_eigenvector,2,194,13,1.5418405100582433
full_gcsr_v2_eigenvector,2,194,14,1.2472237561421236
full_gcsr_v2_eigenvector,2,194,15,1.69698935590335
full_gcsr_v2_eigenvector,2,194,16,1.37834794993534
full_gcsr_v2_eigenvector,2,194,17,2.5624186938500464
full_gcsr_v2_eigenvector,2,194,18,3.296474520079466
full_gcsr_v2_eigenvector,2,194,19,1.729466865658009
full_gcsr_v2_eigenvector,2,194,20,2.347007762965529
full_gcsr_v2_eigenvector,2,194,21,2.031904893712311
full_gcsr_v2_eigenvector,2,194,22,2.120751964819499
full_gcsr_v2_eigenvector,2,194,23,3.2319955837059933
full_gcsr_v2_eigenvector,2,194,24,5.811470558888317
full_gcsr_v2_eigenvector,3,229,0,1.0
full_gcsr_v2_eigenvector,3,229,1,0.7591239437914123
full_gcsr_v2_eigenvector,3,229,2,1.0860403215743284
full_gcsr_v2_eigenvector,3,229,3,0.8848026240969135
full_gcsr_v2_eigenvector,3,229,4,0.8846051582135128
full_gcsr_v2_eigenvector,3,229,5,0.99889782517229
full_gcsr_v2_eigenvector,3,229,6,1.1140794790991793
full_gcsr_v2_eigenvector,3,229,7,1.216183184568268
full_gcsr_v2_eigenvector,3,229,8,1.168951306542148
full_gcsr_v2_eigenvector,3,229,9,1.2834209815460949
full_gcsr_v2_eigenvector,3,229,10,1.4639779202495187
full_gcsr_v2_eigenvector,3,229,11,0.517839812722928
full_gcsr_v2_eigenvector,3,229,12,1.61942113168524
full_gcsr_v2_eigenvector,3,229,13,0.5271844934982414
full_gcsr_v2_eigenvector,3,229,14,1.3955975487527563
full_gcsr_v2_eigenvector,3,229,15,1.3463586376308974
full_gcsr_v2_eigenvector,3,229,16,1.2311638971310093
full_gcsr_v2_eigenvector,3,229,17,1.462873924420567
full_gcsr_v2_eigenvector,3,229,18,1.280150257004884
full_gcsr_v2_eigenvector,3,229,19,0.8981845804148303
full_gcsr_v2_eigenvector,3,229,20,0.3667849503785616
full_gcsr_v2_eigenvector,3,229,21,0.3282077485354549
full_gcsr_v2_eigenvector,3,229,22,0.3580633819191062
full_gcsr_v2_eigenvector,3,229,23,0.2966601097894551
full_gcsr_v2_eigenvector,3,229,24,0.3556424025780088
full_gcsr_v2_eigenvector,4,241,0,1.0
full_gcsr_v2_eigenvector,4,241,1,0.32553885038515595
full_gcsr_v2_eigenvector,4,241,2,0.8617879076954101
full_gcsr_v2_eigenvector,4,241,3,0.8313826535225077
