method,event_index,event_time,horizon,excess_risk
full_gcsr_eigenvector,4,241,0,7.343822553859628
full_gcsr_eigenvector,4,241,1,2.097672630207255
full_gcsr_eigenvector,4,241,2,4.864796950586527
full_gcsr_eigenvector,4,241,3,3.076883195906128
full_gcsr_eigenvector,4,241,4,2.826121923328247
full_gcsr_eigenvector,4,241,5,5.226469161518442
full_gcsr_eigenvector,4,241,6,0.9219103495274585
full_gcsr_eigenvector,4,241,7,1.0202029847798093
full_gcsr_eigenvector,4,241,8,1.6232470395022682
full_gcsr_eigenvector,4,241,9,1.6224728317918595
full_gcsr_eigenvector,4,241,10,1.070443184358514
full_gcsr_eigenvector,4,241,11,1.1778134658203467
full_gcsr_eigenvector,4,241,12,1.4465154711603612
full_gcsr_eigenvector,4,241,13,2.3440385383770224
full_gcsr_eigenvector,4,241,14,3.0366954502173296
full_gcsr_eigenvector,4,241,15,3.988838735175648
full_gcsr_eigenvector,4,241,16,2.3732335100513486
full_gcsr_eigenvector,4,241,17,3.8105706043750502
full_gcsr_eigenvector,4,241,18,4.020766740262382
full_gcsr_eigenvector,4,241,19,4.1966621381330205
full_gcsr_eigenvector,4,241,20,1.8329379580861163
full_gcsr_eigenvector,4,241,21,1.8631188830494645
full_gcsr_eigenvector,4,241,22,1.989083802759752
full_gcsr_eigenvector,4,241,23,2.056525426945556
full_gcsr_eigenvector,4,241,24,2.3074714421665603
full_gcsr_eigenvector,5,269,0,0.7589988208336533
full_gcsr_eigenvector,5,269,1,0.7532160900463913
full_gcsr_eigenvector,5,269,2,1.676465428265916
full_gcsr_eigenvector,5,269,3,1.0409782095710631
full_gcsr_eigenvector,5,269,4,1.4817248293419163
full_gcsr_eigenvector,5,269,5,1.230088929577144
full_gcsr_eigenvector,5,269,6,0.34655434826155596
full_gcsr_eigenvector,5,269,7,0.8426668101979253
full_gcsr_eigenvector,5,269,8,0.6811732252049414
full_gcsr_eigenvector,5,269,9,0.36596279279315547
full_gcsr_eigenvector,5,269,10,0.37102804640105014
