method,event_index,event_time,horizon,oracle_gap_profile
full_gcsr_eigenvector,0,160,0,0.13587268109940376
full_gcsr_eigenvector,0,160,1,0.08164589213387452
full_gcsr_eigenvector,0,160,2,0.11939296626164753
full_gcsr_eigenvector,0,160,3,0.12261263383130183
full_gcsr_eigenvector,0,160,4,0.13154871828295178
full_gcsr_eigenvector,0,160,5,0.26432654774605446
full_gcsr_eigenvector,0,160,6,0.1710143333582026
full_gcsr_eigenvector,0,160,7,0.15158125263108158
full_gcsr_eigenvector,0,160,8,0.1570608559495864
full_gcsr_eigenvector,0,160,9,0.17757056059198795
full_gcsr_eigenvector,0,160,10,0.25850085267631695
full_gcsr_eigenvector,0,160,11,0.3071272513512203
full_gcsr_eigenvector,0,160,12,0.35137815206919165
full_gcsr_eigenvector,0,160,13,0.22856855238228801
full_gcsr_eigenvector,0,160,14,0.230203265068037
full_gcsr_eigenvector,0,160,15,0.24605222709109376
full_gcsr_eigenvector,0,160,16,0.1729322485078919
full_gcsr_eigenvector,0,160,17,0.18446172220479085
full_gcsr_eigenvector,0,160,18,0.18499852071283862
full_gcsr_eigenvector,0,160,19,0.2990661538490549
full_gcsr_eigenvector,0,160,20,0.19722039721904194
full_gcsr_eigenvector,0,160,21,0.19583858037614643
full_gcsr_eigenvector,0,160,22,0.19264732563669307
full_gcsr_eigenvector,0,160,23,0.18702136384241264
full_gcsr_eigenvector,0,160,24,0.18308011411291847
full_gcsr_eigenvector,1,184,0,0.18308011411291847
full_gcsr_eigenvector,1,184,1,0.18577040556035174
full_gcsr_eigenvector,1,184,2,0.19068810898185773
full_gcsr_eigenvector,1,184,3,0.19900893069816372
full_gcsr_eigenvector,1,184,4,0.2115933156942713
full_gcsr_eigenvector,1,184,5,0.2196152313375055
full_gcsr_eigenvector,1,184,6,0.20414356844547354
full_gcsr_eigenvector,1,184,7,0.23258148780940124
full_gcsr_eigenvector,1,184,8,0.2385093068975992
full_gcsr_eigenvector,1,184,9,0.2557835936507451
full_gcsr_eigenvector,1,184,10,0.27086833874876803
full_gcsr_eigenvector,1,184,11,0.2722395505893558
full_gcsr_eigenvector,1,184,12,0.2684462136045256
full_gcsr_eigenvector,1,184,13,0.2706228966271874
full_gcsr_eigenvector,1,184,14,0.27562687045294676
full_gcsr_eigenvector,1,184,15,0.27825957863638884
full_gcsr_eigenvector,1,184,16,0.28508531330013387
full_gcsr_eigenvector,1,184,17,0.30114537542614095
full_gcsr_eigenvector,1,184,18,0.30079890216168637
full_gcsr_eigenvector,1,184,19,0.3110801800112839
full_gcsr_eigenvector,1,184,20,0.31698548020758477
full_gcsr_eigenvector,1,184,21,0.3148017556583289
