oos_period,TARGET_PERIOD,period_dt,actual
20,2016-09-01,2016-09-01,0.30000000000000004
21,2016-12-01,2016-12-01,0.7000000000000001
22,2017-03-01,2017-03-01,0.3999999999999999
23,2017-06-01,2017-06-01,-0.19999999999999996
24,2017-09-01,2017-09-01,0.30000000000000004
25,2017-12-01,2017-12-01,-0.30000000000000004
26,2018-03-01,2018-03-01,0.09999999999999987
27,2018-06-01,2018-06-01,0.6000000000000001
28,2018-09-01,2018-09-01,0.10000000000000009
29,2018-12-01,2018-12-01,-0.6000000000000001
30,2019-03-01,2019-03-01,-0.10000000000000009
31,2019-06-01,2019-06-01,-0.09999999999999987
32,2019-09-01,2019-09-01,-0.5
33,2019-12-01,2019-12-01,0.5
34,2020-03-01,2020-03-01,-0.6000000000000001
35,2020-06-01,2020-06-01,-0.39999999999999997
36,2020-09-01,2020-09-01,-0.6
37,2020-12-01,2020-12-01,0.0
38,2021-03-01,2021-03-01,1.6
39,2021-06-01,2021-06-01,0.5999999999999999
40,2021-09-01,2021-09-01,1.5
41,2021-12-01,2021-12-01,1.6
42,2022-03-01,2022-03-01,2.4000000000000004
43,2022-06-01,2022-06-01,1.1999999999999993
44,2022-09-01,2022-09-01,1.3000000000000007
45,2022-12-01,2022-12-01,-0.7000000000000011
46,2023-03-01,2023-03-01,-2.299999999999999
47,2023-06-01,2023-06-01,-1.4000000000000004
48,2023-09-01,2023-09-01,-1.2000000000000002
49,2023-12-01,2023-12-01,-1.4
