t,actual,common_shock
0,-1.188698529426307,-1.1860977640317572
1,-0.26437030406395745,-0.26785743638470005
2,-0.44890983168756565,-0.450517014627476
3,0.787096319090262,0.7878387960853301
4,-0.8520260308864323,-0.8513893059466549
5,-0.7133585706688734,-0.7206753998670269
6,0.5787665815058416,0.5549848215528499
7,0.7080182010074342,0.6783815787319816
8,-0.3348217048511255,-0.37249146936282074
9,-0.28037168751377145,-0.31604291140445545
10,0.33671094353565323,0.3081176982766564
11,-1.1284167908913072,-1.163549898472655
12,-0.8937513264254243,-0.9305968422527781
13,-0.11774747108549974,-0.14036670042535593
14,0.7942838161701632,0.774945283064563
15,-0.19935548121258512,-0.2178650440833698
16,0.0638733800680772,0.05046839586757731
17,0.5951169764279272,0.566894636282006
18,1.0864630971540163,1.053442366639073
19,-0.24167175688032647,-0.2884242365741563
20,0.04096837044363838,-0.008418361866713029
21,0.9612282213460235,0.9110276106714212
22,-0.7202650050972145,-0.7610996375957142
23,0.5547444631073762,0.5137905352769109
24,-0.46807329909340933,-0.5091577661806291
25,0.0786495117984558,0.051236183551578364
26,-0.09929147015096364,-0.12130952370013713
27,-0.4602205727866048,-0.47900580035061463
28,-0.46863094082457046,-0.49155096382913754
29,0.16574070625130138,0.13820718212687724
30,0.5194900033861132,0.49776966408134105
31,-0.03845906626406066,-0.0648681015942516
32,0.05964482540331396,0.035056579366608186
33,0.2814790789336798,0.2855870331455236
34,-0.49476436103783916,-0.4858093865064799
35,0.37168116607652607,0.3698462542064615
36,0.39468840283366124,0.4096715485298735
37,1.287956915683148,1.301813149375205
38,-0.18605571682999508,-0.18805209527979114
39,-0.23465065191437257,-0.2290409008340638
40,0.37889467551084083,0.38448293578687276
41,0.39092366160775804,0.40955208445606917
42,-0.2698996881200314,-0.267543576688356
43,-0.20477077616666597,-0.20158133846502443
44,0.26784224983531885,0.2705654191090202
45,-0.4029722849859758,-0.4137921203673307
46,-0.18783237467969777,-0.20526699400750745
47,0.0534747156870596,0.044796383684217324
48,0.5001748951730982,0.49796934241112906
49,-0.2951444422825683,-0.3022993080897704
50,-0.9202785757587633,-0.921192231015336
51,-0.978557511623738,-0.9582987337591055
52,-0.65049771920409,-0.6297065333530667
53,-0.6921771715622401,-0.6565838590999686
54,-0.09673587423658869,-0.07730537930995451
55,-0.6121026953478051,-0.5944400767988025
56,-0.3780918490270404,-0.35137747991060203
57,-0.42074363575408785,-0.3870429424910249
58,-0.2728485995657989,-0.2202539304239967
59,0.597662877751954,0.6612521657615612
60,0.27754773873105815,0.33097379471525834
61,-0.02304348689127433,0.008064707638001937
62,-0.2543573696877057,-0.23051314029041906
63,-0.24138098309500755,-0.2166163283115106
64,0.13478898643593862,0.16387323497597475
65,0.25343533000034535,0.2920845366761451
66,-0.4718603007327026,-0.4538087530503002
67,-0.0016986568939303635,0.01824037780711574
68,-1.0145925207319346,-1.0158097843315135
69,0.12100935078097806,0.10585689208529851
70,0.3788191153615598,0.381074620979343
71,-0.1489493430158138,-0.1400343134404377
72,0.8926580172529384,0.9082634980700527
73,-0.4570231681761969,-0.4406192237180252
74,0.09171312066232137,0.10872020765163064
75,-0.004957069368305566,-0.017912373332977738
76,-0.04796580850177958,-0.050148833721704165
77,-0.05268835942580533,-0.05716108400237382
78,0.06419031700598235,0.05355251500473584
79,0.43460145368840447,0.4239793717318499
80,0.7005920058717403,0.6888681181373721
81,0.0001506765392235653,-0.0011251222520786953
82,0.40999869682314566,0.4076580360858166
83,-0.34342882243431844,-0.35088347313339124
84,0.39370838290490057,0.3829777263631165
85,-0.36456309633259015,-0.38099576191349516
86,0.5758887126313335,0.5453299680440661
87,1.1452488487030306,1.1053204386966198
88,-0.020400587844310786,-0.061041943985695894
89,-1.067347972781152,-1.0962717454037043
90,-0.25111274674697037,-0.2740364666224115
91,0.6366649755009186,0.6159375671446516
92,0.2997892601823039,0.27653839351262244
93,0.14292433839220228,0.12445679933751477
94,0.5134443850402636,0.5043341779774195
95,0.2394549397958516,0.242226719624211
96,0.5895790363066534,0.6088625937255682
97,0.4380787738668324,0.45971183832349277
98,0.724520507491116,0.7608502263684794
99,0.13306306623418981,0.17939804195312717
100,0.402355706299597,0.45262970074697734
101,-0.2171967040841874,-0.1535635365428927
102,-0.36056605143581066,-0.30073040577950294
103,0.8009504051892358,0.8533838202094867
104,0.050174652943339164,0.10810233816134401
105,0.3401423246370846,0.4024402829311895
106,0.004946346612980983,0.061870007205695084
107,-0.35732143702504304,-0.29325782545998214
108,-0.06639950438983318,0.005491446291200661
109,0.6580710429846861,0.7179970088838571
110,0.22653594862766896,0.277620037139712
111,-0.9008051683538334,-0.8557365798652296
112,-0.1434343705627403,-0.10762222828807735
113,0.8355619668240194,0.891146896352356
114,-0.14894500498538352,-0.10689843092497803
115,-0.9383652987616584,-0.9002393458670903
116,0.9185063036567611,0.9465244427112718
117,0.3170497336430492,0.3411962549063963
118,-0.05866370242294573,-0.0350064294064002
119,-0.2121192331812004,-0.18570886804103431
120,0.5184370435245637,0.5411759648958677
121,-0.2968481005734458,-0.27099170011309626
122,0.5569505727982957,0.5741282122579942
123,0.23805543695690756,0.271097642862128
124,0.08388299822051176,0.12234096274367497
125,0.05474767062940093,0.07275740266779768
126,-0.11175455503120973,-0.08748401835708906
127,0.49616268619987747,0.5228200601046329
128,-0.4681545992891733,-0.4326714160509171
129,-0.8430872899245027,-0.8109625634151046
130,0.2677326860354174,0.3072200614462373
131,0.27427567927468344,0.3156191640335739
132,0.20726575685734364,0.24012057625588334
133,0.16402173122233155,0.2038641848090194
134,-0.19222653156280958,-0.16027018916877392
135,0.37000730295433054,0.39374135219276263
136,-0.0359635516685096,-0.02277906337727044
137,-0.2553358587496478,-0.24355678040758905
138,-0.13531214369999084,-0.15594565612769995
139,1.041498698781046,1.010319849387916
140,-0.8330604153855182,-0.8674880410227164
141,0.27556243364428024,0.24989405214789942
142,-0.8148574235742192,-0.8395552138118586
143,-0.015155609154846851,-0.054116669161486615
144,-0.1607573364141914,-0.21681374257709385
145,-0.9716744511726342,-1.042514148339939
146,0.27321041545148245,0.1945187952168815
147,-0.12388401292445272,-0.19001903109609794
148,-0.9785965349307201,-1.049603171280622
149,0.478376657956498,0.41978404538712605
150,0.7612209896300318,0.7175030889944675
151,0.7911716586296227,0.745062171148286
152,0.2308197022797698,0.17947822032573557
153,0.08340432222740003,0.023029069288557746
154,0.7294249257906017,0.6640783104478984
155,0.9118542678701799,0.8411917926700492
156,0.6276003007880194,0.5667843514378125
157,-0.41100261861154025,-0.47076880111490055
158,0.14536744125447637,0.10067242660746095
159,0.24441939549872777,0.2197580721457143
160,-0.8727407340071704,-0.9048084844586146
161,0.2592168363239217,0.23468032981038706
162,1.1697574045246597,1.1364959129896945
163,0.3643130502141612,0.3199680829003957
164,0.7748583347884117,0.7367065407208782
165,0.13551227007743907,0.09145736506435254
166,0.00083417573503939,-0.03660916199191074
167,0.20962024402116963,0.19063569504048775
168,-0.3876956809671098,-0.4079133239922163
169,-0.4663786893892454,-0.4818875936171943
170,0.6442602927067603,0.6331522785846828
171,0.7170326167337919,0.6861711714332591
172,-0.4799502823204691,-0.4955531577936752
173,0.503430989103853,0.4839994022769322
174,-0.03399647334753717,-0.043479987803010454
175,0.1884704157933618,0.16990428724521528
176,0.2516597606274289,0.2301093197175317
177,0.5225191184638625,0.4971752340621592
178,0.05725408915727515,0.041359100931594436
179,0.7133201067437654,0.705080997650968
180,0.17221803404621872,0.15470641987996236
181,0.34731172761829826,0.3120921362347663
182,-0.3766086262128494,-0.41663129576862323
183,1.1103779677004766,1.079329505352417
184,0.2693503091751634,0.2349124616024832
185,0.4152112806886059,0.3564987126725496
186,-0.7443561094825253,-0.8040929056057707
187,-0.3369958068223691,-0.4113510115395505
188,0.6858937550181595,0.6189418439593652
189,0.20997660968873277,0.14344555914630236
190,-0.8841631648107772,-0.956889867414463
191,0.5958449501782239,0.5191449644919095
192,-0.20285530329115886,-0.2718914021763617
193,0.7665994172522529,0.705658492938356
194,0.02690592904307363,-0.04391783930184983
195,0.18509261948168987,0.10235334301026497
196,0.6873380013484683,0.5894772892958242
197,-0.3328464685421583,-0.44874648542733114
198,-0.3791771926685711,-0.4964234039169698
199,0.01588500860702917,-0.09824921019905367
200,0.5412305280044786,0.41358639981061107
201,-0.530663805294362,-0.6654386263067453
202,-0.7090670315188409,-0.8340172999445483
203,0.5264743752924145,0.41186046352189615
204,-0.18195594249942043,-0.30148915628350187
205,-0.07835253929090008,-0.19611300646014154
206,-0.8109090333482485,-0.9284052009700829
207,-0.2112681559070546,-0.33948965717599106
208,0.1320282244032115,-0.003783648315575318
209,0.6142995340144172,0.4651889288114461
210,-0.2558198389780819,-0.3856150831173194
211,0.9610172834276978,0.8286880601162483
212,-0.2030019035544788,-0.34227801208990033
213,-0.21753565082404264,-0.34154590079258734
214,0.8861400695043461,0.7686787759489011
215,0.21478651811411437,0.10573007618195858
216,-0.16673894086303337,-0.2760123645057883
217,0.04798539773939885,-0.07756656559029672
218,0.8223146461473743,0.6765367887710296
219,0.8707363916584526,0.7331014098128409
220,-0.2654960352845805,-0.408396589635128
221,0.12727162783241655,-0.021216905039554108
222,0.19744320442090468,0.04507841383378654
223,-0.3367654683237883,-0.4931200552582988
224,0.1315494856340266,-0.027842526324997154
225,0.1789291433929382,0.0026614302258502437
226,0.7573971177791363,0.5701047394683678
227,0.7804033534903863,0.6037125141556005
228,0.020043350964087353,-0.16460469917950402
229,0.08659521195830004,-0.10697657193040584
230,0.5288676077880415,0.3321461510278178
231,-0.08455852399825473,-0.29259422446350575
232,0.5042365166769428,0.29432007586870135
233,0.16796787433439656,-0.04395324368460737
234,-0.271565765403536,-0.48469928886931035
235,-0.2854672738320456,-0.4784183564398233
236,0.91567644668427,0.723529348015551
237,0.10725385335252392,-0.0782107395716493
238,0.9937771600914032,0.8201770469491555
239,-0.06887783436781217,-0.25681813035745504
240,0.3385849717407341,0.1456026005657467
241,1.3890224218746627,1.1963383615091208
242,-0.3416573454771219,-0.5286933723316396
243,-0.7589095272490832,-0.9489072499498883
244,0.8432071492775969,0.6432950656436166
245,-0.22176212749802598,-0.4134045526965368
246,0.18124095942262786,-0.010353182053116888
247,-0.092684298761536,-0.29295910522579244
248,0.31499618565107323,0.13408139047765805
249,-0.29492900604350997,-0.4752681035928711
250,0.08607613990223269,-0.08997004394165305
251,0.39961554854460246,0.2249076632782671
252,-0.3344628434345146,-0.504154443137131
253,-0.1789741690682551,-0.35004201482294445
254,0.016612701159650634,-0.1736914167992659
255,-0.5273428238935081,-0.7144077171131391
256,-0.021298488088801082,-0.2112804913993732
257,0.26932773744611416,0.05939826995145092
258,0.004654840916723413,-0.19977447079421423
259,0.08688781873436505,-0.13568824646586228
260,0.21267845981320574,-0.009950835453292678
261,-0.0874234736910093,-0.327871731216157
262,0.5934815517080495,0.3455312829334386
263,0.969010414801323,0.7179890624008879
264,0.018174849483845013,-0.23219019609772423
265,0.4867237469216307,0.24259911573885354
266,0.1250739689650972,-0.11980857771732346
267,0.4365998337918733,0.18274367251925236
268,1.0366148125642813,0.7828897656016272
269,0.5048885904210851,0.2543297715090494
270,-0.6386562758345824,-0.8867072694048403
271,0.484973575429568,0.22699781572347946
272,0.8866592459115916,0.6164318716545046
273,0.15275778412035196,-0.11079808499905135
274,0.7546873936038446,0.4978174030589162
275,-0.08439419083437344,-0.345057770575973
276,-0.4668306793719648,-0.7427695797611369
277,0.35798331288861773,0.07058450941632008
278,-0.6033580790226585,-0.8782383603731571
279,0.15235401520378408,-0.11988550644679588
280,0.9063546174264363,0.6434211313227515
281,-0.6946230919886082,-0.9548814528731404
282,-0.36344593711206313,-0.6397483979569489
283,-0.25393966822373315,-0.5160161225807888
284,0.2142278715687737,-0.03165992985547998
285,0.05474386706681306,-0.18285839282310462
286,0.9400435567637213,0.6995681908480437
287,0.7238570786679339,0.4771741645458487
288,0.49869387150499944,0.24763647303429898
289,0.3356294096749531,0.07281515717194241
290,0.44179828505308505,0.19661488849241365
291,-0.17392441571242673,-0.4309911776566875
292,0.6825509855221039,0.4286051767783061
293,-0.29476137533775404,-0.5560221271796005
294,0.6657149945253299,0.41768849695111543
295,0.8411473156037207,0.5930712510594155
296,0.3558710732942389,0.1054323010440436
297,0.17388975314419156,-0.08810652948098793
298,0.44629869055393845,0.20015495415483664
299,-1.1843079231658855,-1.4307591850503365
