TARGET_PERIOD,period_dt,actual,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
2006-05-01,2006-05-01,-0.29999999999999893,-0.5983617158335469,-0.5842792123247338,-0.5957139894530777,-0.5676450138769056,-0.5407142168224958,-0.5771998885600605,-0.3999999999999986,-0.5,-0.731202205426681,-0.5711111111105386,-0.45666666666666345,-0.587979797979797
2006-08-01,2006-08-01,-0.3000000000000007,-0.427804600122175,-0.4255738694307969,-0.43254905113991315,-0.4321831420525989,-0.40558640161044673,-0.42593616255496947,-0.5,-0.40000000000000036,-0.4999999999995,-0.39999999999960045,-0.5,-0.42775562720202054
2006-11-01,2006-11-01,-0.29999999999999893,-0.6349985350516248,-0.6330134998421071,-0.6337640838362744,-0.650578761271327,-0.6526998486538979,-0.6695217095509587,-0.5999999999999996,-0.5999999999999996,-0.6449549396591064,-0.6584283767636498,-0.5,-0.6727272727272725
2007-02-01,2007-02-01,-0.40000000000000036,-0.4233474954401446,-0.4274306198597364,-0.43113354663381315,-0.3846217845604258,-0.40630743858810503,-0.4119492197239384,-0.3000000000000007,-0.40000000000000036,-0.456680464915435,-0.29999999999970073,-0.3000000000000007,-0.44545454545454616
2007-05-01,2007-05-01,-0.3000000000000007,-0.3076433286176229,-0.3071575728845596,-0.30225720930246675,-0.30027538470999243,-0.33716847385770116,-0.29313694825566505,-0.40000000000000036,-0.15000000000000036,-0.36443735557853574,-0.39999999999960023,-0.20000000000000018,-0.29545454545454575
2007-08-01,2007-08-01,-0.09999999999999964,1.4928001421130593e-05,1.4928001421130593e-05,0.004100426147845785,-0.01681994347923547,-0.02604262183013451,-0.016047380175065545,0.0,-0.09999999999999964,-1.0956751830701894e-17,0.09999999999990014,0.20000000000000018,-0.018181818181817872
2007-11-01,2007-11-01,-0.20000000000000018,-0.27033671127765624,-0.12304494002080381,-0.12304494002080381,-0.13830847038858793,-0.13390504736496148,-0.12777803140240204,0.0,-0.2999999999999998,-0.1099999999998903,-0.08491718865325,0.0,-0.12818181818181829
2008-02-01,2008-02-01,-0.20000000000000018,-0.3691484230953371,-0.3679757747436309,-0.2954338096244249,-0.3375826931341521,-0.3385279457036616,-0.28893625702158293,-0.5,-0.39999999999999947,-0.5967073125657372,-0.30066464893718586,-0.39999999999999947,-0.28707070707070687
2008-05-01,2008-05-01,0.10000000000000053,-0.3446437308344425,-0.2907255090142827,-0.26744368765354637,-0.2785512830310917,-0.30078963947547843,-0.26667725403735604,-0.1999999999999993,-0.09999999999999964,-0.3999999999995994,-0.27373302871874133,-0.7999999999999998,-0.2721322004950485
2008-08-01,2008-08-01,0.09999999999999964,-0.14495816110641807,-0.07032025154062665,-0.37817270621832355,-0.1845792508775265,-0.2576935547542766,-0.3720092406262076,-0.6000000000000005,-0.2999999999999998,-0.3999999999996003,-2.648140825906053e-16,0.0,-0.366885157607772
2008-11-01,2008-11-01,0.40000000000000036,0.1309252697041443,0.11921275492086043,0.14039199944724357,-0.023140706496307412,-0.0964178927187231,-0.1539895091159482,0.10000000000000053,-0.5,0.09999999999990046,-0.1753521639643947,0.10000000000000053,-0.17139856134681203
2009-02-01,2009-02-01,0.9999999999999991,-0.13575758011707875,-0.2785494149004967,-0.24363013430682323,-0.21771208093964992,-0.3688504333908425,-0.33309866494695667,-0.2999999999999998,-0.2999999999999998,-0.3584474093357418,-4.692023696036311e-16,-0.2999999999999998,-0.4454545454545457
2009-05-01,2009-05-01,0.5,-0.9321892517554299,-0.545195461536322,-0.9212606817369482,-1.0293149692775203,-0.9894318427352086,-0.9213349685779341,-0.545195461536867,-1.1999999999999993,-0.9476831272796111,-0.8999999999990999,-0.545195461536867,-1.0706500069914116
2009-08-01,2009-08-01,0.40000000000000036,-0.5999999999993996,-0.5999999999993999,-0.5999999999993998,-0.6506925956994194,-0.9772272373029945,-0.8174664774168069,-0.5999999999999996,-1.0,-0.6633683580472,-1.0999999999989027,-0.5999999999999996,-1.1673523322557326
2009-11-01,2009-11-01,0.20000000000000107,0.3999999999996001,0.399999999999598,0.39999999999960006,-0.01875477305984547,-0.3132161809990062,-0.09906841365487835,0.40000000000000036,0.5999999999999996,0.39999999999960023,-0.3046304412387263,0.40000000000000036,-0.38598535519343863
2010-02-01,2010-02-01,0.29999999999999893,0.7621620066868794,0.8157963554978033,0.8016657113703238,0.4342910633569407,0.48530510743085714,0.5610482054698452,1.0048465068644,1.1999999999999993,1.0408067441979216,0.5000066996172624,1.1999999999999993,0.4890831862057833
2010-05-01,2010-05-01,0.09999999999999964,0.8869310552128941,0.8869310552128941,0.8869310552128941,0.32489756994831487,0.5246383489842698,0.6140703932458533,0.0,1.0,0.9025987737838697,0.8072957445231341,1.5,0.8172727272727275
2010-08-01,2010-08-01,-0.1999999999999993,0.46253676322608306,0.46253676322608306,0.46253676322608306,0.1257996033118977,0.09254221925268345,0.15768380741153337,0.10000000000000142,0.10000000000000142,0.3571454066548425,0.48529964444398227,1.4000000000000004,0.4906409272727281
2010-11-01,2010-11-01,0.0,0.5210135646240696,0.5210135646240696,0.521005314097074,0.49592420726163844,0.4530439951987878,0.20093600866978575,0.5,0.40000000000000036,0.5390717526755234,0.5266983330318884,0.40000000000000036,0.5512272727272726
