oos_period,TARGET_PERIOD,period_dt,actual
20,2006-05-01,2006-05-01,-0.29999999999999893
21,2006-08-01,2006-08-01,-0.3000000000000007
22,2006-11-01,2006-11-01,-0.29999999999999893
23,2007-02-01,2007-02-01,-0.40000000000000036
24,2007-05-01,2007-05-01,-0.3000000000000007
25,2007-08-01,2007-08-01,-0.09999999999999964
26,2007-11-01,2007-11-01,-0.20000000000000018
27,2008-02-01,2008-02-01,-0.20000000000000018
28,2008-05-01,2008-05-01,0.10000000000000053
29,2008-08-01,2008-08-01,0.09999999999999964
30,2008-11-01,2008-11-01,0.40000000000000036
31,2009-02-01,2009-02-01,0.9999999999999991
32,2009-05-01,2009-05-01,0.5
33,2009-08-01,2009-08-01,0.40000000000000036
34,2009-11-01,2009-11-01,0.20000000000000107
35,2010-02-01,2010-02-01,0.29999999999999893
36,2010-05-01,2010-05-01,0.09999999999999964
37,2010-08-01,2010-08-01,-0.1999999999999993
38,2010-11-01,2010-11-01,0.0
39,2011-02-01,2011-02-01,-0.09999999999999964
40,2011-05-01,2011-05-01,0.0
41,2011-08-01,2011-08-01,0.1999999999999993
42,2011-11-01,2011-11-01,0.3000000000000007
43,2012-02-01,2012-02-01,0.29999999999999893
44,2012-05-01,2012-05-01,0.3000000000000007
45,2012-08-01,2012-08-01,0.09999999999999964
46,2012-11-01,2012-11-01,0.40000000000000036
47,2013-02-01,2013-02-01,0.1999999999999993
48,2013-05-01,2013-05-01,0.0
49,2013-08-01,2013-08-01,-0.1999999999999993
50,2013-11-01,2013-11-01,0.0
51,2014-02-01,2014-02-01,-0.09999999999999964
52,2014-05-01,2014-05-01,-0.3000000000000007
53,2014-08-01,2014-08-01,-0.29999999999999893
54,2014-11-01,2014-11-01,0.09999999999999964
55,2015-02-01,2015-02-01,-0.3000000000000007
56,2015-05-01,2015-05-01,-0.29999999999999893
57,2015-08-01,2015-08-01,-0.3000000000000007
58,2015-11-01,2015-11-01,-0.1999999999999993
59,2016-02-01,2016-02-01,-0.20000000000000107
60,2016-05-01,2016-05-01,-0.1999999999999993
61,2016-08-01,2016-08-01,-0.3000000000000007
62,2016-11-01,2016-11-01,-0.09999999999999964
63,2017-02-01,2017-02-01,-0.40000000000000036
64,2017-05-01,2017-05-01,-0.1999999999999993
65,2017-08-01,2017-08-01,-0.20000000000000107
66,2017-11-01,2017-11-01,-0.29999999999999893
67,2018-02-01,2018-02-01,-0.20000000000000018
68,2018-05-01,2018-05-01,-0.2999999999999998
69,2018-08-01,2018-08-01,-0.20000000000000018
70,2018-11-01,2018-11-01,-0.10000000000000053
71,2019-02-01,2019-02-01,-0.09999999999999964
72,2019-05-01,2019-05-01,-0.20000000000000018
73,2019-08-01,2019-08-01,-0.09999999999999964
74,2019-11-01,2019-11-01,0.0
75,2020-02-01,2020-02-01,-0.10000000000000053
76,2020-05-01,2020-05-01,0.40000000000000036
77,2020-08-01,2020-08-01,0.7999999999999998
78,2020-11-01,2020-11-01,-0.39999999999999947
