oos_period,variant,row_model,col_model,sigma
23,legacy,2,8,1e-06
23,legacy,2,9,1e-06
23,legacy,2,10,1e-06
23,legacy,2,11,1e-06
23,legacy,3,1,1e-06
23,legacy,3,2,1e-06
23,legacy,3,3,0.0
23,legacy,3,4,1e-06
23,legacy,3,5,0.004963132149303864
23,legacy,3,6,1e-06
23,legacy,3,7,1e-06
23,legacy,3,8,1e-06
23,legacy,3,9,1e-06
23,legacy,3,10,1e-06
23,legacy,3,11,0.05921606066680755
23,legacy,4,1,1e-06
23,legacy,4,2,1e-06
23,legacy,4,3,1e-06
23,legacy,4,4,0.0
23,legacy,4,5,1e-06
23,legacy,4,6,1e-06
23,legacy,4,7,1e-06
23,legacy,4,8,1e-06
23,legacy,4,9,1e-06
23,legacy,4,10,0.0195891528510694
23,legacy,4,11,1e-06
23,legacy,5,1,0.03343923888771462
23,legacy,5,2,1e-06
23,legacy,5,3,0.004963132149303864
23,legacy,5,4,1e-06
23,legacy,5,5,0.0
23,legacy,5,6,0.12915099002996205
23,legacy,5,7,0.060091499966417335
23,legacy,5,8,1e-06
23,legacy,5,9,1e-06
23,legacy,5,10,0.07457191257995523
23,legacy,5,11,1e-06
23,legacy,6,1,1e-06
23,legacy,6,2,1e-06
23,legacy,6,3,1e-06
23,legacy,6,4,1e-06
23,legacy,6,5,0.12915099002996205
23,legacy,6,6,0.0
23,legacy,6,7,1e-06
23,legacy,6,8,1e-06
23,legacy,6,9,1e-06
23,legacy,6,10,1e-06
23,legacy,6,11,1e-06
23,legacy,7,1,0.13420494135386657
23,legacy,7,2,1e-06
23,legacy,7,3,1e-06
23,legacy,7,4,1e-06
23,legacy,7,5,0.060091499966417335
23,legacy,7,6,1e-06
23,legacy,7,7,0.0
23,legacy,7,8,1e-06
23,legacy,7,9,1e-06
23,legacy,7,10,1e-06
23,legacy,7,11,1e-06
23,legacy,8,1,1e-06
23,legacy,8,2,1e-06
23,legacy,8,3,1e-06
23,legacy,8,4,1e-06
23,legacy,8,5,1e-06
23,legacy,8,6,1e-06
23,legacy,8,7,1e-06
23,legacy,8,8,0.0
23,legacy,8,9,1e-06
23,legacy,8,10,1e-06
23,legacy,8,11,1e-06
23,legacy,9,1,1e-06
23,legacy,9,2,1e-06
23,legacy,9,3,1e-06
23,legacy,9,4,1e-06
23,legacy,9,5,1e-06
