method,oos_period,herfindahl,effective_n,turnover
full_gcsr_eigenvector,20,0.12135966431807321,8.239970056106008,
full_gcsr_eigenvector,21,0.13958407261579933,7.164141160664282,0.14937613224423799
full_gcsr_eigenvector,22,0.1543957326981201,6.476862945138741,0.13280925299041896
full_gcsr_eigenvector,23,0.21124488256625734,4.733842485800091,0.1737134400476827
full_gcsr_eigenvector,24,0.16946984332796153,5.900754850317407,0.15161564820305606
full_gcsr_eigenvector,25,0.8798558793172131,1.1365497731015008,0.7330305379737478
full_gcsr_eigenvector,26,0.8691541528612367,1.1505438899509617,0.9999999999989999
full_gcsr_eigenvector,27,0.6822029716677422,1.4658394078163537,0.1981697731593581
full_gcsr_eigenvector,28,0.525841176147421,1.9017149005456493,0.8595701111260705
full_gcsr_eigenvector,29,0.09264333320692064,10.794084856235484,0.6997451468649861
full_gcsr_eigenvector,30,0.9999999999979918,1.0000000000020082,0.9086789001307722
full_gcsr_eigenvector,31,0.27965452779328354,3.5758405483038884,0.9183400706427108
full_gcsr_eigenvector,32,0.25936307078680126,3.855599014024664,0.266970747739644
full_gcsr_eigenvector,33,0.9999999999979998,1.0000000000020002,0.8213863027496644
full_gcsr_eigenvector,34,0.9999999999979996,1.0000000000020004,2.2776847243572897e-16
full_gcsr_eigenvector,35,0.23348534759810638,4.282924004812841,0.6390506607194454
full_gcsr_eigenvector,36,0.19917856411322427,5.02062058963104,0.27127651730630975
full_gcsr_eigenvector,37,0.23877092776555023,4.188114563854702,0.28951467645314016
full_gcsr_eigenvector,38,0.2505086450540315,3.991878203581808,0.16351485831203857
full_gcsr_eigenvector,39,0.2474655204266783,4.040966993202961,0.10583428028883224
full_gcsr_eigenvector,40,0.20171487754269346,4.957492536901982,0.15540685402872872
full_gcsr_eigenvector,41,0.1807567225600289,5.532297697353426,0.0960374882632746
full_gcsr_eigenvector,42,0.23894619371130782,4.185042600880218,0.4234680187329185
full_gcsr_eigenvector,43,0.16751201350767422,5.96972109080515,0.3941495395546344
full_gcsr_eigenvector,44,0.4384528058881373,2.2807471786487565,0.5677491551145912
full_gcsr_eigenvector,45,0.4924543406359195,2.030645112618305,0.0731476374578155
full_gcsr_eigenvector,46,0.11616261605555035,8.608621551031426,0.5979148153859453
full_gcsr_eigenvector,47,0.11667999695573716,8.570449315141415,0.15237493043849432
full_gcsr_eigenvector,48,0.357806586842612,2.7948060118856026,0.7347318614086067
full_gcsr_eigenvector,49,0.28112638935510914,3.5571189253842497,0.7774512206154496
full_gcsr_eigenvector,50,0.12021137055150133,8.3186806323914,0.4384356644423877
full_gcsr_eigenvector,51,0.11290580622953873,8.85694043021126,0.07449180693094035
full_gcsr_eigenvector,52,0.15734686571862985,6.355385570807719,0.18738595329056706
full_gcsr_eigenvector,53,0.16570582550445215,6.034790852740009,0.15733670660105475
full_gcsr_eigenvector,54,0.15803224983843028,6.327822333874158,0.3078576978456267
full_gcsr_eigenvector,55,0.19518925860927427,5.123232738958135,0.251329012727927
full_gcsr_eigenvector,56,0.18800904706631066,5.31889297671564,0.06282600660811018
full_gcsr_eigenvector,57,0.17183416182633018,5.819564569533518,0.1174334102820561
full_gcsr_eigenvector,58,0.1667053664125487,5.99860713256994,0.16806805886629372
full_gcsr_eigenvector,59,0.16534329308146012,6.048022761390916,0.06517809192527452
full_gcsr_eigenvector,60,0.14971334218092167,6.679431408267849,0.16676022007434674
full_gcsr_eigenvector,61,0.34713534690272346,2.8807207589846118,0.3812316441492132
full_gcsr_eigenvector,62,0.5179637271278206,1.930637123076429,0.6997956648681942
full_gcsr_eigenvector,63,0.13974985860936445,7.155642302259841,0.5815119245872088
full_gcsr_eigenvector,64,0.14442820934508008,6.9238551425277,0.09957001667944955
full_gcsr_eigenvector,65,0.9999999999979983,1.0000000000020017,0.8495171689982107
full_gcsr_eigenvector,66,0.30153285428270427,3.3163882004792846,0.5990972892553662
full_gcsr_eigenvector,67,0.3021936600830616,3.3091362662113357,0.2709884332856318
full_gcsr_eigenvector,68,0.7174764420172106,1.3937739853708149,0.8214837894192322
full_gcsr_eigenvector,69,0.9999999999979989,1.000000000002001,0.9999999999989999
full_gcsr_eigenvector,70,0.9999999999979989,1.000000000002001,3.117072968539675e-16
full_gcsr_eigenvector,71,0.9999999999979976,1.0000000000020024,0.9999999999989996
full_gcsr_eigenvector,72,0.09092203656668073,10.998433798462228,0.9097489911340387
full_gcsr_eigenvector,73,0.09092181795553392,10.998460242942551,0.000468743935938723
full_gcsr_eigenvector,74,0.9999999999979872,1.0000000000020128,0.9099726541715646
full_gcsr_eigenvector,75,0.22463663077502943,4.451633718640869,0.9999999999989955
full_gcsr_eigenvector,76,0.6836466339271913,1.4627439825974489,0.4779884383600652
full_gcsr_eigenvector,77,0.5152096462129752,1.9409574478087785,0.9999999999989997
full_gcsr_eigenvector,78,0.9999999999979949,1.000000000002005,0.9999999999989986
full_gcsr_v2_eigenvector,20,0.13719999743996328,7.288629873609039,
full_gcsr_v2_eigenvector,21,0.1388257399663029,7.2032751292572215,0.07236981380137086
full_gcsr_v2_eigenvector,22,0.1523123722375439,6.565454830159275,0.1255726086265597
full_gcsr_v2_eigenvector,23,0.16892526861545404,5.919777474360136,0.10504567589750125
full_gcsr_v2_eigenvector,24,0.16074516810766912,6.221026807662346,0.05704664152097847
full_gcsr_v2_eigenvector,25,0.8452605511207136,1.183067160385186,0.7905288385818268
full_gcsr_v2_eigenvector,26,0.9186568367138409,1.0885457551016924,0.9575242270710513
full_gcsr_v2_eigenvector,27,0.5373090462058742,1.86112630535694,0.32094266497974755
full_gcsr_v2_eigenvector,28,0.38671013397818754,2.58591619959048,0.29371814747706027
full_gcsr_v2_eigenvector,29,0.09113657133925668,10.972543571751139,0.725482416582475
full_gcsr_v2_eigenvector,30,0.09103652555408807,10.98460199259103,0.007854737735480302
full_gcsr_v2_eigenvector,31,0.1277527085304181,7.827622689987028,0.24137055078234668
full_gcsr_v2_eigenvector,32,0.22177032469276872,4.509169571651924,0.2982012718994944
full_gcsr_v2_eigenvector,33,0.24652859098198665,4.056324647850147,0.22343469885628595
full_gcsr_v2_eigenvector,34,0.2964805312750398,3.3729027524991766,0.10416645066084303
full_gcsr_v2_eigenvector,35,0.5410841583694824,1.8481413372245585,0.3904621195077139
full_gcsr_v2_eigenvector,36,0.9999999999979945,1.0000000000020055,0.643325082191143
full_gcsr_v2_eigenvector,37,0.3790751807743771,2.6379991376834377,0.7874069064304969
full_gcsr_v2_eigenvector,38,0.2505086450540315,3.991878203581808,0.5000762506616891
full_gcsr_v2_eigenvector,39,0.650738425256325,1.5367157696367806,0.3990478871130627
full_gcsr_v2_eigenvector,40,0.20171487754269346,4.957492536901982,0.4747830806008606
full_gcsr_v2_eigenvector,41,0.1807567225600289,5.532297697353426,0.0960374882632746
full_gcsr_v2_eigenvector,42,0.1633928338308974,6.1202194524329325,0.04932424185727235
full_gcsr_v2_eigenvector,43,0.1575439240981124,6.347436156136607,0.028844488600923826
full_gcsr_v2_eigenvector,44,0.33656411105463513,2.971202119163763,0.5443342452794027
full_gcsr_v2_eigenvector,45,0.182446476685853,5.481059531348793,0.3695112071417447
full_gcsr_v2_eigenvector,46,0.15495421885539815,6.453519028953906,0.15974151742874848
full_gcsr_v2_eigenvector,47,0.1517798425607217,6.588490165286182,0.023227009577932802
full_gcsr_v2_eigenvector,48,0.16194751214291617,6.174840148933659,0.024759990602183497
full_gcsr_v2_eigenvector,49,0.16159743801942222,6.188216918883398,0.008796033228078665
full_gcsr_v2_eigenvector,50,0.12579908141839333,7.949183640491894,0.11430410300611184
full_gcsr_v2_eigenvector,51,0.11290580622953873,8.85694043021126,0.13862075155005105
full_gcsr_v2_eigenvector,52,0.3990251224759819,2.506107870589507,0.5044794715493037
full_gcsr_v2_eigenvector,53,0.16570582550445215,6.034790852740009,0.3747393819529222
full_gcsr_v2_eigenvector,54,0.15819422085816387,6.321343438307996,0.3077171836507995
full_gcsr_v2_eigenvector,55,0.22205994717968439,4.5032884709768455,0.29280174163844463
