oos_period,actual
20,-0.29999999999999893
21,-0.3000000000000007
22,-0.29999999999999893
23,-0.40000000000000036
24,-0.3000000000000007
25,-0.09999999999999964
26,-0.20000000000000018
27,-0.20000000000000018
28,0.10000000000000053
29,0.09999999999999964
30,0.40000000000000036
31,0.9999999999999991
32,0.5
33,0.40000000000000036
34,0.20000000000000107
35,0.29999999999999893
36,0.09999999999999964
37,-0.1999999999999993
38,0.0
39,-0.09999999999999964
40,0.0
41,0.1999999999999993
42,0.3000000000000007
43,0.29999999999999893
44,0.3000000000000007
45,0.09999999999999964
46,0.40000000000000036
47,0.1999999999999993
48,0.0
49,-0.1999999999999993
50,0.0
51,-0.09999999999999964
52,-0.3000000000000007
53,-0.29999999999999893
54,0.09999999999999964
55,-0.3000000000000007
56,-0.29999999999999893
57,-0.3000000000000007
58,-0.1999999999999993
59,-0.20000000000000107
60,-0.1999999999999993
61,-0.3000000000000007
62,-0.09999999999999964
63,-0.40000000000000036
64,-0.1999999999999993
65,-0.20000000000000107
66,-0.29999999999999893
67,-0.20000000000000018
68,-0.2999999999999998
69,-0.20000000000000018
70,-0.10000000000000053
71,-0.09999999999999964
72,-0.20000000000000018
73,-0.09999999999999964
74,0.0
75,-0.10000000000000053
76,0.40000000000000036
77,0.7999999999999998
78,-0.39999999999999947
