oos_period,variant,row_model,col_model,mu
20,legacy,1,1,0.0
20,legacy,1,2,0.0
20,legacy,1,3,0.0
20,legacy,1,4,-0.7471893608679405
20,legacy,1,5,0.0
20,legacy,1,6,0.0
20,legacy,1,7,-0.6206135277090185
20,legacy,1,8,-0.9080190574317916
20,legacy,1,9,0.0
20,legacy,1,10,-0.8141290751013934
20,legacy,1,11,-0.44145150662948784
20,legacy,2,1,-0.0
20,legacy,2,2,0.0
20,legacy,2,3,0.0
20,legacy,2,4,0.13999999999999926
20,legacy,2,5,-0.06257283496583127
20,legacy,2,6,-9.905782163420273e-15
20,legacy,2,7,-0.08000000000000004
20,legacy,2,8,-0.23308432142707822
20,legacy,2,9,-0.07277154732382017
20,legacy,2,10,-0.1797435598508286
20,legacy,2,11,-0.07999999999999993
20,legacy,3,1,-0.0
20,legacy,3,2,-0.0
20,legacy,3,3,0.0
20,legacy,3,4,0.1399999999999999
20,legacy,3,5,-0.03622078737943901
20,legacy,3,6,-0.07999999999999993
20,legacy,3,7,-9.905782163420273e-15
20,legacy,3,8,-0.23308432142707822
20,legacy,3,9,-0.03084939548298711
20,legacy,3,10,-0.08558176618664633
20,legacy,3,11,-9.905782163420273e-15
20,legacy,4,1,0.7471893608679405
20,legacy,4,2,-0.13999999999999926
20,legacy,4,3,-0.1399999999999999
20,legacy,4,4,0.0
20,legacy,4,5,-0.18085761165527706
20,legacy,4,6,-0.08228459621617143
20,legacy,4,7,-0.2199999999999989
20,legacy,4,8,-0.5793227249556113
20,legacy,4,9,-0.07500000000000176
20,legacy,4,10,0.034508940265461946
20,legacy,4,11,-0.05484336974754971
20,legacy,5,1,-0.0
20,legacy,5,2,0.06257283496583127
20,legacy,5,3,0.03622078737943901
20,legacy,5,4,0.18085761165527706
20,legacy,5,5,0.0
20,legacy,5,6,-0.08541573527952405
20,legacy,5,7,-0.17486253403567734
20,legacy,5,8,-0.5793227249556113
20,legacy,5,9,0.00926707252966423
20,legacy,5,10,0.1383064648746327
20,legacy,5,11,-0.0499999999999996
20,legacy,6,1,-0.0
20,legacy,6,2,9.905782163420273e-15
20,legacy,6,3,0.07999999999999993
20,legacy,6,4,0.08228459621617143
20,legacy,6,5,0.08541573527952405
