oos_period,variant,row_model,col_model,adjacency
21,legacy,5,9,0.0
21,legacy,5,10,0.0
21,legacy,5,11,167.68409514205283
21,legacy,6,1,0.0
21,legacy,6,2,0.0
21,legacy,6,3,0.0
21,legacy,6,4,0.0
21,legacy,6,5,111.26900510908905
21,legacy,6,6,0.0
21,legacy,6,7,0.0
21,legacy,6,8,1155.4482180887946
21,legacy,6,9,0.0
21,legacy,6,10,83.65288461114822
21,legacy,6,11,274.1044446329292
21,legacy,7,1,0.0
21,legacy,7,2,471.5352227111922
21,legacy,7,3,0.0
21,legacy,7,4,0.0
21,legacy,7,5,517.6674231534944
21,legacy,7,6,691.5920899019459
21,legacy,7,7,0.0
21,legacy,7,8,2685.460783701476
21,legacy,7,9,0.0
21,legacy,7,10,0.0
21,legacy,7,11,4095.950351519879
21,legacy,8,1,0.0
21,legacy,8,2,80.16604289237115
21,legacy,8,3,0.0
21,legacy,8,4,0.0
21,legacy,8,5,0.0
21,legacy,8,6,0.0
21,legacy,8,7,0.0
21,legacy,8,8,0.0
21,legacy,8,9,18908.32645668448
21,legacy,8,10,80.16604289237115
21,legacy,8,11,0.0
21,legacy,9,1,629.6191685770061
21,legacy,9,2,0.0
21,legacy,9,3,0.0
21,legacy,9,4,0.0
21,legacy,9,5,117.90287939681325
21,legacy,9,6,178.16435108848526
21,legacy,9,7,2001.8336883187455
21,legacy,9,8,0.0
21,legacy,9,9,0.0
21,legacy,9,10,0.0
21,legacy,9,11,2486.4407232795434
21,legacy,10,1,0.0
21,legacy,10,2,0.0
21,legacy,10,3,0.0
21,legacy,10,4,0.0
21,legacy,10,5,1991.3421789207596
21,legacy,10,6,0.0
21,legacy,10,7,767.4562506241283
21,legacy,10,8,0.0
21,legacy,10,9,0.0
21,legacy,10,10,0.0
21,legacy,10,11,0.0
21,legacy,11,1,0.0
21,legacy,11,2,80.16604289237115
21,legacy,11,3,0.0
21,legacy,11,4,0.0
21,legacy,11,5,0.0
21,legacy,11,6,0.0
21,legacy,11,7,0.0
21,legacy,11,8,0.0
21,legacy,11,9,0.0
21,legacy,11,10,80.16604289237115
21,legacy,11,11,0.0
