Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE
equal,0.31167580926337196,0.14209094493400498,0.3970346222999129,46.75137138950579,0.9999999999967916
full_gcsr_eigenvector,0.33784036452413874,0.1761031429560425,0.4160189444901066,50.67605467862081,1.0839479821084648
full_gcsr_pagerank,0.3384791259271359,0.1772366588048359,0.41832451058217196,50.77186888907039,1.0859974238168375
full_gcsr_softmax,0.33894383950254914,0.1791560334362519,0.4195707859343069,50.84157592538237,1.0874884396788322
bates_granger_mv,0.3466194219174066,0.18406918793963734,0.4320482335179432,51.99291328761099,1.1121152544225674
var_error,0.348599663204527,0.17496362492740777,0.42671464191667285,52.289949480679056,1.1184687834044742
graph_only_softmax,0.36524355750326704,0.14841616608469704,0.5013252685247398,54.78653362549005,1.1718700863096418
graph_only_pagerank,0.4013351764785949,0.191642547094804,0.5594771843142367,60.20027647178924,1.2876686754286133
graph_only_eigenvector,0.7370011342844933,0.34624336125003796,1.1402333871283556,110.550170142674,2.364640156141694
recent_best,1.146403727612304,0.5382756542434095,1.6013832038501694,171.9605591418456,3.678192832219112
rs_selection,1.3346300100427149,0.6395263087495358,1.891626202977135,200.19450150640722,4.282109712629783
rs_selection_v2,1.3439398580390987,0.6638404655176371,1.773614554327981,201.59097870586479,4.311980006440384
