oos_period,condition_number,trace
150,3.930866527751165,10.472522563491342
151,3.8794863851785037,10.467205566617617
152,3.805556423239049,10.59513816258944
153,3.773411407339728,10.747601727103469
154,3.666129561910966,10.72299004897459
155,3.445997474610744,10.820079880196673
156,3.683983432167847,10.850916472881485
157,3.60091953224448,10.812612684768544
158,3.7756382451972548,10.680505242809062
159,4.004043374634819,10.396052964488693
160,3.927930798296885,10.461372261071489
161,3.8816535069630134,10.518138379563354
162,3.7731474151615205,10.391348376532473
163,3.9924884317769918,10.549287845284102
164,4.034851013642871,10.383616852508354
165,4.044956000667521,10.237674240149023
166,4.102668285717748,10.396466771014843
167,4.17163958206294,10.39300335862967
168,4.221861631080025,10.482733897093434
169,4.211473298586823,10.26976067563327
170,4.200285923542469,10.255572054557202
171,4.351317985819485,10.43841265941259
172,4.408701857972517,10.509458104746738
173,4.256325335791961,10.384490536434415
174,4.166389890378941,10.353447696252386
175,4.37141209254769,10.295399305687848
176,4.302447555014977,10.253281244558707
177,4.470483049738075,10.152406676876499
178,4.435077661390468,10.16793498864929
179,4.337573573794019,10.061703331599473
180,3.9680238704447506,9.717681412014517
181,4.1631712157911105,9.663614300256747
182,3.7893018152920575,9.421520498076994
183,3.7796137021227563,9.582248812594079
184,3.8609225735993427,9.72175577399931
185,3.60789578564591,9.661021114771874
186,4.472733607587482,9.727944680478496
187,4.256490968017561,9.648812262053145
188,4.19836132958739,9.615553426035817
189,4.185221517095404,9.708138686571875
190,4.231467864671031,9.449839027043872
191,4.163257333408584,9.61397963193599
192,4.123745241799865,9.584537445177352
193,3.965215574232553,9.363542768193083
194,3.9721350715206434,9.520205816845005
195,4.268711580378044,9.28586324069471
196,4.572524461989202,9.39983070116076
197,4.6171606617469,9.366801901327872
198,4.458717528875075,9.356559299596547
199,4.490106674614528,9.459159461088227
200,4.3274672435225,9.4921736527453
201,4.19927344251348,9.437367759370403
202,4.402986264359709,9.716711946249408
203,4.390814823894255,9.667058496331382
204,4.525920223129226,9.598238132275537
205,4.604256625955406,9.63828018364488
206,4.929003842842682,9.614239458815195
207,4.933332504314477,9.725620325577783
208,4.887417667227086,9.7437649783581
209,5.067063204710849,9.71793911792005
210,4.827446570515945,9.827817409071246
211,4.8839205542977675,9.671378428225388
212,5.063273637728572,9.817651380445394
213,5.017530851105143,9.741586126946475
214,4.481703723275701,9.851272992805448
215,5.45322017350033,9.695718338021138
216,5.28212975252243,9.696527671752493
217,5.261817409339609,9.677578231642832
218,5.025540356999545,9.586165578290018
219,4.9643780829161415,9.58461432909349
220,5.1277005050988915,9.795565864152447
221,5.0737868722632875,9.52789611992928
222,4.764763690313555,9.544661791404991
223,5.168913033768046,9.531642161625495
224,5.177696275951526,9.603211577208462
225,5.288102900449534,9.514904300650551
226,5.247503816912896,9.483298269817269
227,5.225864533339552,9.351999069974035
228,5.5846517419858825,9.226090384455963
229,6.093457850527238,9.613020821758251
230,6.175364384960417,9.583696251066204
231,6.498824119128196,9.80765501854187
232,6.726815563153407,9.801218330588895
233,6.658786670356201,9.662281220703942
234,6.8028542033989154,9.712666832500933
235,6.960169246672329,9.612658577630324
236,6.661895620447185,9.464695333084123
237,7.067212246799196,9.676275116415844
238,6.972961791761081,9.650845211198241
239,7.894564764005858,9.640273233774606
240,7.6747956515031355,9.729237431952276
241,7.653341446167359,9.556669347348944
242,7.305041365386498,9.735365245476363
243,7.502645849236635,9.849099930165092
244,7.249342522098919,9.582690502274069
245,7.286883334025565,9.855649292268414
246,7.251737162425927,9.849415483692143
247,7.151892580821431,9.896223936117469
248,6.178262790495242,9.986887046429006
249,6.342680347089482,10.087906439795406
250,6.673037374157529,10.274313965547634
251,6.358469858434377,10.467938277668383
252,5.898020979658565,9.90465642385471
253,6.31032220726587,9.787809723423802
254,5.740579586852293,9.881821019226019
255,5.443195750968652,9.849585052946985
256,5.436726970334104,9.8294855704563
257,5.3017020776732835,9.850112120326543
258,5.37695156894298,9.971607473302027
259,5.401835788186431,10.162930262883567
260,4.870713543228524,10.103952516658726
261,4.73628315989296,10.114196242772802
262,4.551799540047898,10.154202774255067
263,4.586340307189575,10.092061440454415
264,4.496498631357556,10.10230524901698
265,4.716821113518176,10.367406575096755
266,4.479659122067848,10.238668286731166
267,4.4630226464831555,10.350963409220707
268,4.292008081131574,10.282784746658562
269,4.339770241474374,10.299111751351788
270,4.690099322138049,10.176810076251323
271,5.089607607218572,10.164748113485935
272,4.821227647870304,10.012598226652832
273,4.949394783769166,10.039093731957891
274,5.031057594766222,10.057899884202481
275,4.994231165343538,10.232181471587637
276,5.0419885647561875,10.145066292686082
277,4.764526426454529,10.076470538057027
278,4.836692792381057,10.179408535936075
279,4.566619364810251,9.910850647623
280,4.288807843180081,9.949078759539399
281,4.220807655445804,9.722274157301513
282,3.9375534768023206,9.794712916618707
283,4.10586516286507,9.92675290996904
284,3.911851946977795,9.772077507850366
285,3.8425557215459674,9.952645635812443
286,3.731535383750635,9.870282124071354
287,3.5375000586224905,9.693157352372037
288,3.4891659880194483,9.82145309329641
289,3.2970717335427815,9.824460056315964
290,3.0427839565194104,9.833116663288187
291,3.042082077606034,9.946285336725506
292,3.0195683870028565,9.76294063213898
293,3.044249412663288,9.79788905325897
294,3.7197321553003335,10.370060200352032
295,3.9229459040142283,10.051838766541067
296,3.9727553645740166,9.990307461857117
297,3.948143459096646,9.793405013485627
298,3.9703581610069834,9.604859488971066
299,3.722507486524425,9.46635208269179
