Method,Mean_MSFE,Median_MSFE,Rel_MSFE_vs_EW,Win_Freq
var_error,0.6336128959795284,0.5805608063142695,0.4259411811558076,1.0
full_gcsr_softmax,1.1074361882025747,1.152714902706396,0.6337086728905562,0.0
full_gcsr_eigenvector,1.1982522944313438,1.1906022291363383,0.6506221349007957,0.0
full_gcsr_pagerank,1.3653028344492288,1.3918563195073228,0.7105808103896875,0.0
graph_only_pagerank,1.7486114128503645,0.9690921605629815,0.7489864056415584,0.0
graph_only_eigenvector,2.4044942571897243,2.390744689475041,1.7302719652656777,0.0
graph_only_softmax,2.5245482993820785,2.5470310330646626,2.083920250737122,0.0
rs_selection_v2,3.3382179846730935,3.4529565753280616,2.6291855744183144,0.0
recent_best,3.3414790699258576,3.517704992725362,2.625238922645841,0.0
rs_selection,3.467619787089672,3.450158443225109,2.7375987889580964,0.0
equal,4.008075984084251,1.0556113214495244,0.9999999999992453,0.0
bates_granger_mv,4.641190533293372,4.601538020714273,2.382995419189446,0.0
