t,actual,common_shock
0,2.7,0.0
1,3.0,0.0
2,2.8,0.0
3,2.7,0.0
4,2.4,0.0
5,2.6,0.0
6,2.2,0.0
7,1.7,0.0
8,1.6,0.0
9,1.1,0.0
10,0.8,0.0
11,0.5,0.0
12,0.5,0.0
13,0.3,0.0
14,-0.2,0.0
15,-0.1,0.0
16,0.5,0.0
17,0.2,0.0
18,0.2,0.0
19,0.0,0.0
20,0.1,0.0
21,0.4,0.0
22,1.1,0.0
23,1.5,0.0
24,1.3,0.0
25,1.6,0.0
26,1.3,0.0
27,1.4,0.0
28,2.0,0.0
29,2.1,0.0
30,1.5,0.0
31,1.4,0.0
32,1.3,0.0
33,0.8,0.0
34,1.3,0.0
35,0.7,0.0
36,0.3,0.0
37,-0.3,0.0
38,-0.3,0.0
39,1.3,0.0
40,1.9,0.0
41,3.4,0.0
42,5.0,0.0
43,7.4,0.0
44,8.6,0.0
45,9.9,0.0
46,9.2,0.0
47,6.9,0.0
48,5.5,0.0
49,4.3,0.0
50,2.9,0.0
