method,event_index,replication,seed,event_time,half_life
rs_selection_v2,9,9,51,200,
recent_best,9,9,51,200,
equal,10,10,52,200,
bates_granger_mv,10,10,52,200,
var_error,10,10,52,200,13.0
graph_only_eigenvector,10,10,52,200,
graph_only_pagerank,10,10,52,200,
graph_only_softmax,10,10,52,200,26.0
full_gcsr_eigenvector,10,10,52,200,
full_gcsr_pagerank,10,10,52,200,
full_gcsr_softmax,10,10,52,200,
rs_selection,10,10,52,200,
rs_selection_v2,10,10,52,200,
recent_best,10,10,52,200,24.0
equal,11,11,53,200,
bates_granger_mv,11,11,53,200,36.0
var_error,11,11,53,200,34.0
graph_only_eigenvector,11,11,53,200,21.0
graph_only_pagerank,11,11,53,200,5.0
graph_only_softmax,11,11,53,200,5.0
full_gcsr_eigenvector,11,11,53,200,35.0
full_gcsr_pagerank,11,11,53,200,35.0
full_gcsr_softmax,11,11,53,200,35.0
rs_selection,11,11,53,200,18.0
rs_selection_v2,11,11,53,200,18.0
recent_best,11,11,53,200,10.0
equal,12,12,54,200,
bates_granger_mv,12,12,54,200,
var_error,12,12,54,200,28.0
graph_only_eigenvector,12,12,54,200,8.0
graph_only_pagerank,12,12,54,200,12.0
graph_only_softmax,12,12,54,200,3.0
full_gcsr_eigenvector,12,12,54,200,71.0
full_gcsr_pagerank,12,12,54,200,74.0
full_gcsr_softmax,12,12,54,200,72.0
rs_selection,12,12,54,200,
rs_selection_v2,12,12,54,200,
recent_best,12,12,54,200,
equal,13,13,55,200,
bates_granger_mv,13,13,55,200,
var_error,13,13,55,200,
graph_only_eigenvector,13,13,55,200,14.0
graph_only_pagerank,13,13,55,200,14.0
graph_only_softmax,13,13,55,200,13.0
full_gcsr_eigenvector,13,13,55,200,
full_gcsr_pagerank,13,13,55,200,
full_gcsr_softmax,13,13,55,200,
rs_selection,13,13,55,200,5.0
rs_selection_v2,13,13,55,200,5.0
recent_best,13,13,55,200,
equal,14,14,56,200,
bates_granger_mv,14,14,56,200,
var_error,14,14,56,200,
graph_only_eigenvector,14,14,56,200,2.0
graph_only_pagerank,14,14,56,200,3.0
graph_only_softmax,14,14,56,200,2.0
full_gcsr_eigenvector,14,14,56,200,
full_gcsr_pagerank,14,14,56,200,
full_gcsr_softmax,14,14,56,200,
rs_selection,14,14,56,200,33.0
rs_selection_v2,14,14,56,200,33.0
recent_best,14,14,56,200,32.0
equal,15,15,57,200,
bates_granger_mv,15,15,57,200,
var_error,15,15,57,200,51.0
graph_only_eigenvector,15,15,57,200,7.0
graph_only_pagerank,15,15,57,200,
graph_only_softmax,15,15,57,200,
full_gcsr_eigenvector,15,15,57,200,
full_gcsr_pagerank,15,15,57,200,
full_gcsr_softmax,15,15,57,200,
rs_selection,15,15,57,200,
rs_selection_v2,15,15,57,200,
recent_best,15,15,57,200,
equal,16,16,58,200,
bates_granger_mv,16,16,58,200,49.0
var_error,16,16,58,200,21.0
graph_only_eigenvector,16,16,58,200,17.0
graph_only_pagerank,16,16,58,200,11.0
graph_only_softmax,16,16,58,200,5.0
full_gcsr_eigenvector,16,16,58,200,48.0
full_gcsr_pagerank,16,16,58,200,48.0
full_gcsr_softmax,16,16,58,200,48.0
rs_selection,16,16,58,200,
rs_selection_v2,16,16,58,200,
recent_best,16,16,58,200,
equal,17,17,59,200,
bates_granger_mv,17,17,59,200,
var_error,17,17,59,200,5.0
graph_only_eigenvector,17,17,59,200,16.0
graph_only_pagerank,17,17,59,200,18.0
graph_only_softmax,17,17,59,200,2.0
full_gcsr_eigenvector,17,17,59,200,
full_gcsr_pagerank,17,17,59,200,
full_gcsr_softmax,17,17,59,200,
rs_selection,17,17,59,200,
rs_selection_v2,17,17,59,200,
recent_best,17,17,59,200,
equal,18,18,60,200,
bates_granger_mv,18,18,60,200,56.0
var_error,18,18,60,200,60.0
graph_only_eigenvector,18,18,60,200,41.0
graph_only_pagerank,18,18,60,200,
graph_only_softmax,18,18,60,200,39.0
full_gcsr_eigenvector,18,18,60,200,55.0
full_gcsr_pagerank,18,18,60,200,55.0
full_gcsr_softmax,18,18,60,200,56.0
rs_selection,18,18,60,200,
rs_selection_v2,18,18,60,200,
recent_best,18,18,60,200,
equal,19,19,61,200,
bates_granger_mv,19,19,61,200,
var_error,19,19,61,200,19.0
graph_only_eigenvector,19,19,61,200,12.0
graph_only_pagerank,19,19,61,200,59.0
graph_only_softmax,19,19,61,200,59.0
full_gcsr_eigenvector,19,19,61,200,
full_gcsr_pagerank,19,19,61,200,
full_gcsr_softmax,19,19,61,200,
rs_selection,19,19,61,200,
rs_selection_v2,19,19,61,200,
recent_best,19,19,61,200,
equal,20,20,62,200,
bates_granger_mv,20,20,62,200,
var_error,20,20,62,200,31.0
graph_only_eigenvector,20,20,62,200,15.0
graph_only_pagerank,20,20,62,200,
graph_only_softmax,20,20,62,200,46.0
full_gcsr_eigenvector,20,20,62,200,
full_gcsr_pagerank,20,20,62,200,
full_gcsr_softmax,20,20,62,200,
rs_selection,20,20,62,200,
rs_selection_v2,20,20,62,200,
recent_best,20,20,62,200,
equal,21,21,63,200,
bates_granger_mv,21,21,63,200,
var_error,21,21,63,200,63.0
graph_only_eigenvector,21,21,63,200,
graph_only_pagerank,21,21,63,200,
graph_only_softmax,21,21,63,200,12.0
full_gcsr_eigenvector,21,21,63,200,
full_gcsr_pagerank,21,21,63,200,
full_gcsr_softmax,21,21,63,200,
rs_selection,21,21,63,200,
rs_selection_v2,21,21,63,200,
recent_best,21,21,63,200,
equal,22,22,64,200,
bates_granger_mv,22,22,64,200,
var_error,22,22,64,200,
graph_only_eigenvector,22,22,64,200,
graph_only_pagerank,22,22,64,200,8.0
graph_only_softmax,22,22,64,200,
full_gcsr_eigenvector,22,22,64,200,
full_gcsr_pagerank,22,22,64,200,
full_gcsr_softmax,22,22,64,200,
rs_selection,22,22,64,200,
rs_selection_v2,22,22,64,200,
recent_best,22,22,64,200,
equal,23,23,65,200,
bates_granger_mv,23,23,65,200,13.0
var_error,23,23,65,200,20.0
graph_only_eigenvector,23,23,65,200,
graph_only_pagerank,23,23,65,200,19.0
graph_only_softmax,23,23,65,200,9.0
full_gcsr_eigenvector,23,23,65,200,13.0
full_gcsr_pagerank,23,23,65,200,15.0
full_gcsr_softmax,23,23,65,200,15.0
rs_selection,23,23,65,200,
rs_selection_v2,23,23,65,200,
recent_best,23,23,65,200,
equal,24,24,66,200,
bates_granger_mv,24,24,66,200,13.0
var_error,24,24,66,200,24.0
graph_only_eigenvector,24,24,66,200,33.0
graph_only_pagerank,24,24,66,200,17.0
graph_only_softmax,24,24,66,200,8.0
full_gcsr_eigenvector,24,24,66,200,16.0
full_gcsr_pagerank,24,24,66,200,15.0
full_gcsr_softmax,24,24,66,200,14.0
rs_selection,24,24,66,200,
rs_selection_v2,24,24,66,200,
recent_best,24,24,66,200,
equal,25,25,67,200,
bates_granger_mv,25,25,67,200,
var_error,25,25,67,200,59.0
graph_only_eigenvector,25,25,67,200,8.0
graph_only_pagerank,25,25,67,200,9.0
graph_only_softmax,25,25,67,200,13.0
full_gcsr_eigenvector,25,25,67,200,
full_gcsr_pagerank,25,25,67,200,
full_gcsr_softmax,25,25,67,200,
rs_selection,25,25,67,200,
rs_selection_v2,25,25,67,200,
recent_best,25,25,67,200,
equal,26,26,68,200,
bates_granger_mv,26,26,68,200,22.0
var_error,26,26,68,200,24.0
graph_only_eigenvector,26,26,68,200,
graph_only_pagerank,26,26,68,200,20.0
graph_only_softmax,26,26,68,200,20.0
full_gcsr_eigenvector,26,26,68,200,22.0
full_gcsr_pagerank,26,26,68,200,29.0
full_gcsr_softmax,26,26,68,200,22.0
rs_selection,26,26,68,200,23.0
rs_selection_v2,26,26,68,200,23.0
recent_best,26,26,68,200,
equal,27,27,69,200,
bates_granger_mv,27,27,69,200,34.0
var_error,27,27,69,200,14.0
graph_only_eigenvector,27,27,69,200,
graph_only_pagerank,27,27,69,200,5.0
graph_only_softmax,27,27,69,200,16.0
full_gcsr_eigenvector,27,27,69,200,24.0
full_gcsr_pagerank,27,27,69,200,34.0
full_gcsr_softmax,27,27,69,200,34.0
rs_selection,27,27,69,200,
rs_selection_v2,27,27,69,200,
recent_best,27,27,69,200,
equal,28,28,70,200,
bates_granger_mv,28,28,70,200,
var_error,28,28,70,200,
graph_only_eigenvector,28,28,70,200,14.0
graph_only_pagerank,28,28,70,200,26.0
graph_only_softmax,28,28,70,200,15.0
full_gcsr_eigenvector,28,28,70,200,39.0
full_gcsr_pagerank,28,28,70,200,40.0
full_gcsr_softmax,28,28,70,200,40.0
rs_selection,28,28,70,200,
rs_selection_v2,28,28,70,200,
recent_best,28,28,70,200,
equal,29,29,71,200,
bates_granger_mv,29,29,71,200,
var_error,29,29,71,200,47.0
graph_only_eigenvector,29,29,71,200,27.0
graph_only_pagerank,29,29,71,200,29.0
graph_only_softmax,29,29,71,200,26.0
full_gcsr_eigenvector,29,29,71,200,
full_gcsr_pagerank,29,29,71,200,
full_gcsr_softmax,29,29,71,200,
rs_selection,29,29,71,200,
rs_selection_v2,29,29,71,200,
recent_best,29,29,71,200,
equal,30,30,72,200,
bates_granger_mv,30,30,72,200,
var_error,30,30,72,200,22.0
graph_only_eigenvector,30,30,72,200,
graph_only_pagerank,30,30,72,200,27.0
graph_only_softmax,30,30,72,200,37.0
full_gcsr_eigenvector,30,30,72,200,
full_gcsr_pagerank,30,30,72,200,
full_gcsr_softmax,30,30,72,200,
rs_selection,30,30,72,200,
rs_selection_v2,30,30,72,200,
recent_best,30,30,72,200,
equal,31,31,73,200,
bates_granger_mv,31,31,73,200,
var_error,31,31,73,200,25.0
graph_only_eigenvector,31,31,73,200,50.0
graph_only_pagerank,31,31,73,200,
graph_only_softmax,31,31,73,200,76.0
full_gcsr_eigenvector,31,31,73,200,
full_gcsr_pagerank,31,31,73,200,
full_gcsr_softmax,31,31,73,200,
rs_selection,31,31,73,200,
rs_selection_v2,31,31,73,200,
recent_best,31,31,73,200,14.0
equal,32,32,74,200,
bates_granger_mv,32,32,74,200,
var_error,32,32,74,200,12.0
graph_only_eigenvector,32,32,74,200,
graph_only_pagerank,32,32,74,200,24.0
graph_only_softmax,32,32,74,200,11.0
full_gcsr_eigenvector,32,32,74,200,
full_gcsr_pagerank,32,32,74,200,
full_gcsr_softmax,32,32,74,200,
rs_selection,32,32,74,200,
rs_selection_v2,32,32,74,200,
recent_best,32,32,74,200,
equal,33,33,75,200,
bates_granger_mv,33,33,75,200,
var_error,33,33,75,200,12.0
graph_only_eigenvector,33,33,75,200,13.0
graph_only_pagerank,33,33,75,200,
graph_only_softmax,33,33,75,200,29.0
full_gcsr_eigenvector,33,33,75,200,
full_gcsr_pagerank,33,33,75,200,
full_gcsr_softmax,33,33,75,200,
rs_selection,33,33,75,200,
rs_selection_v2,33,33,75,200,
recent_best,33,33,75,200,
equal,34,34,76,200,
bates_granger_mv,34,34,76,200,
var_error,34,34,76,200,12.0
graph_only_eigenvector,34,34,76,200,
graph_only_pagerank,34,34,76,200,14.0
graph_only_softmax,34,34,76,200,17.0
full_gcsr_eigenvector,34,34,76,200,
full_gcsr_pagerank,34,34,76,200,
full_gcsr_softmax,34,34,76,200,
rs_selection,34,34,76,200,
rs_selection_v2,34,34,76,200,
recent_best,34,34,76,200,
equal,35,35,77,200,
bates_granger_mv,35,35,77,200,
var_error,35,35,77,200,59.0
graph_only_eigenvector,35,35,77,200,
graph_only_pagerank,35,35,77,200,
graph_only_softmax,35,35,77,200,21.0
full_gcsr_eigenvector,35,35,77,200,
full_gcsr_pagerank,35,35,77,200,
full_gcsr_softmax,35,35,77,200,
rs_selection,35,35,77,200,
rs_selection_v2,35,35,77,200,
recent_best,35,35,77,200,
equal,36,36,78,200,
bates_granger_mv,36,36,78,200,
var_error,36,36,78,200,42.0
graph_only_eigenvector,36,36,78,200,5.0
graph_only_pagerank,36,36,78,200,
graph_only_softmax,36,36,78,200,
full_gcsr_eigenvector,36,36,78,200,
full_gcsr_pagerank,36,36,78,200,
full_gcsr_softmax,36,36,78,200,
rs_selection,36,36,78,200,
rs_selection_v2,36,36,78,200,
recent_best,36,36,78,200,
equal,37,37,79,200,
bates_granger_mv,37,37,79,200,45.0
var_error,37,37,79,200,54.0
graph_only_eigenvector,37,37,79,200,22.0
graph_only_pagerank,37,37,79,200,22.0
graph_only_softmax,37,37,79,200,8.0
full_gcsr_eigenvector,37,37,79,200,34.0
full_gcsr_pagerank,37,37,79,200,45.0
full_gcsr_softmax,37,37,79,200,46.0
rs_selection,37,37,79,200,
rs_selection_v2,37,37,79,200,
recent_best,37,37,79,200,
equal,38,38,80,200,
bates_granger_mv,38,38,80,200,
var_error,38,38,80,200,47.0
graph_only_eigenvector,38,38,80,200,8.0
graph_only_pagerank,38,38,80,200,21.0
graph_only_softmax,38,38,80,200,21.0
full_gcsr_eigenvector,38,38,80,200,
full_gcsr_pagerank,38,38,80,200,
full_gcsr_softmax,38,38,80,200,
rs_selection,38,38,80,200,
rs_selection_v2,38,38,80,200,
recent_best,38,38,80,200,
equal,39,39,81,200,
bates_granger_mv,39,39,81,200,46.0
var_error,39,39,81,200,41.0
graph_only_eigenvector,39,39,81,200,7.0
graph_only_pagerank,39,39,81,200,10.0
graph_only_softmax,39,39,81,200,11.0
full_gcsr_eigenvector,39,39,81,200,45.0
full_gcsr_pagerank,39,39,81,200,46.0
full_gcsr_softmax,39,39,81,200,46.0
rs_selection,39,39,81,200,
rs_selection_v2,39,39,81,200,
recent_best,39,39,81,200,
equal,40,40,82,200,
bates_granger_mv,40,40,82,200,
var_error,40,40,82,200,
graph_only_eigenvector,40,40,82,200,
graph_only_pagerank,40,40,82,200,
graph_only_softmax,40,40,82,200,36.0
full_gcsr_eigenvector,40,40,82,200,
full_gcsr_pagerank,40,40,82,200,
full_gcsr_softmax,40,40,82,200,
rs_selection,40,40,82,200,
rs_selection_v2,40,40,82,200,
recent_best,40,40,82,200,
equal,41,41,83,200,
bates_granger_mv,41,41,83,200,30.0
var_error,41,41,83,200,24.0
graph_only_eigenvector,41,41,83,200,6.0
graph_only_pagerank,41,41,83,200,31.0
graph_only_softmax,41,41,83,200,5.0
full_gcsr_eigenvector,41,41,83,200,31.0
full_gcsr_pagerank,41,41,83,200,32.0
full_gcsr_softmax,41,41,83,200,32.0
rs_selection,41,41,83,200,
rs_selection_v2,41,41,83,200,
recent_best,41,41,83,200,
equal,42,42,84,200,
bates_granger_mv,42,42,84,200,
var_error,42,42,84,200,40.0
graph_only_eigenvector,42,42,84,200,
graph_only_pagerank,42,42,84,200,
graph_only_softmax,42,42,84,200,68.0
full_gcsr_eigenvector,42,42,84,200,
full_gcsr_pagerank,42,42,84,200,
full_gcsr_softmax,42,42,84,200,
rs_selection,42,42,84,200,
rs_selection_v2,42,42,84,200,
recent_best,42,42,84,200,
equal,43,43,85,200,
bates_granger_mv,43,43,85,200,20.0
var_error,43,43,85,200,
graph_only_eigenvector,43,43,85,200,26.0
graph_only_pagerank,43,43,85,200,
graph_only_softmax,43,43,85,200,
full_gcsr_eigenvector,43,43,85,200,20.0
full_gcsr_pagerank,43,43,85,200,21.0
full_gcsr_softmax,43,43,85,200,21.0
rs_selection,43,43,85,200,
rs_selection_v2,43,43,85,200,
recent_best,43,43,85,200,
equal,44,44,86,200,
bates_granger_mv,44,44,86,200,42.0
var_error,44,44,86,200,43.0
graph_only_eigenvector,44,44,86,200,26.0
graph_only_pagerank,44,44,86,200,27.0
graph_only_softmax,44,44,86,200,32.0
full_gcsr_eigenvector,44,44,86,200,42.0
full_gcsr_pagerank,44,44,86,200,42.0
full_gcsr_softmax,44,44,86,200,42.0
rs_selection,44,44,86,200,
rs_selection_v2,44,44,86,200,
recent_best,44,44,86,200,
equal,45,45,87,200,
bates_granger_mv,45,45,87,200,28.0
var_error,45,45,87,200,30.0
graph_only_eigenvector,45,45,87,200,
graph_only_pagerank,45,45,87,200,
graph_only_softmax,45,45,87,200,10.0
full_gcsr_eigenvector,45,45,87,200,24.0
full_gcsr_pagerank,45,45,87,200,24.0
full_gcsr_softmax,45,45,87,200,24.0
rs_selection,45,45,87,200,
rs_selection_v2,45,45,87,200,
recent_best,45,45,87,200,
equal,46,46,88,200,
bates_granger_mv,46,46,88,200,
var_error,46,46,88,200,7.0
graph_only_eigenvector,46,46,88,200,
graph_only_pagerank,46,46,88,200,
graph_only_softmax,46,46,88,200,11.0
full_gcsr_eigenvector,46,46,88,200,
full_gcsr_pagerank,46,46,88,200,
full_gcsr_softmax,46,46,88,200,
rs_selection,46,46,88,200,
rs_selection_v2,46,46,88,200,
recent_best,46,46,88,200,
equal,47,47,89,200,
bates_granger_mv,47,47,89,200,47.0
var_error,47,47,89,200,10.0
graph_only_eigenvector,47,47,89,200,5.0
graph_only_pagerank,47,47,89,200,25.0
graph_only_softmax,47,47,89,200,33.0
full_gcsr_eigenvector,47,47,89,200,46.0
full_gcsr_pagerank,47,47,89,200,47.0
full_gcsr_softmax,47,47,89,200,47.0
rs_selection,47,47,89,200,
rs_selection_v2,47,47,89,200,
recent_best,47,47,89,200,
equal,48,48,90,200,
bates_granger_mv,48,48,90,200,17.0
var_error,48,48,90,200,28.0
graph_only_eigenvector,48,48,90,200,43.0
graph_only_pagerank,48,48,90,200,21.0
graph_only_softmax,48,48,90,200,19.0
full_gcsr_eigenvector,48,48,90,200,17.0
full_gcsr_pagerank,48,48,90,200,17.0
full_gcsr_softmax,48,48,90,200,17.0
rs_selection,48,48,90,200,
rs_selection_v2,48,48,90,200,
recent_best,48,48,90,200,
equal,49,49,91,200,
bates_granger_mv,49,49,91,200,
var_error,49,49,91,200,
graph_only_eigenvector,49,49,91,200,68.0
graph_only_pagerank,49,49,91,200,17.0
graph_only_softmax,49,49,91,200,17.0
full_gcsr_eigenvector,49,49,91,200,
full_gcsr_pagerank,49,49,91,200,
full_gcsr_softmax,49,49,91,200,
rs_selection,49,49,91,200,
rs_selection_v2,49,49,91,200,
recent_best,49,49,91,200,
