method,event_index,replication,seed,event_time,half_life
equal,0,0,42,200,
bates_granger_mv,0,0,42,200,63.0
var_error,0,0,42,200,50.0
graph_only_eigenvector,0,0,42,200,
graph_only_pagerank,0,0,42,200,
graph_only_softmax,0,0,42,200,13.0
full_gcsr_eigenvector,0,0,42,200,60.0
full_gcsr_pagerank,0,0,42,200,61.0
full_gcsr_softmax,0,0,42,200,61.0
rs_selection,0,0,42,200,
rs_selection_v2,0,0,42,200,
recent_best,0,0,42,200,
equal,1,1,43,200,
bates_granger_mv,1,1,43,200,
var_error,1,1,43,200,
graph_only_eigenvector,1,1,43,200,36.0
graph_only_pagerank,1,1,43,200,36.0
graph_only_softmax,1,1,43,200,37.0
full_gcsr_eigenvector,1,1,43,200,
full_gcsr_pagerank,1,1,43,200,
full_gcsr_softmax,1,1,43,200,
rs_selection,1,1,43,200,
rs_selection_v2,1,1,43,200,
recent_best,1,1,43,200,
equal,2,2,44,200,
bates_granger_mv,2,2,44,200,
var_error,2,2,44,200,11.0
graph_only_eigenvector,2,2,44,200,5.0
graph_only_pagerank,2,2,44,200,10.0
graph_only_softmax,2,2,44,200,11.0
full_gcsr_eigenvector,2,2,44,200,
full_gcsr_pagerank,2,2,44,200,
full_gcsr_softmax,2,2,44,200,
rs_selection,2,2,44,200,
rs_selection_v2,2,2,44,200,
recent_best,2,2,44,200,
equal,3,3,45,200,
bates_granger_mv,3,3,45,200,17.0
var_error,3,3,45,200,33.0
graph_only_eigenvector,3,3,45,200,5.0
graph_only_pagerank,3,3,45,200,6.0
graph_only_softmax,3,3,45,200,13.0
full_gcsr_eigenvector,3,3,45,200,16.0
full_gcsr_pagerank,3,3,45,200,17.0
full_gcsr_softmax,3,3,45,200,17.0
rs_selection,3,3,45,200,19.0
rs_selection_v2,3,3,45,200,19.0
recent_best,3,3,45,200,15.0
equal,4,4,46,200,
bates_granger_mv,4,4,46,200,18.0
var_error,4,4,46,200,26.0
graph_only_eigenvector,4,4,46,200,3.0
graph_only_pagerank,4,4,46,200,5.0
graph_only_softmax,4,4,46,200,22.0
full_gcsr_eigenvector,4,4,46,200,11.0
full_gcsr_pagerank,4,4,46,200,12.0
full_gcsr_softmax,4,4,46,200,20.0
rs_selection,4,4,46,200,
rs_selection_v2,4,4,46,200,
recent_best,4,4,46,200,
equal,5,5,47,200,
bates_granger_mv,5,5,47,200,52.0
var_error,5,5,47,200,28.0
graph_only_eigenvector,5,5,47,200,
graph_only_pagerank,5,5,47,200,
graph_only_softmax,5,5,47,200,29.0
full_gcsr_eigenvector,5,5,47,200,41.0
full_gcsr_pagerank,5,5,47,200,42.0
full_gcsr_softmax,5,5,47,200,42.0
rs_selection,5,5,47,200,
rs_selection_v2,5,5,47,200,
recent_best,5,5,47,200,
equal,6,6,48,200,
bates_granger_mv,6,6,48,200,
var_error,6,6,48,200,
graph_only_eigenvector,6,6,48,200,21.0
graph_only_pagerank,6,6,48,200,20.0
graph_only_softmax,6,6,48,200,20.0
full_gcsr_eigenvector,6,6,48,200,
full_gcsr_pagerank,6,6,48,200,
full_gcsr_softmax,6,6,48,200,
rs_selection,6,6,48,200,21.0
rs_selection_v2,6,6,48,200,21.0
recent_best,6,6,48,200,49.0
equal,7,7,49,200,
bates_granger_mv,7,7,49,200,
var_error,7,7,49,200,14.0
graph_only_eigenvector,7,7,49,200,2.0
graph_only_pagerank,7,7,49,200,41.0
graph_only_softmax,7,7,49,200,42.0
full_gcsr_eigenvector,7,7,49,200,
full_gcsr_pagerank,7,7,49,200,
full_gcsr_softmax,7,7,49,200,
rs_selection,7,7,49,200,
rs_selection_v2,7,7,49,200,
recent_best,7,7,49,200,
equal,8,8,50,200,
bates_granger_mv,8,8,50,200,
var_error,8,8,50,200,
graph_only_eigenvector,8,8,50,200,6.0
graph_only_pagerank,8,8,50,200,16.0
graph_only_softmax,8,8,50,200,12.0
full_gcsr_eigenvector,8,8,50,200,
full_gcsr_pagerank,8,8,50,200,
full_gcsr_softmax,8,8,50,200,
rs_selection,8,8,50,200,16.0
rs_selection_v2,8,8,50,200,16.0
recent_best,8,8,50,200,17.0
equal,9,9,51,200,
bates_granger_mv,9,9,51,200,51.0
var_error,9,9,51,200,5.0
graph_only_eigenvector,9,9,51,200,18.0
graph_only_pagerank,9,9,51,200,20.0
graph_only_softmax,9,9,51,200,20.0
full_gcsr_eigenvector,9,9,51,200,51.0
full_gcsr_pagerank,9,9,51,200,51.0
full_gcsr_softmax,9,9,51,200,51.0
rs_selection,9,9,51,200,
