method,event_index,event_time,horizon,oracle_weight_profile
full_gcsr_softmax,0,150,11,0.7637595193805101
full_gcsr_softmax,0,150,12,0.7711393068488153
full_gcsr_softmax,0,150,13,0.7633511122226514
full_gcsr_softmax,0,150,14,0.8028494528134693
full_gcsr_softmax,0,150,15,0.7402050193971204
full_gcsr_softmax,0,150,16,0.748825942786848
full_gcsr_softmax,0,150,17,0.7387441614233784
full_gcsr_softmax,0,150,18,0.7169018666769527
full_gcsr_softmax,0,150,19,0.6681541868568729
full_gcsr_softmax,0,150,20,0.6809787128148428
full_gcsr_softmax,0,150,21,0.6997398765231078
full_gcsr_softmax,0,150,22,0.7559512271545483
full_gcsr_softmax,0,150,23,0.7041125313108445
full_gcsr_softmax,0,150,24,0.7232548052859694
full_gcsr_v2_softmax,0,150,0,0.6958974228585555
full_gcsr_v2_softmax,0,150,1,0.7428597815582196
full_gcsr_v2_softmax,0,150,2,0.6502917476437207
full_gcsr_v2_softmax,0,150,3,0.776407381677978
full_gcsr_v2_softmax,0,150,4,0.8004732170244725
full_gcsr_v2_softmax,0,150,5,0.8163186423676315
full_gcsr_v2_softmax,0,150,6,0.746290853317615
full_gcsr_v2_softmax,0,150,7,0.7532406535427713
full_gcsr_v2_softmax,0,150,8,0.7259362958983113
full_gcsr_v2_softmax,0,150,9,0.7803207505673913
full_gcsr_v2_softmax,0,150,10,0.7523911447370912
full_gcsr_v2_softmax,0,150,11,0.7637595193805101
full_gcsr_v2_softmax,0,150,12,0.7711393068488153
full_gcsr_v2_softmax,0,150,13,0.7633511122226514
full_gcsr_v2_softmax,0,150,14,0.8028494528134693
full_gcsr_v2_softmax,0,150,15,0.7402050193971204
full_gcsr_v2_softmax,0,150,16,0.748825942786848
full_gcsr_v2_softmax,0,150,17,0.7387441614233784
full_gcsr_v2_softmax,0,150,18,0.7169018666769527
full_gcsr_v2_softmax,0,150,19,0.6681541868568729
full_gcsr_v2_softmax,0,150,20,0.6750829106026228
full_gcsr_v2_softmax,0,150,21,0.7629370199259624
full_gcsr_v2_softmax,0,150,22,0.717355945856578
full_gcsr_v2_softmax,0,150,23,0.7048361711913125
full_gcsr_v2_softmax,0,150,24,0.7351783677394036
graph_only_eigenvector,0,150,0,0.15020429592966666
graph_only_eigenvector,0,150,1,0.3026987916500805
graph_only_eigenvector,0,150,2,0.681530557096711
graph_only_eigenvector,0,150,3,0.47076001412279456
graph_only_eigenvector,0,150,4,0.6363430408780534
graph_only_eigenvector,0,150,5,0.6487370698623538
graph_only_eigenvector,0,150,6,0.4546329595783235
graph_only_eigenvector,0,150,7,0.2927163255467584
graph_only_eigenvector,0,150,8,0.3692368035088095
graph_only_eigenvector,0,150,9,0.37407416874233745
graph_only_eigenvector,0,150,10,0.4332536030995876
graph_only_eigenvector,0,150,11,0.4495189879160457
graph_only_eigenvector,0,150,12,0.08661020963451915
graph_only_eigenvector,0,150,13,0.6843236557514876
graph_only_eigenvector,0,150,14,0.2237610950272102
graph_only_eigenvector,0,150,15,0.5495428286324084
graph_only_eigenvector,0,150,16,0.37340835138434714
graph_only_eigenvector,0,150,17,0.18919455815628505
graph_only_eigenvector,0,150,18,0.5317760870579004
graph_only_eigenvector,0,150,19,0.5287706882361188
graph_only_eigenvector,0,150,20,0.19995488733240285
graph_only_eigenvector,0,150,21,0.25100531276322335
graph_only_eigenvector,0,150,22,0.13471041057722244
graph_only_eigenvector,0,150,23,0.1272301767153612
graph_only_eigenvector,0,150,24,0.13476873062650596
graph_only_v2_eigenvector,0,150,0,0.18998744469265327
graph_only_v2_eigenvector,0,150,1,0.27271176978658807
graph_only_v2_eigenvector,0,150,2,0.2846055070571165
graph_only_v2_eigenvector,0,150,3,0.33563629212889123
graph_only_v2_eigenvector,0,150,4,0.38868384517505494
graph_only_v2_eigenvector,0,150,5,0.41790739406831456
graph_only_v2_eigenvector,0,150,6,0.3048347141034743
graph_only_v2_eigenvector,0,150,7,0.2510497767344212
graph_only_v2_eigenvector,0,150,8,0.31259806452379957
graph_only_v2_eigenvector,0,150,9,0.26416062085940806
graph_only_v2_eigenvector,0,150,10,0.1534689667192921
graph_only_v2_eigenvector,0,150,11,0.2470389228203349
graph_only_v2_eigenvector,0,150,12,0.10060200182788182
graph_only_v2_eigenvector,0,150,13,0.1331996216225665
graph_only_v2_eigenvector,0,150,14,0.10902691611529092
graph_only_v2_eigenvector,0,150,15,0.21940027941426044
graph_only_v2_eigenvector,0,150,16,0.2104161494781751
graph_only_v2_eigenvector,0,150,17,0.17090494247503796
graph_only_v2_eigenvector,0,150,18,0.0819564504026149
graph_only_v2_eigenvector,0,150,19,0.2842468168789709
graph_only_v2_eigenvector,0,150,20,0.4136838437125483
graph_only_v2_eigenvector,0,150,21,0.15875107689335544
graph_only_v2_eigenvector,0,150,22,0.130839783828665
graph_only_v2_eigenvector,0,150,23,0.1386061863643664
