method,event_index,event_time,horizon,excess_risk
full_gcsr_softmax,0,150,10,0.05317070100323101
full_gcsr_softmax,0,150,11,0.048701232668072136
full_gcsr_softmax,0,150,12,0.04690480470248848
full_gcsr_softmax,0,150,13,0.054444400030483564
full_gcsr_softmax,0,150,14,0.03997132592978825
full_gcsr_softmax,0,150,15,0.07383191567677516
full_gcsr_softmax,0,150,16,0.06748557544907086
full_gcsr_softmax,0,150,17,0.0703004627251369
full_gcsr_softmax,0,150,18,0.07936197826417668
full_gcsr_softmax,0,150,19,0.11338466456997631
full_gcsr_softmax,0,150,20,0.10217153008170787
full_gcsr_softmax,0,150,21,0.09402678787171881
full_gcsr_softmax,0,150,22,0.05779078061933607
full_gcsr_softmax,0,150,23,0.07714911454891649
full_gcsr_softmax,0,150,24,0.07985014732690077
full_gcsr_v2_softmax,0,150,0,0.1198675754241022
full_gcsr_v2_softmax,0,150,1,0.07450498394091698
full_gcsr_v2_softmax,0,150,2,0.08842812238734332
full_gcsr_v2_softmax,0,150,3,0.0528881381413876
full_gcsr_v2_softmax,0,150,4,0.0337912024697945
full_gcsr_v2_softmax,0,150,5,0.026224248302198938
full_gcsr_v2_softmax,0,150,6,0.05189542323374685
full_gcsr_v2_softmax,0,150,7,0.04794946314054227
full_gcsr_v2_softmax,0,150,8,0.06392666069046221
full_gcsr_v2_softmax,0,150,9,0.0388173992215059
full_gcsr_v2_softmax,0,150,10,0.05317070100323101
full_gcsr_v2_softmax,0,150,11,0.048701232668072136
full_gcsr_v2_softmax,0,150,12,0.04690480470248848
full_gcsr_v2_softmax,0,150,13,0.054444400030483564
full_gcsr_v2_softmax,0,150,14,0.03997132592978825
full_gcsr_v2_softmax,0,150,15,0.07383191567677516
full_gcsr_v2_softmax,0,150,16,0.06748557544907086
full_gcsr_v2_softmax,0,150,17,0.0703004627251369
full_gcsr_v2_softmax,0,150,18,0.07936197826417668
full_gcsr_v2_softmax,0,150,19,0.11338466456997631
full_gcsr_v2_softmax,0,150,20,0.10796401322819393
full_gcsr_v2_softmax,0,150,21,0.05187629129592447
full_gcsr_v2_softmax,0,150,22,0.0725250368915415
full_gcsr_v2_softmax,0,150,23,0.0820856820734791
full_gcsr_v2_softmax,0,150,24,0.08075127957864181
graph_only_eigenvector,0,150,0,1.2225139108169576
graph_only_eigenvector,0,150,1,0.38578055525078037
graph_only_eigenvector,0,150,2,0.11043987931198929
graph_only_eigenvector,0,150,3,0.36765504025880047
graph_only_eigenvector,0,150,4,0.09354401192409173
graph_only_eigenvector,0,150,5,0.09140840444731124
graph_only_eigenvector,0,150,6,0.36258382002585976
graph_only_eigenvector,0,150,7,0.5099153789176578
graph_only_eigenvector,0,150,8,0.3348614451405073
graph_only_eigenvector,0,150,9,0.4210120208947329
graph_only_eigenvector,0,150,10,0.4777334378724296
graph_only_eigenvector,0,150,11,0.49583864799512545
graph_only_eigenvector,0,150,12,1.3095783714484333
graph_only_eigenvector,0,150,13,0.12317278215157923
graph_only_eigenvector,0,150,14,0.7270785256156782
graph_only_eigenvector,0,150,15,0.2893565357825776
graph_only_eigenvector,0,150,16,0.3946347004611884
graph_only_eigenvector,0,150,17,0.6269231164153474
graph_only_eigenvector,0,150,18,0.32762641834914397
graph_only_eigenvector,0,150,19,0.19335740229965787
graph_only_eigenvector,0,150,20,0.8093276847602284
graph_only_eigenvector,0,150,21,0.6798209545102625
graph_only_eigenvector,0,150,22,0.9356515155888445
graph_only_eigenvector,0,150,23,0.9520895355962151
graph_only_eigenvector,0,150,24,0.9275916041805501
graph_only_v2_eigenvector,0,150,0,1.1035033675227184
graph_only_v2_eigenvector,0,150,1,0.6405608666626864
graph_only_v2_eigenvector,0,150,2,0.6298423828267524
