method,event_index,event_time,horizon,oracle_gap_profile
full_gcsr_v2_pagerank,0,150,21,0.29255274948533994
full_gcsr_v2_pagerank,0,150,22,0.30047303116551227
full_gcsr_v2_pagerank,0,150,23,0.29973005304360867
full_gcsr_v2_pagerank,0,150,24,0.2598767947619818
full_gcsr_softmax,0,150,0,0.3172598168941323
full_gcsr_softmax,0,150,1,0.29592154691855743
full_gcsr_softmax,0,150,2,0.21412008504852498
full_gcsr_softmax,0,150,3,0.31418720525817734
full_gcsr_softmax,0,150,4,0.21199752969949914
full_gcsr_softmax,0,150,5,0.21192855760724938
full_gcsr_softmax,0,150,6,0.2601534819485718
full_gcsr_softmax,0,150,7,0.23399930782057798
full_gcsr_softmax,0,150,8,0.29312894781650034
full_gcsr_softmax,0,150,9,0.21456351543654129
full_gcsr_softmax,0,150,10,0.24760885526290877
full_gcsr_softmax,0,150,11,0.23624048061948988
full_gcsr_softmax,0,150,12,0.22886069315118474
full_gcsr_softmax,0,150,13,0.2366488877773486
full_gcsr_softmax,0,150,14,0.1971505471865307
full_gcsr_softmax,0,150,15,0.25979498060287964
full_gcsr_softmax,0,150,16,0.251174057213152
full_gcsr_softmax,0,150,17,0.2612558385766216
full_gcsr_softmax,0,150,18,0.28309813332304734
full_gcsr_softmax,0,150,19,0.3318458131431271
full_gcsr_softmax,0,150,20,0.3190212871851572
full_gcsr_softmax,0,150,21,0.30026012347689224
full_gcsr_softmax,0,150,22,0.24404877284545168
full_gcsr_softmax,0,150,23,0.2958874686891555
full_gcsr_softmax,0,150,24,0.2767451947140306
full_gcsr_v2_softmax,0,150,0,0.3041025771414445
full_gcsr_v2_softmax,0,150,1,0.25714021844178037
full_gcsr_v2_softmax,0,150,2,0.34970825235627934
full_gcsr_v2_softmax,0,150,3,0.22359261832202204
full_gcsr_v2_softmax,0,150,4,0.1995267829755275
full_gcsr_v2_softmax,0,150,5,0.18368135763236848
full_gcsr_v2_softmax,0,150,6,0.253709146682385
full_gcsr_v2_softmax,0,150,7,0.24675934645722875
full_gcsr_v2_softmax,0,150,8,0.2740637041016887
full_gcsr_v2_softmax,0,150,9,0.21967924943260875
full_gcsr_v2_softmax,0,150,10,0.24760885526290877
full_gcsr_v2_softmax,0,150,11,0.23624048061948988
full_gcsr_v2_softmax,0,150,12,0.22886069315118474
full_gcsr_v2_softmax,0,150,13,0.2366488877773486
full_gcsr_v2_softmax,0,150,14,0.1971505471865307
full_gcsr_v2_softmax,0,150,15,0.25979498060287964
full_gcsr_v2_softmax,0,150,16,0.251174057213152
full_gcsr_v2_softmax,0,150,17,0.2612558385766216
full_gcsr_v2_softmax,0,150,18,0.28309813332304734
full_gcsr_v2_softmax,0,150,19,0.3318458131431271
full_gcsr_v2_softmax,0,150,20,0.3249170893973772
full_gcsr_v2_softmax,0,150,21,0.2370629800740376
full_gcsr_v2_softmax,0,150,22,0.282644054143422
full_gcsr_v2_softmax,0,150,23,0.2951638288086875
full_gcsr_v2_softmax,0,150,24,0.2648216322605964
graph_only_eigenvector,0,150,0,0.8497957040703333
graph_only_eigenvector,0,150,1,0.6973012083499195
graph_only_eigenvector,0,150,2,0.31846944290328905
graph_only_eigenvector,0,150,3,0.5292399858772054
graph_only_eigenvector,0,150,4,0.3636569591219466
graph_only_eigenvector,0,150,5,0.3512629301376462
graph_only_eigenvector,0,150,6,0.5453670404216765
graph_only_eigenvector,0,150,7,0.7072836744532416
graph_only_eigenvector,0,150,8,0.6307631964911905
graph_only_eigenvector,0,150,9,0.6259258312576625
graph_only_eigenvector,0,150,10,0.5667463969004124
graph_only_eigenvector,0,150,11,0.5504810120839543
graph_only_eigenvector,0,150,12,0.9133897903654808
graph_only_eigenvector,0,150,13,0.31567634424851243
graph_only_eigenvector,0,150,14,0.7762389049727898
graph_only_eigenvector,0,150,15,0.45045717136759156
graph_only_eigenvector,0,150,16,0.6265916486156529
graph_only_eigenvector,0,150,17,0.810805441843715
graph_only_eigenvector,0,150,18,0.46822391294209964
graph_only_eigenvector,0,150,19,0.47122931176388116
graph_only_eigenvector,0,150,20,0.8000451126675971
graph_only_eigenvector,0,150,21,0.7489946872367766
graph_only_eigenvector,0,150,22,0.8652895894227776
graph_only_eigenvector,0,150,23,0.8727698232846388
graph_only_eigenvector,0,150,24,0.865231269373494
graph_only_v2_eigenvector,0,150,0,0.8100125553073467
graph_only_v2_eigenvector,0,150,1,0.7272882302134119
graph_only_v2_eigenvector,0,150,2,0.7153944929428835
graph_only_v2_eigenvector,0,150,3,0.6643637078711088
graph_only_v2_eigenvector,0,150,4,0.6113161548249451
graph_only_v2_eigenvector,0,150,5,0.5820926059316854
graph_only_v2_eigenvector,0,150,6,0.6951652858965257
graph_only_v2_eigenvector,0,150,7,0.7489502232655788
graph_only_v2_eigenvector,0,150,8,0.6874019354762004
graph_only_v2_eigenvector,0,150,9,0.7358393791405919
graph_only_v2_eigenvector,0,150,10,0.8465310332807079
graph_only_v2_eigenvector,0,150,11,0.7529610771796651
graph_only_v2_eigenvector,0,150,12,0.8993979981721182
graph_only_v2_eigenvector,0,150,13,0.8668003783774335
graph_only_v2_eigenvector,0,150,14,0.8909730838847091
graph_only_v2_eigenvector,0,150,15,0.7805997205857396
graph_only_v2_eigenvector,0,150,16,0.7895838505218249
graph_only_v2_eigenvector,0,150,17,0.829095057524962
graph_only_v2_eigenvector,0,150,18,0.9180435495973851
graph_only_v2_eigenvector,0,150,19,0.7157531831210291
graph_only_v2_eigenvector,0,150,20,0.5863161562874517
graph_only_v2_eigenvector,0,150,21,0.8412489231066446
graph_only_v2_eigenvector,0,150,22,0.869160216171335
graph_only_v2_eigenvector,0,150,23,0.8613938136356336
graph_only_v2_eigenvector,0,150,24,0.8633835608286627
graph_only_pagerank,0,150,0,0.4420207404528447
graph_only_pagerank,0,150,1,0.4275425568309489
graph_only_pagerank,0,150,2,0.27755727277354236
graph_only_pagerank,0,150,3,0.2506097204435265
graph_only_pagerank,0,150,4,0.2708326125340128
graph_only_pagerank,0,150,5,0.32696739591193635
graph_only_pagerank,0,150,6,0.3570284426268171
graph_only_pagerank,0,150,7,0.37492962388275175
graph_only_pagerank,0,150,8,0.38695691627082096
graph_only_pagerank,0,150,9,0.34677629911987917
graph_only_pagerank,0,150,10,0.4309533387183847
graph_only_pagerank,0,150,11,0.40837355781313167
graph_only_pagerank,0,150,12,0.44444573841037727
graph_only_pagerank,0,150,13,0.27168213733723845
graph_only_pagerank,0,150,14,0.37540631200132624
graph_only_pagerank,0,150,15,0.4252073386387165
graph_only_pagerank,0,150,16,0.42238986994481753
graph_only_pagerank,0,150,17,0.4720079224720599
graph_only_pagerank,0,150,18,0.4267945896515133
graph_only_pagerank,0,150,19,0.42403198306490886
graph_only_pagerank,0,150,20,0.3263635993072582
graph_only_pagerank,0,150,21,0.42648956835198737
graph_only_pagerank,0,150,22,0.28305600042891965
graph_only_pagerank,0,150,23,0.41821217285244516
graph_only_pagerank,0,150,24,0.3931871899831241
graph_only_v2_pagerank,0,150,0,0.44089035659401
graph_only_v2_pagerank,0,150,1,0.40581768555985565
graph_only_v2_pagerank,0,150,2,0.3836283051809437
graph_only_v2_pagerank,0,150,3,0.3447695651326219
graph_only_v2_pagerank,0,150,4,0.31862222715873645
graph_only_v2_pagerank,0,150,5,0.2827545993898817
graph_only_v2_pagerank,0,150,6,0.34913054923092934
graph_only_v2_pagerank,0,150,7,0.3519976003917391
graph_only_v2_pagerank,0,150,8,0.39566369361735587
graph_only_v2_pagerank,0,150,9,0.37368338656242595
graph_only_v2_pagerank,0,150,10,0.407979366134523
graph_only_v2_pagerank,0,150,11,0.44876902840733135
graph_only_v2_pagerank,0,150,12,0.4625881794469121
graph_only_v2_pagerank,0,150,13,0.4374476538401175
graph_only_v2_pagerank,0,150,14,0.4034945802628852
graph_only_v2_pagerank,0,150,15,0.47249198569927864
graph_only_v2_pagerank,0,150,16,0.44728628494797773
graph_only_v2_pagerank,0,150,17,0.4803540127943591
graph_only_v2_pagerank,0,150,18,0.45136992685424526
graph_only_v2_pagerank,0,150,19,0.43327652269999284
graph_only_v2_pagerank,0,150,20,0.35832134457726106
graph_only_v2_pagerank,0,150,21,0.4014066126080841
graph_only_v2_pagerank,0,150,22,0.40582300850172814
graph_only_v2_pagerank,0,150,23,0.42162044455129943
graph_only_v2_pagerank,0,150,24,0.40694295068018715
graph_only_softmax,0,150,0,0.43633294947096024
graph_only_softmax,0,150,1,0.4197402911992746
graph_only_softmax,0,150,2,0.2568390550655275
graph_only_softmax,0,150,3,0.2897161075788509
graph_only_softmax,0,150,4,0.2596328499050464
graph_only_softmax,0,150,5,0.28681070014849475
graph_only_softmax,0,150,6,0.35108774315788627
graph_only_softmax,0,150,7,0.21134654926311458
graph_only_softmax,0,150,8,0.293998383303683
graph_only_softmax,0,150,9,0.19508293884945327
graph_only_softmax,0,150,10,0.34652909535254683
graph_only_softmax,0,150,11,0.3380085110201879
graph_only_softmax,0,150,12,0.2919225685551805
graph_only_softmax,0,150,13,0.3331568763012991
graph_only_softmax,0,150,14,0.28065806848883323
graph_only_softmax,0,150,15,0.376362899637222
graph_only_softmax,0,150,16,0.3749933073755698
graph_only_softmax,0,150,17,0.35809692320869035
graph_only_softmax,0,150,18,0.35150152193074424
graph_only_softmax,0,150,19,0.3031651126055016
graph_only_softmax,0,150,20,0.24168948753210606
graph_only_softmax,0,150,21,0.3965243398708689
graph_only_softmax,0,150,22,0.17948257579180327
graph_only_softmax,0,150,23,0.2597825670067462
graph_only_softmax,0,150,24,0.3488280323651618
graph_only_v2_softmax,0,150,0,0.3891484150075091
graph_only_v2_softmax,0,150,1,0.32803507967791923
graph_only_v2_softmax,0,150,2,0.3137640721089987
graph_only_v2_softmax,0,150,3,0.22851436628449395
graph_only_v2_softmax,0,150,4,0.20772863744059977
graph_only_v2_softmax,0,150,5,0.22965399930482933
graph_only_v2_softmax,0,150,6,0.2074277650892311
graph_only_v2_softmax,0,150,7,0.19653154357386837
graph_only_v2_softmax,0,150,8,0.23954475675340425
graph_only_v2_softmax,0,150,9,0.1941032133256917
graph_only_v2_softmax,0,150,10,0.233776497768879
graph_only_v2_softmax,0,150,11,0.2736881481825585
graph_only_v2_softmax,0,150,12,0.28985948084816815
graph_only_v2_softmax,0,150,13,0.33421290399657777
graph_only_v2_softmax,0,150,14,0.3021118151483033
graph_only_v2_softmax,0,150,15,0.38120250087801044
graph_only_v2_softmax,0,150,16,0.3368555127077204
graph_only_v2_softmax,0,150,17,0.3591469080633495
graph_only_v2_softmax,0,150,18,0.3371921085715899
graph_only_v2_softmax,0,150,19,0.26532768153147457
graph_only_v2_softmax,0,150,20,0.26395017996310677
graph_only_v2_softmax,0,150,21,0.23716640377110643
graph_only_v2_softmax,0,150,22,0.2563531285572489
graph_only_v2_softmax,0,150,23,0.2772567146936695
graph_only_v2_softmax,0,150,24,0.27428364208091105
rs_selection,0,150,0,0.9999999999989999
rs_selection,0,150,1,0.8732387148034295
rs_selection,0,150,2,0.8647270829634599
rs_selection,0,150,3,0.7507305336518043
rs_selection,0,150,4,0.7507305336518043
rs_selection,0,150,5,0.8259579641340474
rs_selection,0,150,6,0.8259579641340474
rs_selection,0,150,7,0.8259579641340474
rs_selection,0,150,8,0.8259579641340474
rs_selection,0,150,9,0.8259579641340474
rs_selection,0,150,10,0.9940794662808385
rs_selection,0,150,11,0.9940794662808385
rs_selection,0,150,12,0.9940794662808385
rs_selection,0,150,13,0.9940794662808385
rs_selection,0,150,14,0.8259850250059716
rs_selection,0,150,15,0.9940794662808385
rs_selection,0,150,16,0.8652812131544486
rs_selection,0,150,17,0.8652812131544486
rs_selection,0,150,18,0.9940794662808385
rs_selection,0,150,19,0.8647270829634599
rs_selection,0,150,20,0.8647270829634599
rs_selection,0,150,21,0.8732387148034295
rs_selection,0,150,22,0.8732387148034295
rs_selection,0,150,23,0.8732387148034295
rs_selection,0,150,24,0.8652812131544486
rs_selection_v2,0,150,0,0.9999999999989999
rs_selection_v2,0,150,1,0.8259579641340474
rs_selection_v2,0,150,2,0.8259579641340474
rs_selection_v2,0,150,3,0.8259579641340474
rs_selection_v2,0,150,4,0.8259579641340474
rs_selection_v2,0,150,5,0.8259579641340474
rs_selection_v2,0,150,6,0.8259579641340474
rs_selection_v2,0,150,7,0.8259579641340474
rs_selection_v2,0,150,8,0.8259579641340474
rs_selection_v2,0,150,9,0.8259579641340474
rs_selection_v2,0,150,10,0.9940794662808385
rs_selection_v2,0,150,11,0.9940794662808385
rs_selection_v2,0,150,12,0.9940794662808385
rs_selection_v2,0,150,13,0.9940794662808385
rs_selection_v2,0,150,14,0.9940794662808385
rs_selection_v2,0,150,15,0.9940794662808385
rs_selection_v2,0,150,16,0.8652812131544486
rs_selection_v2,0,150,17,0.8652812131544486
rs_selection_v2,0,150,18,0.9940794662808385
rs_selection_v2,0,150,19,0.8647270829634599
rs_selection_v2,0,150,20,0.8647270829634599
rs_selection_v2,0,150,21,0.8732387148034295
rs_selection_v2,0,150,22,0.8732387148034295
rs_selection_v2,0,150,23,0.8732387148034295
rs_selection_v2,0,150,24,0.8652812131544486
bates_granger_mv,0,150,0,0.2762405522220712
bates_granger_mv,0,150,1,0.27145152540873096
bates_granger_mv,0,150,2,0.2518066103063905
bates_granger_mv,0,150,3,0.22778582064340958
bates_granger_mv,0,150,4,0.1998977341212046
bates_granger_mv,0,150,5,0.20916188026710625
bates_granger_mv,0,150,6,0.2728063877289979
bates_granger_mv,0,150,7,0.2827359924975319
bates_granger_mv,0,150,8,0.30578355505234567
bates_granger_mv,0,150,9,0.2605437822561869
bates_granger_mv,0,150,10,0.25251466644618314
bates_granger_mv,0,150,11,0.23289856624727467
bates_granger_mv,0,150,12,0.23556568754054585
bates_granger_mv,0,150,13,0.22589276822081472
bates_granger_mv,0,150,14,0.19315606685629816
bates_granger_mv,0,150,15,0.26679826394822526
bates_granger_mv,0,150,16,0.24719864168508077
bates_granger_mv,0,150,17,0.26057783049408156
bates_granger_mv,0,150,18,0.2781943639576041
bates_granger_mv,0,150,19,0.3355853616605704
bates_granger_mv,0,150,20,0.3234920315333689
bates_granger_mv,0,150,21,0.29763182830775503
bates_granger_mv,0,150,22,0.3137292553256512
bates_granger_mv,0,150,23,0.3074685402708903
bates_granger_mv,0,150,24,0.27815958746798175
var_error,0,150,0,0.35785065115032033
var_error,0,150,1,0.3471580312189906
var_error,0,150,2,0.3662338344747733
var_error,0,150,3,0.3671418138700151
var_error,0,150,4,0.3248891011912707
var_error,0,150,5,0.33060296673137113
var_error,0,150,6,0.33168906366339723
var_error,0,150,7,0.32754452500814146
var_error,0,150,8,0.3268197868440408
var_error,0,150,9,0.3320966588765797
var_error,0,150,10,0.3040851176253757
var_error,0,150,11,0.30737879042210814
var_error,0,150,12,0.3096482788507564
var_error,0,150,13,0.3208846720855869
var_error,0,150,14,0.3131257431877652
var_error,0,150,15,0.3042990963893397
var_error,0,150,16,0.28967916093505075
var_error,0,150,17,0.28167197612822126
var_error,0,150,18,0.2744477912764407
var_error,0,150,19,0.2612196640647215
var_error,0,150,20,0.25204723077607283
var_error,0,150,21,0.25792223136384096
var_error,0,150,22,0.2513573113883435
var_error,0,150,23,0.25251212270005174
var_error,0,150,24,0.2054559828103827
recent_best,0,150,0,0.9999999999989999
recent_best,0,150,1,0.8259579641340474
recent_best,0,150,2,0.8259579641340474
recent_best,0,150,3,0.8259579641340474
recent_best,0,150,4,0.8259579641340474
recent_best,0,150,5,0.8259579641340474
recent_best,0,150,6,0.8259579641340474
recent_best,0,150,7,0.8259579641340474
recent_best,0,150,8,0.8259579641340474
recent_best,0,150,9,0.8259579641340474
recent_best,0,150,10,0.7507305336518043
recent_best,0,150,11,0.8259579641340474
recent_best,0,150,12,0.8259579641340474
recent_best,0,150,13,0.8259579641340474
recent_best,0,150,14,0.8259579641340474
recent_best,0,150,15,0.8259579641340474
recent_best,0,150,16,0.8259850250059716
recent_best,0,150,17,0.8259850250059716
recent_best,0,150,18,0.9940794662808385
recent_best,0,150,19,0.8259850250059716
recent_best,0,150,20,0.8259850250059716
recent_best,0,150,21,0.8259579641340474
recent_best,0,150,22,0.8259579641340474
recent_best,0,150,23,0.8732387148034295
recent_best,0,150,24,0.8732387148034295
equal,0,150,0,0.2440794662815886
equal,0,150,1,0.2440794662815886
equal,0,150,2,0.2440794662815886
equal,0,150,3,0.2440794662815886
equal,0,150,4,0.2440794662815886
equal,0,150,5,0.2440794662815886
equal,0,150,6,0.2440794662815886
equal,0,150,7,0.2440794662815886
equal,0,150,8,0.2440794662815886
equal,0,150,9,0.2440794662815886
equal,0,150,10,0.2440794662815886
equal,0,150,11,0.2440794662815886
equal,0,150,12,0.2440794662815886
equal,0,150,13,0.2440794662815886
equal,0,150,14,0.2440794662815886
equal,0,150,15,0.2440794662815886
equal,0,150,16,0.2440794662815886
equal,0,150,17,0.2440794662815886
equal,0,150,18,0.2440794662815886
equal,0,150,19,0.2440794662815886
equal,0,150,20,0.2440794662815886
equal,0,150,21,0.2440794662815886
equal,0,150,22,0.2440794662815886
equal,0,150,23,0.2440794662815886
equal,0,150,24,0.2440794662815886
