Source,Source_Type,Method,Family,Centrality,Cov_Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step,Rank
simulation_1A,simulation,full_gcsr_eigenvector_diagonal,full_gcsr,eigenvector,diagonal,0.3460770605516007,0.15043589613238384,0.45251542208780116,51.911559082740105,1.1103751085768707,1.0,True,0,1
simulation_1A,simulation,full_gcsr_pagerank_diagonal,full_gcsr,pagerank,diagonal,0.34704203468375283,0.15276221148493313,0.43510382839482226,52.056305202562925,1.1134711914407696,1.0,True,0,2
simulation_1A,simulation,full_gcsr_softmax_diagonal,full_gcsr,softmax,diagonal,0.35163047091902383,0.16707308202101323,0.4409957697144659,52.74457063785358,1.128193014883261,1.0,True,0,3
simulation_1A,simulation,full_gcsr_softmax_shrinkage,full_gcsr,softmax,shrinkage,0.3569217709195961,0.18311374752457854,0.4645671619842789,53.53826563793942,1.145169950029681,1.0,True,0,4
simulation_1A,simulation,full_gcsr_pagerank_shrinkage,full_gcsr,pagerank,shrinkage,0.3572466869254963,0.18522862490843076,0.4619776453381897,53.58700303882445,1.1462124306978734,1.0,True,0,5
simulation_1A,simulation,full_gcsr_eigenvector_shrinkage,full_gcsr,eigenvector,shrinkage,0.3594018672329009,0.1884104287094195,0.47010401813210717,53.91028008493514,1.153127244884121,1.0,True,0,6
simulation_1A,simulation,graph_only_softmax,graph_only,softmax,not_used,0.36524355750326704,0.14841616608469704,0.5013252685247398,54.78653362549005,1.1718700863134017,1.0,True,0,7
simulation_1A,simulation,full_gcsr_pagerank_rolling,full_gcsr,pagerank,rolling,0.3707587518214597,0.19313186744039335,0.477350860924561,55.61381277321895,1.1895653778768616,1.0,True,0,8
simulation_1A,simulation,full_gcsr_eigenvector_rolling,full_gcsr,eigenvector,rolling,0.3710335731440119,0.19526836585832724,0.4800607716505849,55.65503597160179,1.1904471316555771,1.0,True,0,9
simulation_1A,simulation,full_gcsr_softmax_rolling,full_gcsr,softmax,rolling,0.37106932981344104,0.18787082728982496,0.4854811833635151,55.66039947201615,1.1905618555717952,1.0,True,0,10
simulation_1A,simulation,full_gcsr_pagerank_ewma,full_gcsr,pagerank,ewma,0.3832351096681494,0.22937788101616396,0.47368101817661606,57.485266450222404,1.2295952983130252,1.0,True,0,11
simulation_1A,simulation,full_gcsr_eigenvector_ewma,full_gcsr,eigenvector,ewma,0.38641506618172733,0.2117117562117689,0.48323546311433907,57.9622599272591,1.2397980680470433,1.0,True,0,12
simulation_1A,simulation,full_gcsr_softmax_ewma,full_gcsr,softmax,ewma,0.3920956144077419,0.22669456753258455,0.488850068625043,58.814342161161285,1.2580238913454258,1.0,True,0,13
simulation_1A,simulation,graph_only_pagerank,graph_only,pagerank,not_used,0.4013351764785949,0.191642547094804,0.5594771843142367,60.20027647178924,1.2876686754327444,1.0,True,0,14
simulation_1A,simulation,graph_only_eigenvector,graph_only,eigenvector,not_used,0.7370011342844933,0.34624336125003796,1.1402333871283556,110.550170142674,2.3646401561492807,0.0,False,1,15
