Centrality,ewma,rolling,shrinkage
eigenvector,1.2124572605281627,1.1293678704047811,1.0968171998966112
pagerank,1.1957565025457102,1.11552516068201,1.0852810049499948
softmax,1.19245601719878,1.111517845723348,1.081975344185886
