graph_only_eigenvector,full_gcsr_eigenvector_rolling,graph_only_pagerank,full_gcsr_pagerank_rolling,graph_only_softmax,full_gcsr_softmax_rolling,full_gcsr_eigenvector_ewma,full_gcsr_pagerank_ewma,full_gcsr_softmax_ewma,full_gcsr_eigenvector_shrinkage,full_gcsr_pagerank_shrinkage,full_gcsr_softmax_shrinkage,full_gcsr_eigenvector_diagonal,full_gcsr_pagerank_diagonal,full_gcsr_softmax_diagonal
0.7225846232540477,0.35999999999916,1.1404250196372312,0.3854236746780412,1.0755050235532984,0.37885645073707436,0.35999999999916,0.35999999999916,0.36730445402366635,0.5003953625225859,0.5209956754412335,0.5274142883642741,0.9617953246502936,0.984011141616641,0.9846783977935323
0.09406168958293414,0.0899999999995799,0.45648314290684794,0.09602056193440377,0.2907490998717083,0.08999999999957996,0.08999999999957996,0.08999999999957996,0.0899999999995799,0.12200449733576345,0.13851137975300454,0.12819654337811381,0.5080449837328307,0.5454187565975123,0.530062548367869
9.330152352137303e-08,0.0029165623108149013,0.06240635107644945,0.00016980890416284464,0.0638784605500132,0.00016578509455682342,0.005431851739688238,5.40704526897532e-05,5.6354820278861026e-05,0.0021497763661786243,0.008960500239720141,0.00893932892112556,0.04987137068879152,0.06007777200825801,0.05959363620057886
0.2847899808733623,0.22747108767126503,0.0494509707762643,0.2510009627539103,0.22191510740828532,0.2401908316040068,0.4900000000011198,0.49000000000111965,0.4900000000011198,0.11674008527584165,0.15013265832409675,0.12403526637746325,0.0030459087473282526,0.006061474643693927,0.003672883330504947
0.08976834286170617,0.0504104913338044,0.012518718665401912,0.04818527999665715,0.018566737152528066,0.04784986416247897,0.04319533575472335,0.04198072518426395,0.04172454607562657,0.04988685406632141,0.03384106301225222,0.03534719069657327,0.025422185252219544,0.021540251385490743,0.02200104660588615
0.10401783773304879,0.2878080671377406,0.11154612794352155,0.2891939092442126,0.11581068189940372,0.2873363944893673,0.29102788966550247,0.2799005066136034,0.30571004126265555,0.2888347654814626,0.29664076907890075,0.2982162603088953,0.1360094284167015,0.1360094284167015,0.1360094284167015
0.039250094816962414,0.033811094319499434,2.9991945230928537e-07,0.03297450116900368,0.004023151368321073,0.031488524543262696,0.03274704752170621,0.031674649167769395,0.031311815352341205,0.032802344487602074,0.032191239284141804,0.03140015192174828,0.00887758383684594,0.00887758383684594,0.00887758383684594
0.004142101251437505,0.02950081385926282,0.0070450542761322545,0.02923232115038678,0.011152427368301696,0.02509797217857911,0.03299730851725947,0.03454792581701194,0.03454792581701194,0.028277217380782656,0.028033213426437074,0.026808852221066895,0.017556250949347662,0.017556250949347662,0.017556250949347662
0.17162000717356496,0.22632578174616189,0.23387880738690225,0.22732541008949894,0.2733534908680927,0.22452737976148,0.2224314944346713,0.22547119891392672,0.22578693014283796,0.22418932416339282,0.225904402717409,0.22391682425344211,0.2727456571244957,0.2727456571244957,0.2727456571244957
0.3591774546964418,0.2758388512641323,0.24725287422650638,0.28328121363030123,0.21922224375294855,0.2756492328206617,0.2765715069996633,0.27837212764484826,0.27809720882288075,0.2790021927356921,0.2804305917632163,0.2786483510598046,0.22889658776751357,0.22889658776751357,0.24130475092854478
4.377562021858594e-09,0.023022564559556397,0.0011965881473358958,0.021575594889087325,0.0026300575906530927,0.020315915536540052,0.021861982424620986,0.020539045375419826,0.023038761893214636,0.022290472726644396,0.020510562653440763,0.021410732426383295,0.005541384070188849,0.005541384070188849,0.0054630924026716375
0.06089261832992267,0.15999999999856002,0.06796438033738546,0.15999999999856002,0.08349550797325556,0.15999999999856002,0.14316129736059224,0.13980580730339834,0.14325414653057983,0.14820694419148164,0.15999999999856002,0.14998869243522828,0.08407786436913885,0.09891501115530708,0.09421161940027116
0.08998513359199653,0.03587775700247529,0.0565199682919416,0.032791102254038425,0.03912427256422074,0.0171659587911717,0.05015880057077281,0.04978085846273311,0.043788465168157514,0.026152390215271142,0.021933220270545527,0.021933220270545527,0.03111049093817186,0.03111049093817186,0.03111049093817186
0.638337032575286,0.9950862924319678,0.6789464222617896,0.9950862924319678,0.7214523091484144,0.9950862924319678,0.9328088617013978,0.9328088617013978,0.9328088617013978,0.9960503551412879,0.9960503551412879,0.9960503551412879,0.8072363085642517,0.8072363085642517,0.8072363085642517
0.009554608624742356,0.012672126145830907,0.0067116853207853855,0.012672126145830907,0.008664247430430257,0.012672126145830907,0.02399631094450171,0.031010089967692507,0.03249502971502945,0.012819994369680843,0.011873035897849544,0.014027269053817777,0.02197700341461961,0.0024662725507207366,0.006519655013871173
0.9744416699371465,0.6135989574953534,0.6513355844813293,0.5733313560182298,0.6336721032016822,0.6181753909094198,0.607515272121722,0.6095328934076651,0.5691088438337099,0.607638986066433,0.562173309238282,0.562173309238282,0.5911711209762875,0.5911711209762875,0.5911711209762875
1.0000037345770265,1.199696427978466,1.098453459157149,1.199696427978466,1.0732041092562274,1.199696427978466,1.1862692434678965,1.1862692434678965,1.1862692434678965,1.2026532188402663,1.2026532188402663,1.2026532188402663,1.1697191820837909,1.1697191820837909,1.1697191820837909
2.558554131971173,1.8286904924521128,2.4566382356111043,1.8289381184341442,2.3059346871379023,1.8286904924521128,1.9379422890455729,1.9379422890455729,1.9379422890455729,1.822449395379229,1.8227068538518478,1.822449395379229,2.3198133975891304,2.3198133975891304,2.1177803241984177
