Family,Centrality,Cov_Method,Method,Mean_Loss,Rel_MSFE,Median_Rel_MSFE,Mean_Rank,Median_Rank,Mean_MCS_pvalue,MCS_Inclusion_Rate,Sources
full_gcsr,softmax,shrinkage,full_gcsr_softmax_shrinkage,4.495917089282643,0.9428358980936637,0.9418941152849623,2.75,2.5,1.0,1.0,4
graph_only,softmax,not_used,graph_only_softmax,4.531955389917372,0.9337191631892395,0.9340445651761644,4.75,4.0,1.0,1.0,4
full_gcsr,softmax,rolling,full_gcsr_softmax_rolling,4.511514010744959,0.9494121457670728,0.9492176741094931,4.75,4.0,1.0,1.0,4
full_gcsr,pagerank,shrinkage,full_gcsr_pagerank_shrinkage,4.5261286876026565,0.9517440805683388,0.9530903662292566,6.0,6.5,1.0,1.0,4
full_gcsr,softmax,ewma,full_gcsr_softmax_ewma,4.532895123457129,0.9549117565675073,0.953257245255966,7.25,7.5,1.0,1.0,4
full_gcsr,softmax,diagonal,full_gcsr_softmax_diagonal,4.621615026950223,0.9450379275337784,0.9453129865275348,7.5,7.5,1.0,1.0,4
full_gcsr,eigenvector,shrinkage,full_gcsr_eigenvector_shrinkage,4.5341188993930555,0.9535609013161132,0.9526986560334723,8.25,8.5,1.0,1.0,4
full_gcsr,pagerank,diagonal,full_gcsr_pagerank_diagonal,4.706925153181012,0.9616557803283436,0.9612499877232912,9.0,9.0,1.0,1.0,4
graph_only,pagerank,not_used,graph_only_pagerank,4.670851049250821,0.9651316250969835,0.9659921836160323,9.25,9.5,1.0,1.0,4
graph_only,eigenvector,not_used,graph_only_eigenvector,4.588818513024975,0.9579368870181248,0.9598232596278797,9.5,10.5,1.0,1.0,4
full_gcsr,pagerank,ewma,full_gcsr_pagerank_ewma,4.548397646480211,0.9592656989960376,0.9596838873319736,9.5,10.0,1.0,1.0,4
full_gcsr,eigenvector,diagonal,full_gcsr_eigenvector_diagonal,4.608298807072793,0.9593744285842098,0.9594974812900637,9.5,9.5,1.0,1.0,4
full_gcsr,eigenvector,ewma,full_gcsr_eigenvector_ewma,4.543667193789065,0.9586172673815281,0.956031813094619,9.75,9.5,1.0,1.0,4
full_gcsr,eigenvector,rolling,full_gcsr_eigenvector_rolling,4.563895825338779,0.9647637094977871,0.9663626713278146,10.25,11.5,1.0,1.0,4
full_gcsr,pagerank,rolling,full_gcsr_pagerank_rolling,4.558328161502971,0.9664665737809693,0.9674347384998427,12.0,12.0,1.0,1.0,4
