Source,Source_Type,Method,Family,Centrality,Cov_Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step,Rank
simulation_2A,simulation,full_gcsr_softmax_ewma,full_gcsr,softmax,ewma,0.49485897808793133,0.2612875534757598,0.6484462651338194,74.2288467131897,1.0019445814570613,1.0,True,0,1
simulation_2A,simulation,full_gcsr_eigenvector_ewma,full_gcsr,eigenvector,ewma,0.498571551979194,0.2700961732473913,0.6414627425728753,74.7857327968791,1.0094614568868705,1.0,True,0,2
simulation_2A,simulation,full_gcsr_pagerank_ewma,full_gcsr,pagerank,ewma,0.5007850218620516,0.2580114168490073,0.6659854398957573,75.11775327930775,1.013943085499363,1.0,True,0,3
simulation_2A,simulation,full_gcsr_pagerank_rolling,full_gcsr,pagerank,rolling,0.5386571430634652,0.31337664064686604,0.6681419024627964,80.79857145951979,1.0906230454601962,1.0,True,0,4
simulation_2A,simulation,full_gcsr_softmax_diagonal,full_gcsr,softmax,diagonal,0.5411578185544461,0.28056732283317254,0.6766618869464339,81.17367278316692,1.095686181361765,1.0,True,0,5
simulation_2A,simulation,full_gcsr_eigenvector_diagonal,full_gcsr,eigenvector,diagonal,0.5445119302777749,0.30229172080029776,0.6346370535969867,81.67678954166624,1.1024772758262447,1.0,True,0,6
simulation_2A,simulation,full_gcsr_eigenvector_rolling,full_gcsr,eigenvector,rolling,0.5463369201847721,0.31511232438922127,0.6515678852972212,81.95053802771581,1.1061723461988078,1.0,True,0,7
simulation_2A,simulation,full_gcsr_pagerank_shrinkage,full_gcsr,pagerank,shrinkage,0.5496501884499939,0.29182694253174135,0.6869951561959365,82.4475282674991,1.1128807446158266,1.0,True,0,8
simulation_2A,simulation,full_gcsr_eigenvector_shrinkage,full_gcsr,eigenvector,shrinkage,0.5501164209111441,0.2804201311948936,0.6618738367765765,82.51746313667161,1.1138247288796947,1.0,True,0,9
simulation_2A,simulation,full_gcsr_pagerank_diagonal,full_gcsr,pagerank,diagonal,0.5540065216979326,0.3180481872256027,0.6692300602000457,83.10097825468989,1.121701044309405,1.0,True,0,10
simulation_2A,simulation,full_gcsr_softmax_rolling,full_gcsr,softmax,rolling,0.5603410069033903,0.2985880707121764,0.7452035628191043,84.05115103550854,1.134526522696099,1.0,True,0,11
simulation_2A,simulation,graph_only_softmax,graph_only,softmax,not_used,0.5637043441374554,0.30799730101901657,0.7239829100779281,84.5556516206183,1.1413362961194389,1.0,True,0,12
simulation_2A,simulation,full_gcsr_softmax_shrinkage,full_gcsr,softmax,shrinkage,0.5643650292239606,0.2735825434270603,0.7419927622366255,84.6547543835941,1.142673990031816,1.0,True,0,13
simulation_2A,simulation,graph_only_pagerank,graph_only,pagerank,not_used,0.572641036011687,0.28279006737114876,0.7391435451457932,85.89615540175306,1.159430481323747,1.0,True,0,14
simulation_2A,simulation,graph_only_eigenvector,graph_only,eigenvector,not_used,1.1244356810417704,0.5419873800970063,1.608319926243462,168.66535215626556,2.2766531228147047,0.0,False,1,15
