Centrality,diagonal,ewma,rolling,shrinkage
eigenvector,1.1024772758262447,1.0094614568868705,1.1061723461988078,1.1138247288796947
pagerank,1.121701044309405,1.013943085499363,1.0906230454601962,1.1128807446158266
softmax,1.095686181361765,1.0019445814570613,1.134526522696099,1.142673990031816
