Family,Centrality,Studies,v2_wins,v1_wins,ties,Mean_Delta_Mean_Loss,Median_Delta_Mean_Loss,Mean_Delta_Rel_MSFE,Median_Loss_Ratio_v2_over_v1,Simulation_Reps,v2_win_rate
full_gcsr,eigenvector,6,1,5,0,0.08513149630118759,0.0012275386363850282,0.025123174287206413,1.0028179799703207,20,0.16666666666666666
full_gcsr,pagerank,6,1,5,0,0.06746541835692889,0.001318370596200935,0.02263174202928873,1.0010442232536594,20,0.16666666666666666
full_gcsr,softmax,6,3,3,0,0.05670168442927153,0.00014106128103461013,0.02255217372347514,1.0001627789024425,20,0.5
graph_only,eigenvector,6,1,5,0,0.2950245704339946,0.1690770025717505,0.22554993997667214,1.1624574519758926,20,0.16666666666666666
graph_only,pagerank,6,0,6,0,0.061001366628184284,0.009057399385970055,0.023224791519064036,1.0160946746620598,20,0.0
graph_only,softmax,6,4,2,0,0.14867617076878412,-0.021871389146916276,0.011675946357982267,0.9787683797175317,20,0.6666666666666666
