Study_Type,Study,Family,Centrality,Mean_Loss_v1,Mean_Loss_v2,Median_Loss_v1,Median_Loss_v2,Median_Rel_MSFE_v1,Median_Rel_MSFE_v2,Rel_MSFE_v1,Rel_MSFE_v2,Std_Loss_v1,Std_Loss_v2,Std_Rel_MSFE_v1,Std_Rel_MSFE_v2,Total_Loss_v1,Total_Loss_v2,Simulation_Reps,Comparison_Basis,Delta_Mean_Loss_v2_minus_v1,Delta_Rel_MSFE_v2_minus_v1,Loss_Ratio_v2_over_v1,Winner
simulation,2A,graph_only,eigenvector,0.9930428103206657,1.1672129192118628,0.9814814685132562,1.140580959057639,1.7120826676538758,2.015919492618406,1.6999862762703413,1.997759305407221,0.1385011653704248,0.1545344394663602,0.26183365602825426,0.28258887176841335,148.95642154809985,175.08193788177942,20,mc_average_over_20_reps,0.1741701088911971,0.29777302913687964,1.1753903327037385,v1
simulation,2A,graph_only,pagerank,0.6418544366721932,0.6461464513853847,0.6077864745026642,0.601484953377694,1.0585039235142135,1.0912608259611523,1.079788350754851,1.086059933978179,0.1288033334375246,0.1346404672490069,0.07617030416613144,0.07682312750214526,96.27816550082898,96.92196770780771,20,mc_average_over_20_reps,0.0042920147131915165,0.006271583223327992,1.0066868973212122,v1
simulation,2A,graph_only,softmax,0.6276906533036661,0.5992866649071205,0.5899370969754973,0.551793833593583,1.0424045112233822,1.0047908615319976,1.0508778357484274,1.0026212635340959,0.13773222896820694,0.1351576286968817,0.06201160570721019,0.06410313364945208,94.15359799554992,89.89299973606806,20,mc_average_over_20_reps,-0.028403988396545676,-0.04825657221433155,0.9547484286295334,v2
simulation,2B,full_gcsr,eigenvector,5.642373184773063,5.640479920792879,4.7806678036016805,4.7635515293313535,1.4839603383870397,1.4863742539052551,1.935120252335834,1.9315742041509012,3.511060649911947,3.512717080191018,1.6691922717419083,1.6565308672951078,846.3559777159594,846.0719881189319,20,mc_average_over_20_reps,-0.0018932639801834128,-0.0035460481849327596,0.9996644560864403,v2
simulation,2B,full_gcsr,pagerank,5.770912275424384,5.772851973321131,4.945191974348878,4.93949001466731,1.5274586048428027,1.5281790583458763,1.982559585651137,1.9818102490277778,3.577848181490563,3.5796688751773433,1.748745720283352,1.7437325157328925,865.6368413136576,865.9277959981697,20,mc_average_over_20_reps,0.0019396978967476386,-0.000749336623359298,1.0003361163372744,v1
simulation,2B,full_gcsr,softmax,5.645692235241649,5.637354543659719,4.788810838605356,4.774382050396693,1.4890836854654648,1.4866446180048152,1.9391879800707,1.9340724973617474,3.5172185843431834,3.5182545846632927,1.6810287811872253,1.6733980503654529,846.8538352862473,845.6031815489579,20,mc_average_over_20_reps,-0.00833769158192954,-0.005115482708952568,0.9985231763910396,v2
simulation,2B,graph_only,eigenvector,2.2536699554919393,2.1843794759769715,2.1400102835756325,2.0284495615465277,0.5456480638485721,0.5410165880845006,1.1437464834844613,1.1448079022904456,0.7821497802809539,0.8304711413122828,1.2179195242385457,1.2828144349741524,338.0504933237909,327.6569213965457,20,mc_average_over_20_reps,-0.0692904795149678,0.0010614188059843155,0.9692543802404985,v2
simulation,2B,graph_only,pagerank,1.9729660195533316,1.9797527171796911,1.5064381815773595,1.492230338716818,0.4378194555277314,0.4384846359467792,0.6016517458605468,0.5942936863446787,1.5974235406524213,1.6104248683652262,0.360774930142284,0.34523773631569976,295.94490293299975,296.9629075769537,20,mc_average_over_20_reps,0.006786697626359528,-0.007358059515868098,1.0034398451666673,v1
simulation,2B,graph_only,softmax,2.2537078374020534,2.2247163913399097,1.8487647775696068,1.887033444645765,0.530397576870186,0.4912669995750871,1.2071517801659881,1.195522056142057,0.9914365670734636,1.0242703014780266,1.3950223671325748,1.3924182766837658,338.056175610308,333.7074587009865,20,mc_average_over_20_reps,-0.028991446062143655,-0.011629724023931143,0.9871361116197016,v2
simulation,4A,full_gcsr,eigenvector,0.7249354397866035,0.7253744977429015,0.6776134591214025,0.6805218134030822,1.0713488814712293,1.0785387926904177,1.079121754825458,1.0806126185352485,0.2659108677723956,0.2644002156614925,0.03499254035574293,0.03483681423728764,108.74031596799053,108.80617466143522,20,mc_average_over_20_reps,0.0004390579562980612,0.0014908637097905686,1.0006056511134664,v1
simulation,4A,full_gcsr,pagerank,0.7226251222676982,0.7226756279066244,0.6748821010996398,0.676461148793689,1.0678968785815042,1.0704568458625832,1.0750429245197366,1.075150515139428,0.26625970393744386,0.26626809027292425,0.034393824408991996,0.03448815841312021,108.39376834015472,108.40134418599366,20,mc_average_over_20_reps,5.050563892627924e-05,0.00010759061969145556,1.0000698918946629,v1
simulation,4A,full_gcsr,softmax,0.7222934293994514,0.7226330642948461,0.6757948431999975,0.6763637637665689,1.066728383915485,1.0691245517872139,1.0742924571777306,1.0746719300411345,0.266628559178582,0.26702810014958395,0.03495892349980779,0.03469213203484547,108.3440144099177,108.39495964422692,20,mc_average_over_20_reps,0.0003396348953946804,0.00037947286340389574,1.0004702173404472,v1
simulation,4A,graph_only,eigenvector,1.1229149573790738,1.2868988536313777,1.1038737917469592,1.2268363657697696,1.729921858295579,1.9470825405569874,1.7761262386997045,2.04228641899985,0.241980303982184,0.2775549684664472,0.3366995957444612,0.41253582069378886,168.43724360686107,193.03482804470664,20,mc_average_over_20_reps,0.16398389625230392,0.26616018030014565,1.1460341187680396,v1
simulation,4A,graph_only,pagerank,0.7602889582362257,0.7624723021752045,0.7090002276342556,0.7302391451263748,1.154044345048392,1.1421256314937547,1.147241708720866,1.1505618699966822,0.2508382095004575,0.252541719476284,0.06702891717566287,0.07070903281290634,114.04334373543385,114.37084532628067,20,mc_average_over_20_reps,0.002183343938978788,0.003320161275816247,1.0028717291173659,v1
simulation,4A,graph_only,softmax,0.751298376407117,0.729060431168096,0.712255182144061,0.6924518441463345,1.135274282635243,1.0831402570135915,1.1218579748586452,1.0839862897017691,0.268830555038633,0.26902381943238995,0.0426358296669896,0.041053880751140165,112.69475646106756,109.35906467521441,20,mc_average_over_20_reps,-0.022237945239021006,-0.03787168515687611,0.970400647815362,v2
