Study_Type,Study,Family,Centrality,Mean_Loss_v1,Mean_Loss_v2,Median_Loss_v1,Median_Loss_v2,Median_Rel_MSFE_v1,Median_Rel_MSFE_v2,Rel_MSFE_v1,Rel_MSFE_v2,Std_Loss_v1,Std_Loss_v2,Std_Rel_MSFE_v1,Std_Rel_MSFE_v2,Total_Loss_v1,Total_Loss_v2,Simulation_Reps,Comparison_Basis,Delta_Mean_Loss_v2_minus_v1,Delta_Rel_MSFE_v2_minus_v1,Loss_Ratio_v2_over_v1,Winner
empirical,inflation,full_gcsr,eigenvector,8.116211070091516,8.54208915551008,0.3074407162698739,0.2886517145512693,0.9495222938385784,0.9993461258052423,0.9495222938385784,0.9993461258052423,17.731684717338375,18.71030268382381,0.0,0.0,251.602543172837,264.80476382081247,1,single_backtest,0.42587808541856376,0.049823831966663845,1.0524725246473614,v1
empirical,inflation,full_gcsr,pagerank,8.19420297582756,8.511754699324062,0.2911484791284262,0.27495018140931815,0.9586466318573648,0.9957972725076445,0.9586466318573648,0.9957972725076445,18.072968319197255,18.731896268232607,0.0,0.0,254.02029225065434,263.8643956790459,1,single_backtest,0.31755172349650174,0.03715064065027973,1.0387532166866333,v1
empirical,inflation,full_gcsr,softmax,8.048527317843119,8.300558300535437,0.3044299783708766,0.3850817271302602,0.9416039152829335,0.9710892298882008,0.9416039152829335,0.9710892298882008,17.65661488782185,18.3065214394556,0.0,0.0,249.5043468531367,257.31730731659854,1,single_backtest,0.25203098269231816,0.029485314605267265,1.0313139252361834,v1
empirical,inflation,graph_only,eigenvector,7.7680296813538705,8.929540988900408,0.4868144213480079,0.6359163492848345,0.9087882631374347,1.0446744385383164,0.9087882631374347,1.0446744385383164,17.596202311376672,19.2323536770759,0.0,0.0,240.80892012196998,276.8157706559127,1,single_backtest,1.1615113075465375,0.13588617540088177,1.1495245712480466,v1
empirical,inflation,graph_only,pagerank,8.333480124128368,8.610422505623697,0.4509503736989637,0.48590643364829905,0.9749407814539928,1.00734050135625,0.9749407814539928,1.00734050135625,18.07659827993385,18.59069748380471,0.0,0.0,258.3378838479794,266.9230976743346,1,single_backtest,0.27694238149532957,0.03239971990225721,1.0332325003924212,v1
empirical,inflation,graph_only,softmax,7.66580741382623,8.552653120953632,0.33451112027828583,0.3794025997213822,0.896829194908923,1.0005820129221947,0.896829194908923,1.0005820129221947,17.51362409099033,18.654937914500415,0.0,0.0,237.64002982861314,265.1322467495626,1,single_backtest,0.8868457071274021,0.10375281801327174,1.1156884929730777,v1
empirical,unemployment,full_gcsr,eigenvector,0.7836881440468612,0.8678063132504198,0.7481269435763984,0.8223056662029211,0.9023141180273008,0.999165157859341,0.9023141180273008,0.999165157859341,0.6822860674985767,0.7083696231924672,0.0,0.0,47.02128864281167,52.06837879502519,1,single_backtest,0.08411816920355863,0.09685103983204024,1.1073362789044934,v1
empirical,unemployment,full_gcsr,pagerank,0.774411681684376,0.858967334572684,0.78227666711678,0.8099999999831708,0.8916334882147886,0.9889882331343112,0.8916334882147886,0.9889882331343112,0.6517041084135193,0.6893097305309214,0.0,0.0,46.464700901062564,51.53804007436104,1,single_backtest,0.08455565288830802,0.09735474491952256,1.1091869542881845,v1
empirical,unemployment,full_gcsr,softmax,0.7697199384195073,0.8662904889853748,0.657437622445074,0.8184183658725495,0.8862315611622882,0.9974198850168355,0.8862315611622882,0.9974198850168355,0.6478133610599467,0.735319482326609,0.0,0.0,46.18319630517043,51.97742933912249,1,single_backtest,0.0965705505658675,0.11118832385454736,1.1254619319906916,v1
empirical,unemployment,graph_only,eigenvector,0.6408914067136997,0.8167446961242434,0.5768901816598255,0.7864264292815355,0.737902402624033,0.9403744024137686,0.737902402624033,0.9403744024137686,0.606587140180631,0.7255414078576097,0.0,0.0,38.453484402821985,49.004681767454606,1,single_backtest,0.17585328941054368,0.20247199978973562,1.274388589967631,v1
empirical,unemployment,graph_only,pagerank,0.754595517941397,0.8190711787910627,0.6385585747657979,0.6692519179506327,0.8688177745329424,0.9430530420889547,0.8688177745329424,0.9430530420889547,0.6843888174096368,0.7190918120030073,0.0,0.0,45.27573107648382,49.14427072746376,1,single_backtest,0.06447566084966572,0.07423526755601229,1.085444001874754,v1
empirical,unemployment,graph_only,softmax,0.7633866754118838,0.8697362056497083,0.7029730835852614,0.8083005827778507,0.878939639409524,1.001387175853845,0.878939639409524,1.001387175853845,0.6950470302520021,0.7637613001421936,0.0,0.0,45.80320052471303,52.1841723389825,1,single_backtest,0.10634953023782456,0.12244753644432105,1.1393127934548293,v1
simulation,1A,full_gcsr,eigenvector,0.40077446251032456,0.40279048182679655,0.38484933102969054,0.3870005918203006,1.0952497013444966,1.0970179848741821,1.0966729302217522,1.1022233500053775,0.046407060809627115,0.04668021494128654,0.03661474807569467,0.036330843868844366,60.11616937654868,60.41857227401948,20,mc_average_over_20_reps,0.0020160193164719953,0.00555041978362536,1.005030308827175,v1
simulation,1A,full_gcsr,pagerank,0.3977807992865646,0.39847784258221886,0.38215389185784276,0.38278600898321913,1.0851022047306436,1.0853307809688226,1.088360263252244,1.0902745619485585,0.04656105466963517,0.04667566941263394,0.03574354201607517,0.03592449191703568,59.667119892984694,59.77167638733283,20,mc_average_over_20_reps,0.0006970432956542316,0.0019142986963145425,1.0017523301700444,v1
simulation,1A,full_gcsr,softmax,0.39757028876096806,0.3975127764276426,0.38244659648447316,0.38192270005167017,1.0869182163975541,1.0864474409767588,1.0876612552780394,1.0875875526095649,0.04699802910963099,0.046681151426849435,0.03629962155703861,0.03554494536951317,59.63554331414521,59.62691646414639,20,mc_average_over_20_reps,-5.751233332546013e-05,-7.37026684745068e-05,0.9998553404644379,v2
simulation,1A,graph_only,eigenvector,0.8364660121457913,1.0003853121641444,0.8226112945209854,0.9967373445456115,2.293945338818986,2.6806299056128577,2.3030222874532913,2.752969123879697,0.09649571456410284,0.09316551928853048,0.27894745852504144,0.25966571600679833,125.46990182186869,150.05779682462165,20,mc_average_over_20_reps,0.1639193000183531,0.44994683642640565,1.1959664799743028,v1
simulation,1A,graph_only,pagerank,0.4441965480138603,0.4555246491594409,0.4380248568939097,0.4391923347951001,1.219560415213793,1.228033600968256,1.2169585522000121,1.2474386288728507,0.049788106918800874,0.055636538623305,0.06645528382737638,0.08231345676423056,66.62948220207905,68.32869737391614,20,mc_average_over_20_reps,0.011328101145580582,0.030480076672838585,1.0255024520029072,v1
simulation,1A,graph_only,softmax,0.417945622985464,0.39644078993065246,0.4123000367156333,0.3898351846192284,1.1508858894315535,1.0791714380275228,1.141638533625794,1.0832518387112335,0.057113359803426335,0.05384032906308422,0.06117698002460789,0.05687665797296475,62.6918434478196,59.46611848959787,20,mc_average_over_20_reps,-0.021504833054811545,-0.05838669491456039,0.9485463374369171,v2
simulation,2A,full_gcsr,eigenvector,0.6360784565667716,0.6363093664591881,0.6092746619390583,0.6080904868970178,1.0843505387182462,1.086709385790834,1.0676159978683206,1.0681849364843718,0.12951730486254528,0.12903711047417246,0.050949202185138105,0.051298876020687494,95.41176848501574,95.44640496887821,20,mc_average_over_20_reps,0.00023090989241647542,0.0005689386160512289,1.0003630210865226,v1
simulation,2A,full_gcsr,pagerank,0.6356288718636007,0.6356267587890362,0.6091984869987284,0.6076436525316009,1.0833547365368998,1.0853134483967875,1.0667518480929101,1.0667643620061935,0.12933813462246105,0.1292884758480994,0.05013954617451822,0.04998647617301691,95.34433077954012,95.34401381835542,20,mc_average_over_20_reps,-2.113074564547013e-06,1.2513913283385136e-05,0.9999966756158223,v2
simulation,2A,full_gcsr,softmax,0.6351991059236162,0.63486324826092,0.6091778338536518,0.6075795900803871,1.0818814307181281,1.0826801994866504,1.0659457736509563,1.0653948900460157,0.12936198976458654,0.12933097682453865,0.049804569920320715,0.050357270577076375,95.27986588854243,95.229487239138,20,mc_average_over_20_reps,-0.0003358576626961707,-0.0005508836049405996,0.9994712560840151,v2
