Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step
graph_only_eigenvector,7.988213234039565,0.3379984938548799,17.899495270894803,239.64639702118694,0.9083094380545312,1.0,True,0
graph_only_softmax,8.0426725625125,0.353656038788937,17.894054437979094,241.280176875375,0.9145018018025712,1.0,True,0
rs_selection,8.267424597416904,0.34725556986079215,17.938204816336437,248.0227379225071,0.9400575035026367,1.0,True,0
var_error,8.312007697509179,0.3434206431875976,17.4110727432428,249.36023092527535,0.9451268787690585,1.0,True,0
bates_granger_mv,8.3205567070289,0.5097224077935096,17.60258775632194,249.61670121086698,0.946098954226395,1.0,True,0
full_gcsr_eigenvector,8.366489625897337,0.2993002649281251,17.975282023210553,250.9946887769201,0.9513218122677667,1.0,True,0
full_gcsr_softmax,8.415389537578296,0.2892041688293513,18.04549634014693,252.46168612734886,0.956882035811948,1.0,True,0
full_gcsr_pagerank,8.464550733069244,0.28557492266590045,18.296255328964843,253.93652199207733,0.9624719689474573,1.0,True,0
graph_only_pagerank,8.544310876687002,0.3465897204032782,18.322750492037734,256.32932630061003,0.9715411924528943,1.0,True,0
full_gcsr_v2_softmax,8.577869599225426,0.3967589151763218,18.758984819157366,257.33608797676277,0.9753570275486345,1.0,True,0
recent_best,8.633607069904993,0.725,17.866846806684723,259.0082120971498,0.9816947240006779,1.0,True,0
full_gcsr_v2_eigenvector,8.699732406074638,0.3948021626522204,19.114532430593087,260.9919721822391,0.9892135852500845,1.0,True,0
graph_only_v2_softmax,8.710999727574471,0.4665866100576095,19.039677096352776,261.32999182723415,0.9904947496556968,1.0,True,0
full_gcsr_v2_pagerank,8.760755866069355,0.3313998378832467,19.003491327890927,262.8226759820806,0.9961523315043472,1.0,True,0
equal,8.794594550452173,0.3687966446880807,18.45799078532856,263.8378365135652,0.9999999999998863,1.0,True,0
graph_only_v2_pagerank,8.876419736073379,0.4699287822294692,18.91020518415615,266.29259208220134,1.0093040316015467,1.0,True,0
graph_only_v2_eigenvector,9.049052709247489,0.7379893110319974,19.773124435387164,271.47158127742466,1.028933472411324,1.0,True,0
rs_selection_v2,9.253576103238325,0.725,19.765368163811388,277.6072830971498,1.0521890520537416,1.0,True,0
