Application,Method,Mean_Loss,Rel_MSFE,Total_Loss
Inflation,RS selection,9.067263970875798,1.0607867649217997,281.08518309714975
Inflation,GLIDE$_{\mathrm{eigenvector}}$,8.929540988900408,1.0446744385381943,276.8157706559127
Inflation,GLIDE$_{\mathrm{pagerank}}$,8.610422505623696,1.0073405013561318,266.92309767433454
Inflation,GLIDE$_{\mathrm{softmax}}$,8.552653120953623,1.0005820129220766,265.13224674956234
Inflation,GLIDER$_{\mathrm{eigenvector}}$,8.542089155510116,0.9993461258051296,264.8047638208136
Inflation,GLIDER$_{\mathrm{pagerank}}$,8.511754698895945,0.9957972724574424,263.8643956657743
Inflation,GLIDER$_{\mathrm{softmax}}$,8.300558302353304,0.971089230100761,257.3173073729524
Unemployment,RS selection,0.804257522147208,0.9259970592573514,48.25545132883248
Unemployment,GLIDE$_{\mathrm{eigenvector}}$,0.8167446961242444,0.9403744024126874,49.00468176745466
Unemployment,GLIDE$_{\mathrm{pagerank}}$,0.8190711787910637,0.9430530420878704,49.14427072746383
Unemployment,GLIDE$_{\mathrm{softmax}}$,0.8697362056497125,1.001387175852697,52.184172338982755
Unemployment,GLIDER$_{\mathrm{eigenvector}}$,0.8678063132504062,0.9991651578581756,52.06837879502437
Unemployment,GLIDER$_{\mathrm{pagerank}}$,0.8589673345726394,0.9889882331331216,51.53804007435836
Unemployment,GLIDER$_{\mathrm{softmax}}$,0.8662904889853794,0.997419885015693,51.97742933912277
