Scenario,MCS_Size,Included_Models
1A,12,"full_gcsr_eigenvector, full_gcsr_v2_eigenvector, full_gcsr_pagerank, full_gcsr_v2_pagerank, full_gcsr_softmax, full_gcsr_v2_softmax, graph_only_pagerank, graph_only_softmax, graph_only_v2_softmax, bates_granger_mv, var_error, equal"
2A,13,"full_gcsr_eigenvector, full_gcsr_v2_eigenvector, full_gcsr_pagerank, full_gcsr_v2_pagerank, full_gcsr_softmax, full_gcsr_v2_softmax, graph_only_pagerank, graph_only_v2_pagerank, graph_only_softmax, graph_only_v2_softmax, bates_granger_mv, var_error, equal"
2B,11,"full_gcsr_eigenvector, full_gcsr_v2_eigenvector, full_gcsr_pagerank, full_gcsr_v2_pagerank, full_gcsr_softmax, full_gcsr_v2_softmax, graph_only_eigenvector, graph_only_v2_eigenvector, graph_only_softmax, graph_only_v2_softmax, var_error"
2C,17,"full_gcsr_eigenvector, full_gcsr_v2_eigenvector, full_gcsr_pagerank, full_gcsr_v2_pagerank, full_gcsr_softmax, full_gcsr_v2_softmax, graph_only_eigenvector, graph_only_v2_eigenvector, graph_only_pagerank, graph_only_v2_pagerank, graph_only_softmax, graph_only_v2_softmax, rs_selection_v2, bates_granger_mv, var_error, recent_best, equal"
4A,13,"full_gcsr_eigenvector, full_gcsr_v2_eigenvector, full_gcsr_pagerank, full_gcsr_v2_pagerank, full_gcsr_softmax, full_gcsr_v2_softmax, graph_only_pagerank, graph_only_v2_pagerank, graph_only_softmax, graph_only_v2_softmax, bates_granger_mv, var_error, equal"
