Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step
var_error,0.48590534148779907,0.24689911724242167,0.5932163026350782,72.88580122316986,0.983816088140669,1.0,True,0
equal,0.4938985521218058,0.26298618783430083,0.6142111600852258,74.08478281827087,0.9999999999979753,1.0,True,0
full_gcsr_softmax,0.5257561528063521,0.2707032712142423,0.6398420730344067,78.86342292095281,1.0645023164101626,1.0,True,0
full_gcsr_pagerank,0.5338656689870411,0.266088226005864,0.6584106290040878,80.07985034805617,1.0809217129559385,1.0,True,0
full_gcsr_eigenvector,0.5379845729414925,0.2795400964836384,0.6484509880203299,80.69768594122388,1.0892612878276366,1.0,True,0
bates_granger_mv,0.557496787524794,0.30185447915217833,0.6891318499258762,83.6245181287191,1.1287678109778603,1.0,True,0
graph_only_softmax,0.5637043441374554,0.30799730101901657,0.7239829100779281,84.5556516206183,1.141336296117128,1.0,True,0
graph_only_pagerank,0.572641036011687,0.28279006737114876,0.7391435451457932,85.89615540175306,1.1594304813213996,1.0,True,0
graph_only_eigenvector,1.1244356810417704,0.5419873800970063,1.608319926243462,168.66535215626556,2.2766531228100955,0.0,False,4
recent_best,1.251078173628842,0.6825446445058571,1.6943614489149132,187.66172604432631,2.5330671010304298,0.0,False,3
rs_selection_v2,1.5803524253461483,0.8486146479364451,2.1254255714850316,237.05286380192223,3.199751079556112,0.0,False,1
rs_selection,1.7285288495764124,0.9296775729214498,2.276097817976227,259.27932743646187,3.4997649662002273,0.0,False,2
