Family,Centrality,Cov_Method,Method,Mean_Loss,Mean_Rel_MSFE,Median_Rel_MSFE,Mean_Rank,Median_Rank,Mean_MCS_pvalue,MCS_Inclusion_Rate,Sources
full_gcsr,softmax,shrinkage,full_gcsr_softmax_shrinkage,2.408678741521678,0.9220110984750557,0.9414153659863997,5.0,5.0,1.0,1.0,9
full_gcsr,softmax,diagonal,full_gcsr_softmax_diagonal,2.528884518139318,0.9078524895107005,0.972304382086236,6.0,3.0,0.8966666666666667,0.8888888888888888,9
full_gcsr,eigenvector,diagonal,full_gcsr_eigenvector_diagonal,2.520434382962286,0.9092834990997315,0.965328052157127,6.444444444444445,6.0,0.8933333333333332,0.8888888888888888,9
full_gcsr,pagerank,shrinkage,full_gcsr_pagerank_shrinkage,2.440413642404529,0.9250235396652664,0.9564427718855761,6.666666666666667,7.0,1.0,1.0,9
full_gcsr,pagerank,diagonal,full_gcsr_pagerank_diagonal,2.564112841538154,0.9171612317884082,0.9907037414788251,7.111111111111111,4.0,0.8966666666666667,0.8888888888888888,9
full_gcsr,softmax,ewma,full_gcsr_softmax_ewma,2.352971773994795,0.9282991401835604,0.9640658517041664,7.222222222222222,9.0,1.0,1.0,9
full_gcsr,softmax,rolling,full_gcsr_softmax_rolling,2.4239769940108666,0.9403680105830641,0.9554636259132793,7.222222222222222,9.0,1.0,1.0,9
full_gcsr,eigenvector,shrinkage,full_gcsr_eigenvector_shrinkage,2.4358095335983503,0.9278462923794617,0.9554161918711986,7.555555555555555,7.0,1.0,1.0,9
graph_only,softmax,not_used,graph_only_softmax,2.5925626735973086,1.000424323245331,0.9533181138516283,7.777777777777778,7.0,0.8966666666666667,0.8888888888888888,9
full_gcsr,eigenvector,ewma,full_gcsr_eigenvector_ewma,2.3575297866468734,0.9281513103845328,0.959701263891328,8.333333333333334,8.0,1.0,1.0,9
full_gcsr,pagerank,ewma,full_gcsr_pagerank_ewma,2.3623695445370814,0.9294592724070958,0.9653406182120418,8.777777777777779,10.0,1.0,1.0,9
full_gcsr,eigenvector,rolling,full_gcsr_eigenvector_rolling,2.451977148357883,0.9456038694379411,0.9792562967022796,9.555555555555555,10.0,1.0,1.0,9
graph_only,pagerank,not_used,graph_only_pagerank,2.7887777457840954,0.968489351281714,0.9817341652759088,9.666666666666666,14.0,0.8888888888888888,0.8888888888888888,9
full_gcsr,pagerank,rolling,full_gcsr_pagerank_rolling,2.4642943598051152,0.9476142096042908,0.9814184576624843,10.222222222222221,9.0,1.0,1.0,9
graph_only,eigenvector,not_used,graph_only_eigenvector,2.809849734615595,1.3518361483333903,0.9627346887080119,12.444444444444445,14.0,0.45333333333333337,0.4444444444444444,9
