Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE
graph_only_softmax,7.665901802003456,0.3345111202782848,17.514153596387757,237.64295586210716,0.8968402374602965
graph_only_eigenvector,7.7528217467996114,0.37256531468883136,17.60232234549828,240.33747415078795,0.9070090742057197
full_gcsr_softmax,8.04486680203947,0.30645393689610817,17.65827055906565,249.3908708632236,0.9411756684897699
var_error,8.050480598653637,0.31281035687919284,17.188992416318037,249.56489855826274,0.9418324312319155
bates_granger_mv,8.063764555207767,0.4900000000011198,17.373375186234256,249.97670121144077,0.9433865323746283
full_gcsr_eigenvector,8.115048579499527,0.307573904202351,17.732179786298893,251.56650596448534,0.9493862930957638
rs_selection,8.134306070189053,0.48999999999999994,18.63724064676104,252.16348817586066,0.9516392429728898
full_gcsr_pagerank,8.192912428739072,0.30454299643346805,18.073471744180633,253.98028529091127,0.9584956496783535
full_gcsr_v2_softmax,8.300558302353304,0.38508174060044076,18.30652144286959,257.3173073729524,0.971089230100761
graph_only_pagerank,8.33119968901612,0.46232736803972424,18.077626402501213,258.26719035949975,0.9746739914505099
recent_best,8.366716519262896,0.6400000000000001,17.63699454208782,259.36821209714975,0.9788291350063576
full_gcsr_v2_pagerank,8.511754698895945,0.27495018140931793,18.73189626841819,263.8643956657743,0.9957972724574423
full_gcsr_v2_eigenvector,8.542089155510116,0.2886517145512669,18.710302683823922,264.8047638208136,0.9993461258051296
equal,8.54767826175053,0.45562500000000034,18.20813592770088,264.9780261142664,0.999999999999883
graph_only_v2_softmax,8.552653120953623,0.3794025997213807,18.65493791450042,265.13224674956234,1.0005820129220766
graph_only_v2_pagerank,8.610422505623696,0.48590643364829905,18.59069748380471,266.92309767433454,1.0073405013561318
graph_only_v2_eigenvector,8.929540988900408,0.6359163492848345,19.2323536770759,276.8157706559127,1.0446744385381943
rs_selection_v2,9.067263970875798,0.6400000000000001,19.494026983163206,281.08518309714975,1.0607867649217997
