oos_period,variant,row_model,col_model,sigma
32,legacy,3,3,0.0
32,legacy,3,4,1e-06
32,legacy,4,1,1e-06
32,legacy,4,2,1e-06
32,legacy,4,3,1e-06
32,legacy,4,4,0.0
33,legacy,1,1,0.0
33,legacy,1,2,1e-06
33,legacy,1,3,1e-06
33,legacy,1,4,1e-06
33,legacy,2,1,1e-06
33,legacy,2,2,0.0
33,legacy,2,3,0.1118048657585244
33,legacy,2,4,1e-06
33,legacy,3,1,1e-06
33,legacy,3,2,0.1118048657585244
33,legacy,3,3,0.0
33,legacy,3,4,0.05046636358679633
33,legacy,4,1,1e-06
33,legacy,4,2,1e-06
33,legacy,4,3,0.05046636358679633
33,legacy,4,4,0.0
34,legacy,1,1,0.0
34,legacy,1,2,0.06834767155565415
34,legacy,1,3,1e-06
34,legacy,1,4,1e-06
34,legacy,2,1,0.06834767155565415
34,legacy,2,2,0.0
34,legacy,2,3,0.15145109071164878
34,legacy,2,4,1e-06
34,legacy,3,1,1e-06
34,legacy,3,2,0.15145109071164878
34,legacy,3,3,0.0
34,legacy,3,4,0.0844748574055892
34,legacy,4,1,1e-06
34,legacy,4,2,1e-06
34,legacy,4,3,0.0844748574055892
34,legacy,4,4,0.0
35,legacy,1,1,0.0
35,legacy,1,2,0.28018084311332375
35,legacy,1,3,1e-06
35,legacy,1,4,1e-06
35,legacy,2,1,0.28018084311332375
35,legacy,2,2,0.0
35,legacy,2,3,0.18465743385031833
35,legacy,2,4,0.05060951990394774
35,legacy,3,1,1e-06
35,legacy,3,2,0.18465743385031833
35,legacy,3,3,0.0
35,legacy,3,4,0.17808559484079522
35,legacy,4,1,1e-06
35,legacy,4,2,0.05060951990394774
35,legacy,4,3,0.17808559484079522
35,legacy,4,4,0.0
36,legacy,1,1,0.0
36,legacy,1,2,1e-06
36,legacy,1,3,0.04780248397790546
36,legacy,1,4,1e-06
36,legacy,2,1,1e-06
36,legacy,2,2,0.0
36,legacy,2,3,0.171118761006897
36,legacy,2,4,0.08282948640080004
36,legacy,3,1,0.04780248397790546
36,legacy,3,2,0.171118761006897
36,legacy,3,3,0.0
36,legacy,3,4,0.20645108894848432
36,legacy,4,1,1e-06
36,legacy,4,2,0.08282948640080004
36,legacy,4,3,0.20645108894848432
36,legacy,4,4,0.0
37,legacy,1,1,0.0
37,legacy,1,2,0.16086042819822877
37,legacy,1,3,0.14295265370298396
37,legacy,1,4,0.017313710958345847
37,legacy,2,1,0.16086042819822877
37,legacy,2,2,0.0
37,legacy,2,3,0.20607372864503223
37,legacy,2,4,0.13337158956558093
37,legacy,3,1,0.14295265370298396
37,legacy,3,2,0.20607372864503223
37,legacy,3,3,0.0
