method,oos_period,herfindahl,effective_n,turnover
full_gcsr_eigenvector,20,0.7878862303047188,1.2692187799921888,
full_gcsr_eigenvector,21,0.7847206314759565,1.2743388664563735,0.0020916993723284418
full_gcsr_eigenvector,22,0.5450778805841804,1.8346002206661964,0.22717691521415398
full_gcsr_eigenvector,23,0.7271944010811354,1.3751481014062796,0.1869120931054574
full_gcsr_eigenvector,24,0.3673494443281352,2.722203654966602,0.3622143780290983
full_gcsr_eigenvector,25,0.5081784217383044,1.9678127941350645,0.18405625893982658
full_gcsr_eigenvector,26,0.4320513443104048,2.314539725819151,0.1649381441959567
full_gcsr_eigenvector,27,0.3931915574993873,2.543289602553479,0.06104082661490019
full_gcsr_eigenvector,28,0.5101358426974624,1.9602621817597967,0.27647483649894505
full_gcsr_eigenvector,29,0.4561773885572539,2.1921296957805967,0.19266643608825518
full_gcsr_eigenvector,30,0.44576179565131346,2.2433506185492536,0.1270752269109885
full_gcsr_eigenvector,31,0.5066065035076567,1.973918599694578,0.12205305086828769
full_gcsr_eigenvector,32,0.48568275935845495,2.0589571705631755,0.019236742902206602
full_gcsr_eigenvector,33,0.571526448039077,1.7497003042134402,0.08394939611852781
full_gcsr_eigenvector,34,0.4474019797266966,2.2351264529738284,0.11835897838028489
full_gcsr_eigenvector,35,0.5540334433599174,1.8049451923615534,0.13582348782121773
full_gcsr_eigenvector,36,0.580476062367252,1.7227239240872023,0.051840982274619536
full_gcsr_eigenvector,37,0.46073436965950976,2.1704480191894873,0.10926386278175645
full_gcsr_eigenvector,38,0.4809858388644027,2.0790632887674585,0.23546342188658534
full_gcsr_eigenvector,39,0.38505635704884605,2.5970224402064495,0.16779748521371565
full_gcsr_eigenvector,40,0.25002320034821246,3.999628828873798,0.35094361012436515
full_gcsr_eigenvector,41,0.3179151393310526,3.1454934864195825,0.2152678082708844
full_gcsr_eigenvector,42,0.6802991584779386,1.469941550769137,0.44995235126930816
full_gcsr_eigenvector,43,0.9999999999979996,1.0000000000020004,0.1901824845672648
full_gcsr_eigenvector,44,0.7578079465473073,1.3195955578932075,0.14091694940775681
full_gcsr_eigenvector,45,0.9999999999979998,1.0000000000020002,0.8593437140081697
full_gcsr_eigenvector,46,0.30560063300044177,3.2722445309809105,0.5466011211301447
full_gcsr_eigenvector,47,0.3167870780133845,3.1566944152871956,0.13164636482639583
full_gcsr_eigenvector,48,0.5953595754658907,1.6796572041651692,0.44623469599423854
full_gcsr_eigenvector,49,0.5926664400162601,1.6872897341252602,0.008263145476846034
full_gcsr_eigenvector,50,0.38308636166639626,2.6103774502701604,0.3727525773292237
full_gcsr_v2_eigenvector,20,0.7875608712734241,1.269743122691048,
full_gcsr_v2_eigenvector,21,0.7823598015969511,1.2781842803768833,0.003444768111915587
full_gcsr_v2_eigenvector,22,0.733502054049636,1.363322698933206,0.034050645159530275
full_gcsr_v2_eigenvector,23,0.7256365675507307,1.3781003393686992,0.005804163189346167
full_gcsr_v2_eigenvector,24,0.431835666864306,2.3156957072613134,0.3147235798813377
full_gcsr_v2_eigenvector,25,0.7391739328836044,1.3528615600646012,0.3246527339839326
full_gcsr_v2_eigenvector,26,0.4320513443104048,2.314539725819151,0.44680469132337
full_gcsr_v2_eigenvector,27,0.3808641812980224,2.625607891484839,0.07356395864310514
full_gcsr_v2_eigenvector,28,0.38975775561983067,2.56569621920596,0.04999853447700162
full_gcsr_v2_eigenvector,29,0.751258304413463,1.33110009450177,0.5020761867432345
full_gcsr_v2_eigenvector,30,0.44576179565131346,2.2433506185492536,0.39571773992129006
full_gcsr_v2_eigenvector,31,0.5066065035076567,1.973918599694578,0.12205305086828769
full_gcsr_v2_eigenvector,32,0.48568275935845495,2.0589571705631755,0.019236742902206602
full_gcsr_v2_eigenvector,33,0.49188068443657457,2.0330133539304382,0.03240604231780378
full_gcsr_v2_eigenvector,34,0.42824706134355944,2.335100670306186,0.15083685558302945
full_gcsr_v2_eigenvector,35,0.5457013798930594,1.8325040706255296,0.12958395150871402
full_gcsr_v2_eigenvector,36,0.580476062367252,1.7227239240872023,0.15404227117323627
full_gcsr_v2_eigenvector,37,0.46073436965950976,2.1704480191894873,0.10926386278175645
full_gcsr_v2_eigenvector,38,0.43970444602880243,2.274254920621148,0.0682472600127422
full_gcsr_v2_eigenvector,39,0.3623102517749308,2.7600654276302556,0.2115398826794882
full_gcsr_v2_eigenvector,40,0.25002320034821246,3.999628828873798,0.24884407494738348
full_gcsr_v2_eigenvector,41,0.5566135074689228,1.7965787509312872,0.4510224283891923
full_gcsr_v2_eigenvector,42,0.5239652372094271,1.9085235603145623,0.6574876181668207
full_gcsr_v2_eigenvector,43,0.9999999999979994,1.0000000000020006,0.3087776869190316
full_gcsr_v2_eigenvector,44,0.8129653837855668,1.2300646742712562,0.10328868918022444
