oos_period,row_model,col_model,sigma_matrice
34,4,1,1e-06
34,4,2,1e-06
34,4,3,0.0844748574055892
34,4,4,0.0
35,1,1,0.0
35,1,2,0.28018084311332375
35,1,3,1e-06
35,1,4,1e-06
35,2,1,0.28018084311332375
35,2,2,0.0
35,2,3,0.18465743385031833
35,2,4,0.05060951990394774
35,3,1,1e-06
35,3,2,0.18465743385031833
35,3,3,0.0
35,3,4,0.17808559484079522
35,4,1,1e-06
35,4,2,0.05060951990394774
35,4,3,0.17808559484079522
35,4,4,0.0
36,1,1,0.0
36,1,2,1e-06
36,1,3,0.04780248397790546
36,1,4,1e-06
36,2,1,1e-06
36,2,2,0.0
36,2,3,0.171118761006897
36,2,4,0.08282948640080004
36,3,1,0.04780248397790546
36,3,2,0.171118761006897
36,3,3,0.0
36,3,4,0.20645108894848432
36,4,1,1e-06
36,4,2,0.08282948640080004
36,4,3,0.20645108894848432
36,4,4,0.0
37,1,1,0.0
37,1,2,0.16086042819822877
37,1,3,0.14295265370298396
37,1,4,0.017313710958345847
37,2,1,0.16086042819822877
37,2,2,0.0
37,2,3,0.20607372864503223
37,2,4,0.13337158956558093
37,3,1,0.14295265370298396
37,3,2,0.20607372864503223
37,3,3,0.0
37,3,4,0.16705250319881085
37,4,1,0.017313710958345847
37,4,2,0.13337158956558093
37,4,3,0.16705250319881085
37,4,4,0.0
38,1,1,0.0
38,1,2,0.3997798346229914
38,1,3,1e-06
38,1,4,0.5668819654215457
38,2,1,0.3997798346229914
38,2,2,0.0
38,2,3,0.20333789007435202
38,2,4,0.21292760751373693
38,3,1,1e-06
38,3,2,0.20333789007435202
38,3,3,0.0
38,3,4,0.2882712004412715
38,4,1,0.5668819654215457
38,4,2,0.21292760751373693
38,4,3,0.2882712004412715
38,4,4,0.0
39,1,1,0.0
39,1,2,0.3707327552558882
39,1,3,0.3194262852250304
39,1,4,0.7320217378702425
39,2,1,0.3707327552558882
39,2,2,0.0
39,2,3,0.07958591164437001
39,2,4,0.3198655960240275
39,3,1,0.3194262852250304
39,3,2,0.07958591164437001
39,3,3,0.0
39,3,4,0.2149030800412939
39,4,1,0.7320217378702425
39,4,2,0.3198655960240275
39,4,3,0.2149030800412939
39,4,4,0.0
40,1,1,0.0
40,1,2,0.2974948372654809
40,1,3,1e-06
40,1,4,1e-06
40,2,1,0.2974948372654809
40,2,2,0.0
40,2,3,0.16304395365964466
40,2,4,0.605708074534643
40,3,1,1e-06
40,3,2,0.16304395365964466
40,3,3,0.0
40,3,4,0.3956436882539425
40,4,1,1e-06
40,4,2,0.605708074534643
40,4,3,0.3956436882539425
40,4,4,0.0
41,1,1,0.0
41,1,2,0.5248893818791066
41,1,3,0.23388278935500972
41,1,4,1e-06
41,2,1,0.5248893818791066
41,2,2,0.0
41,2,3,0.12842944432912676
41,2,4,0.0841914207780549
41,3,1,0.23388278935500972
41,3,2,0.12842944432912676
41,3,3,0.0
41,3,4,1e-06
41,4,1,1e-06
41,4,2,0.0841914207780549
41,4,3,1e-06
41,4,4,0.0
42,1,1,0.0
42,1,2,0.6065896304562975
42,1,3,0.33074332578644083
42,1,4,1.3086717045197371
42,2,1,0.6065896304562975
42,2,2,0.0
42,2,3,0.3248305370126121
42,2,4,1e-06
42,3,1,0.33074332578644083
42,3,2,0.3248305370126121
42,3,3,0.0
42,3,4,0.6029047557834933
42,4,1,1.3086717045197371
42,4,2,1e-06
42,4,3,0.6029047557834933
42,4,4,0.0
43,1,1,0.0
43,1,2,1.2877790492077799
43,1,3,1e-06
43,1,4,1.7563688957121288
43,2,1,1.2877790492077799
43,2,2,0.0
43,2,3,0.2715199704445145
43,2,4,0.5388625056969667
43,3,1,1e-06
43,3,2,0.2715199704445145
43,3,3,0.0
43,3,4,0.5811489039322865
43,4,1,1.7563688957121288
43,4,2,0.5388625056969667
43,4,3,0.5811489039322865
43,4,4,0.0
44,1,1,0.0
44,1,2,3.222893703651417
44,1,3,0.7562392327192733
44,1,4,3.8892208654094724
44,2,1,3.222893703651417
44,2,2,0.0
44,2,3,0.3580668685134462
44,2,4,0.9735976482712607
44,3,1,0.7562392327192733
44,3,2,0.3580668685134462
44,3,3,0.0
44,3,4,0.6253516608436052
44,4,1,3.8892208654094724
44,4,2,0.9735976482712607
44,4,3,0.6253516608436052
44,4,4,0.0
45,1,1,0.0
45,1,2,1.2518226390681397
45,1,3,0.673581130236168
45,1,4,1e-06
45,2,1,1.2518226390681397
45,2,2,0.0
45,2,3,0.31565422080409605
45,2,4,1e-06
45,3,1,0.673581130236168
45,3,2,0.31565422080409605
45,3,3,0.0
45,3,4,1e-06
45,4,1,1e-06
45,4,2,1e-06
45,4,3,1e-06
45,4,4,0.0
46,1,1,0.0
46,1,2,3.671381457434847
46,1,3,3.8661803560078223
46,1,4,2.577473404752119
46,2,1,3.671381457434847
46,2,2,0.0
46,2,3,1.7587992866656903
46,2,4,0.9035796046747226
46,3,1,3.8661803560078223
46,3,2,1.7587992866656903
46,3,3,0.0
46,3,4,0.6446409545466957
46,4,1,2.577473404752119
46,4,2,0.9035796046747226
46,4,3,0.6446409545466957
46,4,4,0.0
47,1,1,0.0
47,1,2,2.381099691496577
47,1,3,2.814576052908038
47,1,4,1e-06
47,2,1,2.381099691496577
47,2,2,0.0
