oos_period,centrality_type,alpha,gamma
20,eigenvector,0.1,0.1
21,eigenvector,0.1,0.1
22,eigenvector,0.1,0.1
23,eigenvector,0.1,0.1
24,eigenvector,0.1,0.1
25,eigenvector,0.0,0.001
26,eigenvector,0.0,0.001
27,eigenvector,0.0,0.001
28,eigenvector,0.1,0.001
29,eigenvector,0.0,0.001
30,eigenvector,0.0,0.001
31,eigenvector,0.0,0.001
32,eigenvector,0.0,0.001
33,eigenvector,0.05,0.01
34,eigenvector,0.0,0.001
35,eigenvector,0.0,0.001
36,eigenvector,0.0,0.001
37,eigenvector,0.0,0.001
38,eigenvector,0.05,0.001
39,eigenvector,0.05,0.001
40,eigenvector,0.0,5.0
41,eigenvector,0.0,0.1
42,eigenvector,0.05,0.001
43,eigenvector,0.5,0.001
44,eigenvector,1.0,0.01
45,eigenvector,5.0,0.001
46,eigenvector,0.0,0.001
47,eigenvector,0.0,0.001
48,eigenvector,2.0,0.001
49,eigenvector,2.0,0.001
50,eigenvector,0.0,0.001
20,pagerank,0.1,0.1
21,pagerank,0.1,0.1
22,pagerank,0.1,0.1
23,pagerank,0.1,0.1
24,pagerank,0.1,0.1
25,pagerank,0.0,0.001
26,pagerank,0.0,0.001
27,pagerank,0.1,0.001
28,pagerank,1.0,0.05
29,pagerank,0.05,0.001
30,pagerank,0.1,0.001
31,pagerank,0.0,0.001
32,pagerank,0.0,0.001
33,pagerank,0.0,0.001
34,pagerank,0.0,0.001
35,pagerank,0.0,0.001
36,pagerank,0.0,0.001
37,pagerank,0.0,0.001
38,pagerank,0.1,0.001
39,pagerank,0.1,0.001
40,pagerank,0.0,5.0
41,pagerank,5.0,1.0
42,pagerank,0.1,0.001
43,pagerank,2.0,0.001
44,pagerank,5.0,0.1
45,pagerank,5.0,0.001
46,pagerank,0.0,0.001
47,pagerank,2.0,0.001
48,pagerank,5.0,0.001
49,pagerank,5.0,0.001
50,pagerank,0.0,0.001
20,softmax,0.1,0.1
21,softmax,0.1,0.1
22,softmax,0.1,0.1
23,softmax,0.1,0.1
24,softmax,0.1,0.1
25,softmax,0.0,0.001
26,softmax,0.0,0.001
27,softmax,1.0,0.001
28,softmax,5.0,0.001
29,softmax,5.0,0.1
30,softmax,0.0,0.001
31,softmax,0.0,0.001
32,softmax,0.0,0.001
33,softmax,2.0,0.001
34,softmax,0.0,0.001
35,softmax,0.0,0.001
36,softmax,0.0,0.001
37,softmax,0.0,0.001
38,softmax,0.5,0.05
39,softmax,0.05,0.001
40,softmax,0.0,5.0
41,softmax,0.0,0.1
42,softmax,0.05,0.001
43,softmax,0.5,0.01
44,softmax,0.5,0.001
45,softmax,0.0,0.001
46,softmax,5.0,0.001
47,softmax,0.0,0.001
48,softmax,2.0,0.001
49,softmax,2.0,0.001
50,softmax,0.0,0.001
