oos_period,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
20,0.12186472619827207,0.12226994857421442,0.14646426264096493,0.1416074330197662,0.14349835083682713,0.13975097686163254,0.09068956664069619,0.10046401570064713,0.5438006213579412,0.4922729644126553,0.510006527049722,0.42709272718252356,0.08999999999999996,0.08999999999999996,0.08999999999964012,0.48972003999860053,0.08999999999999996,0.7224150025
21,0.0007542283933251425,0.0007917054104530991,0.006711555889310228,0.006954611347357681,0.00845433122958362,0.00506848103976476,0.009523746175892073,0.009090208925633916,0.033378118320331,0.03501689286418391,0.05662579324532463,0.01285743254515967,0.010000000000000018,0.010000000000000018,0.010000000000120033,0.01000000000012001,0.010000000000000018,0.09150624999999993
22,0.11734457657054362,0.2763774118644394,0.1869072892539841,0.2068051008502054,0.18019165483404542,0.21003801750991014,0.27890432640621443,0.4798922809573615,0.004523096245905767,0.04739610456138611,0.00020997356194540155,0.07024810897076235,0.48999999999999994,0.48999999999999994,0.48999999999957966,0.10922058151513349,0.48999999999999994,0.0005844306250000001
23,0.04989295736084048,0.0356223909385138,0.03982147289278114,0.03313788250942998,0.037804638236311736,0.0376065761408968,0.0898042616194092,0.018161961447300763,0.034315478989124855,0.01146635172785417,0.024995919885923687,0.0252408533524252,0.09000000000000002,0.03999999999999998,0.04641444208074138,0.0632026203800395,0.03999999999999998,0.018624944246666632
24,0.150302585034954,0.151384436054958,0.14641281714358512,0.14534081458459125,0.14605806433346719,0.15050537801331415,0.12402283760873496,0.13147330407887006,0.10782023971131101,0.10340855255299232,0.10649177728109678,0.12736471943181132,0.16000000000000011,0.3600000000000001,0.19266877652844638,0.11833083871722516,0.3600000000000001,0.10450846962008216
25,0.02316245333932271,0.02316245333932271,0.02316245333932271,0.032922916443455505,0.02316245333932271,0.025165251806064156,0.03982402418227726,0.022363167062058504,0.009552249969589663,0.02138045194329079,0.006465189470109522,0.006433575032284865,0.011495316437277556,0.03999999999999998,0.02033477386511645,0.022672164718934455,0.03999999999999998,0.005898862614829843
26,0.008415036271432624,0.008415036271432624,0.008415036271432624,0.007101140659823462,0.0071078425722510665,0.011761041101575843,0.0018893401208977395,0.004419242341739527,0.01545758081039643,0.012964967653660536,0.013150900104278608,0.015582580986191242,0.0899999999999999,0.03999999999999998,0.009177871050230105,0.0495386075622179,0.03999999999999998,0.014122616920182327
27,0.19758012573026001,0.2166246694890225,0.19393274249081977,0.2166199199883238,0.19384085530017606,0.21668433348209792,0.19702786356854232,0.24264144021859166,0.2659530401573621,0.23377842858553988,0.27311870632611984,0.2801351336117357,0.25,0.25,0.19057209172774317,0.2799229566987231,0.25,0.28196828937616136
28,0.2911484791262681,0.2911484791262681,0.2911484791262681,0.2911484791262681,0.3040481987214694,0.2928836088715297,0.3593055443577088,0.11862320274533844,0.2386924686688198,0.20501436235259096,0.2190692704902176,0.21713268665243068,0.25,0.25,0.31303667413075564,0.26935761308129674,0.25,0.2161755804386094
29,0.009110070077873435,0.008723032145807236,0.009110070077873435,0.00672242182494823,0.009110070077873435,0.010382912752615403,1.715049738807379e-11,0.0009162931700021852,0.001969162216631786,0.0012003287535953795,0.002288961264687876,0.004098091178812781,0.010000000000000018,0.03999999999999998,0.01440968229410797,0.0007143559958526221,0.010000000000000018,0.0025000000000000044
30,0.1442260814209547,0.11913311647384713,0.1442260814209547,0.11220907875442013,0.14458163352456707,0.1294714406948706,0.15972414185618744,0.05741110473473795,0.09829603805632808,0.0998911829333755,0.08525222728941713,0.08612535279381901,0.16000000000000011,0.16000000000000011,0.1599999999997601,0.09556443065028969,0.02890000000000005,0.08555625000000008
31,0.044153654170445755,0.04633829937933962,0.06290962418917903,0.05510991757503407,0.018657363270367495,0.014588076342108599,0.08988287640745429,0.08813098603755674,0.055472093827223935,0.043738193075436964,0.0339818867668477,0.030387954903824867,0.09000000000000002,0.09000000000000002,0.01966829817909122,0.018626724006032293,0.09000000000000002,0.033479706870845574
32,0.9425890686987998,0.8715259450765184,0.8013831063797524,0.7842751634396937,0.89365438386546,0.7807305600392159,0.6223553718042192,0.6392322046107694,0.7033057345508583,0.6895855430892849,0.761954034977714,0.752862196205495,1.0,0.48999999999999994,0.9957478050537,0.7846131878106312,0.48999999999999994,0.7611873261541552
33,0.01742705925359741,0.060644866702512894,0.01742705925359741,0.060928945790315624,0.01742705925359741,0.06326543530615505,0.039960079675166744,0.06581076993143303,0.027196060326254254,0.04131447829702793,0.023601836696502856,0.02665202047452861,0.03999999999999998,0.09000000000000002,0.013241123991820276,0.010000000000080021,0.09000000000000002,0.022499999999999975
34,0.5660683089592617,0.6477821666104056,0.5660683089592617,0.7508290603824351,0.5660683089592617,0.7335357585700808,0.48998402868535296,0.9705535169070643,0.5711814379667569,0.7177475135276443,0.60550298281854,0.6222349320589822,0.3600000000000001,0.9751830971497808,0.5294448155874396,0.406918329676472,0.9751830971497808,0.6123835626578108
35,1.1836393132429885,1.174997057807131,1.174997057807131,1.174997057807131,1.174997057807131,1.174997057807131,1.2099409118730726,1.1786339648959938,1.180436331922988,1.1633807845544681,1.1813076058796796,1.1536932429139897,1.2099999999999997,1.0,1.241389226231852,1.2099999999984599,1.0,1.1773488143413642
36,2.1623125464904014,2.1623125464904014,2.1623125464904014,2.1623125464904014,2.1623125464904014,2.1623125464904014,2.5597607769890627,2.558649944548394,2.4765929989705593,2.455387415760495,2.4656550335185443,2.4025740599773338,2.5600000000000005,2.5600000000000005,1.841845942023275,1.6899999999981798,2.5600000000000005,2.441563307994591
37,2.454256485910755,2.454256485910755,2.454256485910755,2.454256485910755,2.488765141620964,2.454256485910755,2.4341472518000606,2.4423362755079703,2.4005868507652046,2.347045033751817,2.4854915329274703,2.3988339008863258,2.5600000000000005,2.5600000000000005,2.4905459011410156,2.5599999999948793,2.5600000000000005,2.3332562500000003
38,0.3074520507299821,0.3076025134326329,0.28000136620553284,0.3700958650244617,0.27436013893723327,0.44123085558705577,0.25502782767799537,0.2585026554659923,0.12703431407982313,0.20257593052564785,0.12375127555522823,0.15488467080960577,0.010000000000000018,0.6400000000000001,0.31846038846932195,0.25698665424016875,0.6400000000000001,0.12371724841119125
39,0.10770897809128936,0.10770897809128936,0.10770897809128936,0.10770897809128936,0.10770897809128936,0.10770897809128936,0.9751833655258013,0.9914040499298263,0.4272264006491942,0.44758460004628314,0.37280095557996806,0.23343950391878254,0.9999999999999998,0.9999999999999998,3.0777285559541683e-06,0.5188313948186866,0.9999999999999998,0.20992944450768009
40,5.059952970124481,5.059952970124481,5.059952970124481,5.059952970124481,5.059952970124481,5.059952970124481,3.572139051082629,3.624032734968935,4.606477770189566,4.754776384247016,4.670955837825036,5.170555138039121,3.5721,3.5721,4.230288030354834,4.83999999999692,7.290000000000001,5.29644196
