oos_period,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
20,0.6490912863396509,0.6496712006645878,0.6827064967321106,0.6763076308285101,0.678811761745629,0.6738328194014439,0.6011470847288684,0.6169605901380283,1.0374283838841174,1.0016216675763765,1.0141474126885304,0.9535233180097888,0.6,0.6,0.5999999999994002,0.9997999999990002,0.6,1.14995
21,0.7274632189177661,0.7281372601802859,0.7819240861365584,0.783394312440104,0.7919474373192839,0.7711932654101831,0.6024103172671821,0.6046574128438194,0.8826967934046217,0.8871280119709071,0.937961747441316,0.8133906192996567,0.6,0.6,0.5999999999993999,0.5999999999994,0.6,1.0025
22,0.05744405337150593,-0.1257160943555367,-0.032327756747105224,-0.05475828837988811,-0.024489876008893182,-0.05829904812241343,0.9281139331680375,-0.2927425791427589,0.3327460317460317,0.18229353578410643,0.38550953548206945,0.13495640175480111,-0.30000000000000004,-0.30000000000000004,-0.29999999999969984,0.06951462738097841,-0.30000000000000004,0.4241749999999999
23,-0.4233673148892659,-0.38873894918249857,-0.39955318311863913,-0.3820381347669492,-0.3944341488430253,-0.3939241504838858,-0.49967359179515497,-0.33476632163601094,-0.3852443764035088,-0.30708105214207676,-0.35810098002834667,-0.3588737025200369,-0.5,-0.3999999999999999,-0.4154401125156162,-0.4514013134015801,-0.3999999999999999,-0.336473236375
24,-0.08768877341877464,-0.08908152880207247,-0.08263927809829597,-0.08123590411265204,-0.08217543659092899,-0.08795022620603547,-0.05216876296561982,-0.06259247658889726,-0.028359924033538188,-0.021572002128593726,-0.02633077893618422,-0.056881940467448246,-0.10000000000000009,-0.30000000000000004,-0.13894051593404583,-0.04399249805370049,-0.30000000000000004,-0.023277697375000073
25,-0.1478078407429519,-0.1478078407429519,-0.1478078407429519,-0.11855326830318633,-0.1478078407429519,-0.14136440561442667,-0.1004404244786103,-0.15045680536360576,-0.2022643874036201,-0.1537794407639925,-0.21959359807758144,-0.21979043054419967,-0.19278378650000016,-0.10000000000000009,-0.157399951384593,-0.14942721122681416,-0.10000000000000009,-0.22319594662500009
26,0.008266493191240919,0.008266493191240919,0.008266493191240919,0.01573173396928424,0.0156919780077181,-0.008448333788841002,0.05653345975468313,0.03352261781824178,-0.024328519698404126,-0.01386381187041195,-0.014677373985798261,-0.02483020862832553,-0.19999999999999996,-0.10000000000000009,0.004198794108684988,-0.12257270174533524,-0.10000000000000009,-0.018838617125000068
27,0.1555001397860063,0.13457044626600853,0.15962204586194403,0.13457554857063675,0.15972638586876914,0.13450635505723835,0.1561217919647978,0.1074135200611048,0.08429364929510325,0.1164936106052581,0.07739239737053216,0.07072206392885072,0.10000000000000009,0.10000000000000009,0.16345436466762944,0.07092254187243716,0.10000000000000009,0.06899313622500014
28,-0.4395817631520435,-0.4395817631520435,-0.4395817631520435,-0.4395817631520435,-0.451405657135896,-0.44118722164471846,-0.4994210076045956,-0.24441719287128855,-0.3885616324158291,-0.3527851171942281,-0.3680483634093997,-0.3659749850071682,-0.3999999999999999,-0.3999999999999999,-0.45949680439726864,-0.4189967370622831,-0.3999999999999999,-0.36494685764999996
29,-0.5045533129025768,-0.5066028258146574,-0.5045533129025768,-0.518009623583324,-0.5045533129025768,-0.4981034212909217,-0.5999958586840995,-0.6302703348181382,-0.555624756714675,-0.5653542390241552,-0.5521569099588262,-0.5359836647502157,-0.5,-0.40000000000000013,-0.4799596638870586,-0.6267274390066206,-0.7000000000000002,-0.55
30,0.27977109081781704,0.2451566549754576,0.27977109081781704,0.23497623610402585,0.28023891637307063,0.25982140110736957,0.2996550285636193,0.1396061450270796,0.21352198974924871,0.21605566429566717,0.1919798405531058,0.19347121288777022,0.30000000000000004,0.30000000000000004,0.29999999999970006,0.20913497157437497,0.07000000000000006,0.19250000000000006
31,0.11012770919239998,0.11526332567193064,0.15081791042343667,0.1347550160806668,0.036591959025293774,0.020781109210458205,0.19980473046210323,0.1968686343107955,0.1355251447876086,0.10913678078099276,0.08434176620301694,0.07432141263718842,0.20000000000000018,0.20000000000000018,0.04024370994483586,0.03647975676279734,0.20000000000000018,0.08297460717500016
