method,oos_period,herfindahl,effective_n,turnover
full_gcsr_eigenvector,20,0.7846553637000767,1.274444866195085,
full_gcsr_eigenvector,21,0.734394914318552,1.3616652028805294,0.03492227026248149
full_gcsr_eigenvector,22,0.7160867969351368,1.3964787568769825,0.013641584956845964
full_gcsr_eigenvector,23,0.3685599305988487,2.7132629376589206,0.3542966600694034
full_gcsr_eigenvector,24,0.3946084182471802,2.53415779734736,0.20402643261773395
full_gcsr_eigenvector,25,0.4320513443104051,2.3145397258191496,0.21543836600771357
full_gcsr_eigenvector,26,0.5217778516145053,1.9165244306667313,0.13142641262230806
full_gcsr_eigenvector,27,0.41959678013604157,2.3832404044563456,0.3103518338592567
full_gcsr_eigenvector,28,0.4561773885572545,2.192129695780594,0.18645766691886312
full_gcsr_eigenvector,29,0.38851117220819636,2.5739285547858515,0.18088621515926323
full_gcsr_eigenvector,30,0.4881797841352445,2.0484256671369288,0.14066662055054643
full_gcsr_eigenvector,31,0.43780470277682015,2.2841234771061156,0.26721055253213477
full_gcsr_eigenvector,32,0.4918806844365748,2.0330133539304374,0.2796460123895086
full_gcsr_eigenvector,33,0.44351717775903887,2.2547041019982683,0.2856806746739535
full_gcsr_eigenvector,34,0.3490462961365085,2.8649494667862343,0.2585428329785663
full_gcsr_eigenvector,35,0.31558964430412473,3.1686717801054605,0.06566104617150181
full_gcsr_eigenvector,36,0.32272889284615114,3.0985759941757443,0.0348727349061434
full_gcsr_eigenvector,37,0.43970444602880254,2.2742549206211478,0.1702616920170169
full_gcsr_eigenvector,38,0.4048293217828136,2.4701768033899696,0.23935192292072055
full_gcsr_eigenvector,39,0.2766133443181621,3.615154585057888,0.3505256466385995
full_gcsr_eigenvector,40,0.3179151393310534,3.1454934864195745,0.09881251347448484
full_gcsr_eigenvector,41,0.6802959507829052,1.4699484817588135,0.44995051129583785
full_gcsr_eigenvector,42,0.9999999999979996,1.0000000000020004,0.19018453548715844
full_gcsr_eigenvector,43,0.7643092988509576,1.3083708408407089,0.13638792903256042
full_gcsr_eigenvector,44,0.9999999999979994,1.0000000000020006,0.864046696129684
full_gcsr_eigenvector,45,0.3056006330004431,3.2722445309808963,0.5466011211315124
full_gcsr_eigenvector,46,0.31678707801338957,3.156694415287145,0.1316463648204793
full_gcsr_eigenvector,47,0.5953595768385689,1.6796572002925032,0.44623469738364446
full_gcsr_eigenvector,48,0.5926308641685145,1.6873910227457376,0.008304488772409083
full_gcsr_eigenvector,49,0.38308635471844493,2.610377497613991,0.3727128644972517
full_gcsr_pagerank,20,0.7056813534007143,1.417070176476889,
full_gcsr_pagerank,21,0.6464450364508143,1.5469219247011519,0.0505209458695852
full_gcsr_pagerank,22,0.6367251260573404,1.5705364199966325,0.009134241949654436
full_gcsr_pagerank,23,0.397159001889749,2.5178832539155165,0.2564008517556567
full_gcsr_pagerank,24,0.37674199363133715,2.6543364342297218,0.05751231742229072
full_gcsr_pagerank,25,0.4320513443104051,2.3145397258191496,0.1219194649508917
full_gcsr_pagerank,26,0.42311973487664245,2.3633972078649155,0.0779193320407423
full_gcsr_pagerank,27,0.4489606607300217,2.2273666436029695,0.2453166223258825
full_gcsr_pagerank,28,0.4561773885572545,2.192129695780594,0.1749295359670547
full_gcsr_pagerank,29,0.4313944411193233,2.318064176731941,0.13436567623676823
full_gcsr_pagerank,30,0.4881797841352445,2.0484256671369288,0.11363314563846127
full_gcsr_pagerank,31,0.5001789246264815,1.999284557514633,0.4215066729216389
full_gcsr_pagerank,32,0.4918806844365748,2.0330133539304374,0.4339421327790127
full_gcsr_pagerank,33,0.42431527123073554,2.356738179843206,0.44376482744399826
full_gcsr_pagerank,34,0.3490462961365085,2.8649494667862343,0.31559299917651196
full_gcsr_pagerank,35,0.35589280933319833,2.80983479793706,0.028281776756756027
full_gcsr_pagerank,36,0.32272889284615114,3.0985759941757443,0.05076286215382089
full_gcsr_pagerank,37,0.43970444602880254,2.2742549206211478,0.1702616920170169
full_gcsr_pagerank,38,0.43052367179548157,2.3227526510436474,0.11805877411327025
full_gcsr_pagerank,39,0.2766133443181621,3.615154585057888,0.36198166471218046
full_gcsr_pagerank,40,0.3388967760332867,2.9507509977072757,0.12051305704983833
full_gcsr_pagerank,41,0.6226237730380326,1.6061063571675018,0.5467329748860058
full_gcsr_pagerank,42,0.9999999999979994,1.0000000000020006,0.229689807541596
full_gcsr_pagerank,43,0.9646833039600518,1.0366096271128278,0.0179816891641894
full_gcsr_pagerank,44,0.41780611575465415,2.393454672614759,0.7139900086577583
full_gcsr_pagerank,45,0.3056006330004431,3.2722445309808963,0.20436409046519682
full_gcsr_pagerank,46,0.3603109603650899,2.775380462994344,0.21080937792764254
full_gcsr_pagerank,47,0.5454934184706077,1.8332026861179846,0.27177592301119957
full_gcsr_pagerank,48,0.5415139444637015,1.8466745135997722,0.013180767369419083
full_gcsr_pagerank,49,0.38308635471844493,2.610377497613991,0.30937222977902445
full_gcsr_softmax,20,0.7288310327076175,1.3720601279626994,
full_gcsr_softmax,21,0.6307669632963415,1.5853715527111216,0.08255168818082362
full_gcsr_softmax,22,0.6212048994180767,1.6097748117195558,0.008242509081046508
full_gcsr_softmax,23,0.504224116924285,1.983245081770179,0.3043867676344788
full_gcsr_softmax,24,0.3780100797767907,2.6454321022087166,0.17727514407011302
full_gcsr_softmax,25,0.4320513443104051,2.3145397258191496,0.14657872798809243
full_gcsr_softmax,26,0.41266153956443546,2.4232934357185325,0.05137934633534016
full_gcsr_softmax,27,0.5145294892751708,1.9435232009903305,0.12741199098138462
full_gcsr_softmax,28,0.47539926054460147,2.103495068238923,0.041087651286332676
full_gcsr_softmax,29,0.42352847932971,2.361116309303763,0.4463681105338718
full_gcsr_softmax,30,0.428184958978668,2.335439344682398,0.2800700648947672
full_gcsr_softmax,31,0.4699426737132203,2.1279191185141104,0.08673080059077849
full_gcsr_softmax,32,0.4887114902699914,2.0461970301691585,0.024829560282099573
full_gcsr_softmax,33,0.32693469638764455,3.05871481690125,0.36241397712258183
full_gcsr_softmax,34,0.3490462961365085,2.8649494667862343,0.18281180709910438
