oos_period,condition_number,trace
20,19.832363944054492,3.3168153594114504
21,17.67055651953312,2.7914308422319145
22,16.400026761243375,2.4184569357197194
23,16.116877894620302,2.0207679956789613
24,15.177894138388027,1.8554677699903248
25,14.56239162382429,1.488285643764669
26,13.345746678959152,1.2428665903888059
27,14.249014809475142,1.3330436101748684
28,15.165813170418584,1.5787504057722537
29,14.911354484370765,1.804879525673389
30,15.447039599312362,1.7909058614795996
31,15.178083610158314,1.750736018739273
32,14.472421087038159,1.7125560573605283
33,14.369906155866849,1.6620388767219132
34,13.804212372940798,1.4544918838768606
35,13.228358383508827,1.2934045570087955
36,13.061668270031847,1.3911819684009932
37,14.240732117852819,1.631656699531484
38,15.524663768260854,1.8283974754339416
39,16.20172829688827,1.8059070790246379
40,14.050274257126668,1.8464717589031712
41,17.510679622519053,3.04525573958306
42,20.211240008321916,6.135844686611268
43,19.853190932639908,13.251653016332808
44,20.15091900603121,22.165354158230894
45,20.813450390850146,33.73594678776771
46,21.041395051656792,41.34723592061542
47,21.471737270355593,42.574976440992074
48,20.700018191137016,42.37825047046498
49,20.60749963636367,42.99040219919173
