oos_period,variant,row_model,col_model,sigma
32,legacy,3,2,0.13720174166467036
32,legacy,3,3,0.0
32,legacy,3,4,1e-06
32,legacy,4,1,1e-06
32,legacy,4,2,1e-06
32,legacy,4,3,1e-06
32,legacy,4,4,0.0
33,legacy,1,1,0.0
33,legacy,1,2,0.10082205441724201
33,legacy,1,3,1e-06
33,legacy,1,4,1e-06
33,legacy,2,1,0.10082205441724201
33,legacy,2,2,0.0
33,legacy,2,3,1e-06
33,legacy,2,4,1e-06
33,legacy,3,1,1e-06
33,legacy,3,2,1e-06
33,legacy,3,3,0.0
33,legacy,3,4,0.23550451248891102
33,legacy,4,1,1e-06
33,legacy,4,2,1e-06
33,legacy,4,3,0.23550451248891102
33,legacy,4,4,0.0
34,legacy,1,1,0.0
34,legacy,1,2,0.06513163942453158
34,legacy,1,3,1e-06
34,legacy,1,4,1e-06
34,legacy,2,1,0.06513163942453158
34,legacy,2,2,0.0
34,legacy,2,3,0.24451270894086935
34,legacy,2,4,1e-06
34,legacy,3,1,1e-06
34,legacy,3,2,0.24451270894086935
34,legacy,3,3,0.0
34,legacy,3,4,0.23018444070686048
34,legacy,4,1,1e-06
34,legacy,4,2,1e-06
34,legacy,4,3,0.23018444070686048
34,legacy,4,4,0.0
35,legacy,1,1,0.0
35,legacy,1,2,1e-06
35,legacy,1,3,0.11067442109027344
35,legacy,1,4,1e-06
35,legacy,2,1,1e-06
35,legacy,2,2,0.0
35,legacy,2,3,0.22370175550097085
35,legacy,2,4,1e-06
35,legacy,3,1,0.11067442109027344
35,legacy,3,2,0.22370175550097085
35,legacy,3,3,0.0
35,legacy,3,4,1e-06
35,legacy,4,1,1e-06
35,legacy,4,2,1e-06
35,legacy,4,3,1e-06
35,legacy,4,4,0.0
36,legacy,1,1,0.0
36,legacy,1,2,1e-06
36,legacy,1,3,0.2078443605198505
36,legacy,1,4,0.07640404616974716
36,legacy,2,1,1e-06
36,legacy,2,2,0.0
36,legacy,2,3,0.1830088892128654
36,legacy,2,4,1e-06
36,legacy,3,1,0.2078443605198505
36,legacy,3,2,0.1830088892128654
36,legacy,3,3,0.0
36,legacy,3,4,1e-06
36,legacy,4,1,0.07640404616974716
36,legacy,4,2,1e-06
36,legacy,4,3,1e-06
36,legacy,4,4,0.0
37,legacy,1,1,0.0
37,legacy,1,2,0.39846824312382245
37,legacy,1,3,1e-06
37,legacy,1,4,0.5644442504936117
37,legacy,2,1,0.39846824312382245
37,legacy,2,2,0.0
