oos_period,variant,row_model,col_model,mu
32,legacy,1,4,0.012499999999999954
32,legacy,2,1,0.08919027917176633
32,legacy,2,2,0.0
32,legacy,2,3,0.0058850695156072936
32,legacy,2,4,-0.011100000000000021
32,legacy,3,1,0.027137824013528995
32,legacy,3,2,-0.0058850695156072936
32,legacy,3,3,0.0
32,legacy,3,4,0.03963782401352895
32,legacy,4,1,-0.012499999999999954
32,legacy,4,2,0.011100000000000021
32,legacy,4,3,-0.03963782401352895
32,legacy,4,4,0.0
33,legacy,1,1,0.0
33,legacy,1,2,0.4673656495433666
33,legacy,1,3,0.0
33,legacy,1,4,0.0
33,legacy,2,1,-0.4673656495433666
33,legacy,2,2,0.0
33,legacy,2,3,-0.1323269862189391
33,legacy,2,4,0.0
33,legacy,3,1,-0.0
33,legacy,3,2,0.1323269862189391
33,legacy,3,3,0.0
33,legacy,3,4,0.0
33,legacy,4,1,-0.0
33,legacy,4,2,-0.0
33,legacy,4,3,-0.0
33,legacy,4,4,0.0
34,legacy,1,1,0.0
34,legacy,1,2,0.05326246271437992
34,legacy,1,3,0.03501522465150999
34,legacy,1,4,-0.050000000000000044
34,legacy,2,1,-0.05326246271437992
34,legacy,2,2,0.0
34,legacy,2,3,-0.09596530201054072
34,legacy,2,4,-0.050000000000000044
34,legacy,3,1,-0.03501522465150999
34,legacy,3,2,0.09596530201054072
34,legacy,3,3,0.0
34,legacy,3,4,0.037647058823529436
34,legacy,4,1,0.050000000000000044
34,legacy,4,2,0.050000000000000044
34,legacy,4,3,-0.037647058823529436
34,legacy,4,4,0.0
35,legacy,1,1,0.0
35,legacy,1,2,-0.00898556418533079
35,legacy,1,3,-0.22980271097564348
35,legacy,1,4,0.0
35,legacy,2,1,0.00898556418533079
35,legacy,2,2,0.0
35,legacy,2,3,-0.13863441894253722
35,legacy,2,4,0.0
35,legacy,3,1,0.22980271097564348
35,legacy,3,2,0.13863441894253722
35,legacy,3,3,0.0
35,legacy,3,4,0.0
35,legacy,4,1,-0.0
35,legacy,4,2,-0.0
35,legacy,4,3,-0.0
35,legacy,4,4,0.0
36,legacy,1,1,0.0
36,legacy,1,2,0.281295382418667
36,legacy,1,3,0.0
36,legacy,1,4,0.0
36,legacy,2,1,-0.281295382418667
36,legacy,2,2,0.0
36,legacy,2,3,-0.12641794142732557
36,legacy,2,4,0.0
36,legacy,3,1,-0.0
36,legacy,3,2,0.12641794142732557
36,legacy,3,3,0.0
36,legacy,3,4,0.0
36,legacy,4,1,-0.0
36,legacy,4,2,-0.0
36,legacy,4,3,-0.0
36,legacy,4,4,0.0
37,legacy,1,1,0.0
37,legacy,1,2,0.05544421475188953
37,legacy,1,3,0.7978289172862787
37,legacy,1,4,-5.054885482190011
37,legacy,2,1,-0.05544421475188953
37,legacy,2,2,0.0
37,legacy,2,3,-0.07894991866845281
37,legacy,2,4,-1.39414015535818
37,legacy,3,1,-0.7978289172862787
37,legacy,3,2,0.07894991866845281
37,legacy,3,3,0.0
37,legacy,3,4,-1.0418675872624763
37,legacy,4,1,5.054885482190011
37,legacy,4,2,1.39414015535818
37,legacy,4,3,1.0418675872624763
37,legacy,4,4,0.0
38,legacy,1,1,0.0
38,legacy,1,2,0.06529817187882432
38,legacy,1,3,0.0
38,legacy,1,4,0.0
38,legacy,2,1,-0.06529817187882432
38,legacy,2,2,0.0
38,legacy,2,3,0.11238731067651835
38,legacy,2,4,0.0
38,legacy,3,1,-0.0
38,legacy,3,2,-0.11238731067651835
38,legacy,3,3,0.0
38,legacy,3,4,0.0
38,legacy,4,1,-0.0
38,legacy,4,2,-0.0
38,legacy,4,3,-0.0
38,legacy,4,4,0.0
39,legacy,1,1,0.0
39,legacy,1,2,1.3640838403473106
39,legacy,1,3,0.6678240520703577
39,legacy,1,4,0.0
39,legacy,2,1,-1.3640838403473106
39,legacy,2,2,0.0
39,legacy,2,3,-0.06292468817676722
39,legacy,2,4,0.0
39,legacy,3,1,-0.6678240520703577
39,legacy,3,2,0.06292468817676722
39,legacy,3,3,0.0
39,legacy,3,4,0.0
39,legacy,4,1,-0.0
39,legacy,4,2,-0.0
39,legacy,4,3,-0.0
39,legacy,4,4,0.0
40,legacy,1,1,0.0
40,legacy,1,2,0.029156842910715384
40,legacy,1,3,0.8572405761888025
40,legacy,1,4,0.002499999999999994
40,legacy,2,1,-0.029156842910715384
40,legacy,2,2,0.0
40,legacy,2,3,-0.04066225083694209
40,legacy,2,4,1.2436433541491831
40,legacy,3,1,-0.8572405761888025
40,legacy,3,2,0.04066225083694209
40,legacy,3,3,0.0
40,legacy,3,4,1.333526503120243
40,legacy,4,1,-0.002499999999999994
40,legacy,4,2,-1.2436433541491831
40,legacy,4,3,-1.333526503120243
40,legacy,4,4,0.0
41,legacy,1,1,0.0
41,legacy,1,2,-3.202657326211783
41,legacy,1,3,-2.325014009228761
41,legacy,1,4,4.040045777932947
41,legacy,2,1,3.202657326211783
41,legacy,2,2,0.0
